"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P04","Gran excedente habitual",0.071,0.018,0.01,0.011,0.012
"P04","Gran excedente excepcional",0.039,0.023,0.011,0.006,0.007
"P04","Pequeño excedente habitual",0.13,0.155,0.08,0.048,0.027
"P04","Pequeño excedente excepcional",0.141,0.192,0.129,0.1,0.076
"P04","Alcanza gastos familia",0.053,0.138,0.178,0.12,0.109
"P04","No alcanza gastos familia",0.051,0.086,0.106,0.105,0.101
"P04","Solo NBFamiliares",0.21,0.264,0.284,0.277,0.265
"P04","No alcanza NBFamiliares",0.298,0.117,0.198,0.329,0.398
"P04","No sabe",0.007,0.007,0.004,0.004,0.005
"P05","Muy buena",0.314,0.046,0.066,0.069,0.055
"P05","Buena",0.183,0.172,0.097,0.066,0.036
"P05","Ni buena ni mala",0.235,0.275,0.279,0.129,0.052
"P05","Mala",0.118,0.262,0.29,0.372,0.239
"P05","Muy mala",0.15,0.245,0.268,0.364,0.618
"P06","Muy buena",0.351,0.081,0.03,0.024,0.019
"P06","Buena",0.214,0.247,0.112,0.056,0.03
"P06","Ni buena ni mala",0.187,0.244,0.301,0.174,0.039
"P06","Mala",0.111,0.194,0.254,0.319,0.172
"P06","Muy mala",0.137,0.234,0.303,0.427,0.74
"P07","Muy buena",0.434,0.144,0.065,0.042,0.043
"P07","Buena",0.252,0.301,0.167,0.119,0.101
"P07","Ni buena ni mala",0.154,0.283,0.386,0.343,0.254
"P07","Mala",0.098,0.174,0.231,0.334,0.293
"P07","Muy mala",0.062,0.098,0.151,0.162,0.309
"P08","Muy buena",0.302,0.079,0.019,0.004,0.014
"P08","Buena",0.334,0.328,0.203,0.079,0.035
"P08","Ni buena ni mala",0.236,0.424,0.511,0.393,0.238
"P08","Mala",0.076,0.127,0.193,0.385,0.321
"P08","Muy mala",0.052,0.042,0.074,0.139,0.392
"P09","Muy buena",0.408,0.123,0.033,0.012,0.017
"P09","Buena",0.248,0.361,0.226,0.096,0.042
"P09","Ni buena ni mala",0.155,0.291,0.4,0.3,0.114
"P09","Mala",0.122,0.137,0.232,0.402,0.268
"P09","Muy mala",0.067,0.088,0.109,0.19,0.559
"P10","Muy buena",0.532,0.101,0.053,0.025,0.042
"P10","Buena",0.221,0.485,0.232,0.133,0.096
"P10","Ni buena ni mala",0.125,0.285,0.542,0.385,0.273
"P10","Mala",0.079,0.097,0.112,0.354,0.267
"P10","Muy mala",0.043,0.032,0.061,0.103,0.322
"P12","Muy baja",0.317,0.035,0.073,0.068,0.045
"P12","Baja",0.07,0.151,0.043,0.042,0.024
"P12","Moderada",0.144,0.112,0.229,0.026,0.019
"P12","Alta",0.254,0.294,0.222,0.352,0.051
"P12","Muy alta",0.215,0.408,0.433,0.512,0.861
"P13","Muy bajas",0.229,0.039,0.048,0.038,0.048
"P13","Bajas",0.086,0.099,0.103,0.09,0.107
"P13","Adecuadas",0.263,0.432,0.31,0.214,0.141
"P13","Altas",0.256,0.264,0.305,0.393,0.268
"P13","Muy altas",0.166,0.166,0.234,0.265,0.436
"P14","No, ninguna dificultad",0.613,0.469,0.285,0.189,0.118
"P14","Alguna dificultad ocasional",0.181,0.307,0.366,0.329,0.279
"P14","Sí, dificultades frecuentes",0.206,0.224,0.349,0.482,0.603
"P15","Sí, absolutamente",0.721,0.554,0.45,0.437,0.342
"P15","Sí, en cierta medida",0.172,0.311,0.337,0.324,0.323
"P15","No, en absoluto",0.107,0.135,0.213,0.239,0.335
"P16","Reducir la inflación",0.423,0.451,0.468,0.449,0.341
"P16","Implementar reformas fiscales",0.104,0.1,0.096,0.089,0.061
"P16","Establecer políticas de control de precios",0.273,0.208,0.175,0.145,0.098
"P16","Reducir el gasto público",0.109,0.178,0.199,0.267,0.439
"P16","Estimular la inversión extranjera",0.041,0.047,0.048,0.038,0.042
"P16","Aumentar los subsidios a los servicios públicos",0.05,0.016,0.014,0.012,0.019
"P17","Fomentar la competencia entre proveedores",0.294,0.292,0.321,0.32,0.366
"P17","Incrementar la inversión en infraestructura",0.251,0.251,0.186,0.193,0.183
