"var","categoria","Fomentar la competencia entre proveedores","Incrementar la inversión en infraestructura","Implementar políticas de subsidios focalizados en grupos vulnerable","Realizar auditorías periódicas a las empresas de servicios públicos"
"P04","Gran excedente habitual",0.017,0.02,0.01,0.012
"P04","Gran excedente excepcional",0.009,0.01,0.02,0.012
"P04","Pequeño excedente habitual",0.075,0.117,0.093,0.069
"P04","Pequeño excedente excepcional",0.131,0.146,0.114,0.126
"P04","Alcanza gastos familia",0.137,0.149,0.1,0.144
"P04","No alcanza gastos familia",0.091,0.077,0.128,0.09
"P04","Solo NBFamiliares",0.251,0.274,0.273,0.294
"P04","No alcanza NBFamiliares",0.282,0.201,0.261,0.251
"P04","No sabe",0.007,0.006,0.001,0.002
"P05","Muy buena",0.108,0.054,0.065,0.067
"P05","Buena",0.08,0.124,0.106,0.109
"P05","Ni buena ni mala",0.113,0.18,0.369,0.172
"P05","Mala",0.233,0.252,0.273,0.311
"P05","Muy mala",0.466,0.39,0.187,0.341
"P06","Muy buena",0.05,0.076,0.078,0.053
"P06","Buena",0.068,0.096,0.202,0.1
"P06","Ni buena ni mala",0.135,0.204,0.301,0.2
"P06","Mala",0.229,0.188,0.238,0.221
"P06","Muy mala",0.518,0.436,0.181,0.426
"P07","Muy buena",0.097,0.118,0.114,0.077
"P07","Buena",0.152,0.191,0.24,0.159
"P07","Ni buena ni mala",0.321,0.304,0.307,0.291
"P07","Mala",0.235,0.208,0.247,0.277
"P07","Muy mala",0.195,0.179,0.092,0.196
"P08","Muy buena",0.051,0.057,0.04,0.03
"P08","Buena",0.139,0.206,0.203,0.169
"P08","Ni buena ni mala",0.379,0.397,0.466,0.365
"P08","Mala",0.259,0.231,0.205,0.257
"P08","Muy mala",0.172,0.109,0.086,0.179
"P09","Muy buena",0.061,0.085,0.085,0.062
"P09","Buena",0.129,0.205,0.267,0.181
"P09","Ni buena ni mala",0.266,0.279,0.328,0.252
"P09","Mala",0.287,0.233,0.204,0.257
"P09","Muy mala",0.257,0.198,0.116,0.248
"P10","Muy buena",0.093,0.111,0.097,0.071
"P10","Buena",0.197,0.239,0.306,0.213
"P10","Ni buena ni mala",0.383,0.368,0.348,0.369
"P10","Mala",0.204,0.192,0.162,0.212
"P10","Muy mala",0.123,0.09,0.087,0.135
"P11","Ha aumentado significativamente",0.067,0.091,0.1,0.056
"P11","Ha aumentado ligeramente",0.16,0.218,0.192,0.161
"P11","Se mantiene igual",0.283,0.262,0.334,0.279
"P11","Ha disminuido ligeramente",0.23,0.221,0.222,0.249
"P11","Ha disminuido significativamente",0.26,0.208,0.152,0.255
"P12","Muy baja",0.077,0.068,0.089,0.053
"P12","Baja",0.033,0.063,0.112,0.041
"P12","Moderada",0.101,0.11,0.156,0.083
"P12","Alta",0.164,0.238,0.309,0.249
"P12","Muy alta",0.625,0.521,0.334,0.574
"P13","Muy bajas",0.085,0.054,0.047,0.036
"P13","Bajas",0.11,0.148,0.104,0.059
"P13","Adecuadas",0.245,0.311,0.33,0.24
"P13","Altas",0.282,0.279,0.337,0.338
"P13","Muy altas",0.278,0.208,0.182,0.327
"P14","No, ninguna dificultad",0.281,0.33,0.314,0.231
"P14","Alguna dificultad ocasional",0.313,0.372,0.29,0.315
"P14","Sí, dificultades frecuentes",0.406,0.298,0.396,0.454
