"var","categoria","Muy bajas","Bajas","Adecuadas","Altas","Muy altas"
"P04","Gran excedente habitual",0.061,0.03,0.015,0.009,0.011
"P04","Gran excedente excepcional",0.029,0.019,0.015,0.011,0.004
"P04","Pequeño excedente habitual",0.096,0.172,0.127,0.049,0.029
"P04","Pequeño excedente excepcional",0.115,0.188,0.167,0.102,0.085
"P04","Alcanza gastos familia",0.058,0.126,0.162,0.136,0.121
"P04","No alcanza gastos familia",0.079,0.084,0.084,0.102,0.106
"P04","Solo NBFamiliares",0.189,0.227,0.274,0.317,0.249
"P04","No alcanza NBFamiliares",0.365,0.15,0.153,0.272,0.387
"P04","No sabe",0.008,0.004,0.003,0.002,0.008
"P05","Muy buena",0.312,0.058,0.054,0.06,0.089
"P05","Buena",0.09,0.109,0.139,0.085,0.066
"P05","Ni buena ni mala",0.08,0.172,0.272,0.209,0.095
"P05","Mala",0.162,0.217,0.267,0.331,0.265
"P05","Muy mala",0.356,0.444,0.268,0.315,0.485
"P06","Muy buena",0.304,0.055,0.063,0.04,0.026
"P06","Buena",0.114,0.102,0.194,0.097,0.043
"P06","Ni buena ni mala",0.071,0.199,0.268,0.205,0.119
"P06","Mala",0.165,0.144,0.22,0.295,0.191
"P06","Muy mala",0.346,0.5,0.255,0.363,0.621
"P07","Muy buena",0.286,0.076,0.144,0.075,0.044
"P07","Buena",0.104,0.199,0.252,0.165,0.096
"P07","Ni buena ni mala",0.261,0.352,0.327,0.324,0.267
"P07","Mala",0.213,0.24,0.171,0.329,0.246
"P07","Muy mala",0.136,0.133,0.106,0.107,0.347
"P08","Muy buena",0.278,0.04,0.054,0.025,0.009
"P08","Buena",0.152,0.218,0.279,0.142,0.077
"P08","Ni buena ni mala",0.243,0.464,0.434,0.416,0.309
"P08","Mala",0.21,0.185,0.172,0.316,0.269
"P08","Muy mala",0.117,0.093,0.061,0.101,0.336
"P09","Muy buena",0.285,0.055,0.093,0.049,0.021
"P09","Buena",0.137,0.197,0.295,0.166,0.083
"P09","Ni buena ni mala",0.171,0.337,0.291,0.28,0.25
"P09","Mala",0.193,0.218,0.202,0.312,0.262
"P09","Muy mala",0.214,0.193,0.119,0.193,0.384
"P10","Muy buena",0.278,0.06,0.097,0.072,0.068
"P10","Buena",0.203,0.296,0.327,0.192,0.127
"P10","Ni buena ni mala",0.269,0.386,0.372,0.395,0.35
"P10","Mala",0.123,0.16,0.145,0.264,0.206
"P10","Muy mala",0.127,0.098,0.059,0.077,0.249
"P11","Ha aumentado significativamente",0.284,0.062,0.07,0.059,0.043
"P11","Ha aumentado ligeramente",0.12,0.172,0.281,0.148,0.105
"P11","Se mantiene igual",0.241,0.298,0.334,0.284,0.246
"P11","Ha disminuido ligeramente",0.158,0.213,0.19,0.302,0.229
"P11","Ha disminuido significativamente",0.197,0.255,0.125,0.207,0.377
"P12","Muy baja",0.41,0.07,0.044,0.061,0.06
"P12","Baja",0.051,0.105,0.072,0.051,0.032
