"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P04","Gran excedente habitual",0.023,0.006,0.015
"P04","Gran excedente excepcional",0.017,0.004,0.01
"P04","Pequeño excedente habitual",0.088,0.086,0.065
"P04","Pequeño excedente excepcional",0.123,0.158,0.088
"P04","Alcanza gastos familia",0.105,0.171,0.136
"P04","No alcanza gastos familia",0.086,0.103,0.103
"P04","Solo NBFamiliares",0.273,0.291,0.258
"P04","No alcanza NBFamiliares",0.28,0.179,0.319
"P04","No sabe",0.005,0.002,0.006
"P05","Muy buena",0.081,0.029,0.134
"P05","Buena",0.113,0.095,0.084
"P05","Ni buena ni mala",0.257,0.145,0.1
"P05","Mala",0.288,0.306,0.192
"P05","Muy mala",0.261,0.425,0.49
"P06","Muy buena",0.091,0.037,0.031
"P06","Buena",0.164,0.085,0.029
"P06","Ni buena ni mala",0.268,0.157,0.091
"P06","Mala",0.212,0.233,0.22
"P06","Muy mala",0.265,0.488,0.629
"P07","Muy buena",0.143,0.056,0.065
"P07","Buena",0.21,0.156,0.116
"P07","Ni buena ni mala",0.298,0.348,0.273
"P07","Mala",0.219,0.276,0.266
"P07","Muy mala",0.13,0.164,0.28
"P08","Muy buena",0.066,0.02,0.036
"P08","Buena",0.215,0.166,0.091
"P08","Ni buena ni mala",0.372,0.454,0.329
"P08","Mala",0.218,0.235,0.306
"P08","Muy mala",0.129,0.125,0.238
"P09","Muy buena",0.113,0.033,0.028
"P09","Buena",0.24,0.158,0.089
"P09","Ni buena ni mala",0.276,0.311,0.221
"P09","Mala",0.206,0.287,0.305
"P09","Muy mala",0.165,0.211,0.357
"P10","Muy buena",0.132,0.049,0.059
"P10","Buena",0.255,0.225,0.156
"P10","Ni buena ni mala",0.331,0.426,0.374
"P10","Mala",0.165,0.219,0.237
"P10","Muy mala",0.117,0.081,0.174
"P11","Ha aumentado significativamente",0.114,0.04,0.034
"P11","Ha aumentado ligeramente",0.21,0.173,0.104
"P11","Se mantiene igual",0.279,0.305,0.268
"P11","Ha disminuido ligeramente",0.222,0.241,0.247
"P11","Ha disminuido significativamente",0.175,0.241,0.347
"P12","Muy baja",0.112,0.037,0.057
"P12","Baja",0.063,0.06,0.037
"P12","Moderada",0.122,0.094,0.092
"P12","Alta",0.275,0.206,0.148
"P12","Muy alta",0.428,0.603,0.666
"P13","Muy bajas",0.06,0.03,0.093
"P13","Bajas",0.063,0.138,0.119
"P13","Adecuadas",0.268,0.303,0.211
"P13","Altas",0.328,0.325,0.242
"P13","Muy altas",0.281,0.204,0.335
"P14","No, ninguna dificultad",0.363,0.225,0.184
"P14","Alguna dificultad ocasional",0.243,0.486,0.226
"P14","Sí, dificultades frecuentes",0.394,0.289,0.59
"P16","Reducir la inflación",0.544,0.36,0.287
"P16","Implementar reformas fiscales",0.063,0.162,0.035
"P16","Establecer políticas de control de precios",0.202,0.092,0.182
"P16","Reducir el gasto público",0.132,0.325,0.43
"P16","Estimular la inversión extranjera",0.036,0.052,0.046
"P16","Aumentar los subsidios a los servicios públicos",0.023,0.009,0.02
"P17","Fomentar la competencia entre proveedores",0.272,0.304,0.454
"P17","Incrementar la inversión en infraestructura",0.188,0.246,0.175
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.201,0.147,0.101
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.339,0.303,0.27
"P18","Muy positiva",0.262,0.109,0.086
"P18","Positiva",0.214,0.204,0.152
"P18","Neutral",0.282,0.405,0.361
"P18","Algo negativa",0.095,0.103,0.139
"P18","Negativa",0.059,0.072,0.186
"P18","No sabe",0.088,0.107,0.076
"P19","Muy positivo",0.206,0.084,0.061
"P19","Positivo",0.24,0.174,0.111
"P19","Neutral",0.299,0.426,0.387
"P19","Algo negativo",0.085,0.102,0.138
"P19","Negativo",0.058,0.077,0.202
"P19","No sabe",0.112,0.137,0.101
"P20","Muy positivo",0.167,0.048,0.037
"P20","Positivo",0.196,0.151,0.101
"P20","Neutral",0.394,0.515,0.484
"P20","Algo negativo",0.078,0.087,0.1
"P20","Negativo",0.066,0.064,0.168
"P20","No sabe",0.099,0.135,0.11
"P21","Muy positiva",0.493,0.225,0.122
"P21","Positiva",0.204,0.271,0.167
"P21","Neutral",0.163,0.291,0.356
"P21","Algo negativa",0.047,0.079,0.115
"P21","Negativa",0.052,0.091,0.196
"P21","No sabe",0.041,0.043,0.044
"P22","Muy positivo",0.49,0.231,0.146
"P22","Positivo",0.23,0.278,0.179
"P22","Neutral",0.136,0.265,0.298
"P22","Algo negativo",0.057,0.091,0.122
"P22","Negativo",0.045,0.098,0.213
"P22","No sabe",0.042,0.037,0.042
"P23","Muy positivo",0.441,0.204,0.127
"P23","Positivo",0.242,0.306,0.198
"P23","Neutral",0.184,0.306,0.372
"P23","Algo negativo",0.044,0.063,0.092
"P23","Negativo",0.043,0.075,0.18
"P23","No sabe",0.046,0.046,0.031
"P24","Muy positiva",0.322,0.124,0.08
"P24","Positiva",0.27,0.261,0.136
"P24","Neutral",0.223,0.322,0.316
"P24","Algo negativa",0.07,0.099,0.127
"P24","Negativa",0.054,0.101,0.274
"P24","No sabe",0.061,0.093,0.067
"P25","Muy positivo",0.283,0.106,0.063
"P25","Positivo",0.279,0.231,0.102
"P25","Neutral",0.243,0.324,0.3
"P25","Algo negativo",0.074,0.122,0.157
"P25","Negativo",0.057,0.121,0.278
"P25","No sabe",0.064,0.096,0.1
"P26","Muy positivo",0.245,0.099,0.05
"P26","Positivo",0.253,0.204,0.112
"P26","Neutral",0.307,0.41,0.382
"P26","Algo negativo",0.063,0.087,0.143
"P26","Negativo",0.054,0.093,0.228
"P26","No sabe",0.078,0.107,0.085
"P27","Muy positiva",0.488,0.281,0.199
"P27","Positiva",0.203,0.279,0.197
"P27","Neutral",0.182,0.207,0.287
"P27","Algo negativa",0.036,0.083,0.103
"P27","Negativa",0.047,0.092,0.17
"P27","No sabe",0.044,0.058,0.044
"P28","Muy positivo",0.47,0.258,0.202
"P28","Positivo",0.236,0.255,0.211
"P28","Neutral",0.16,0.231,0.26
"P28","Algo negativo",0.039,0.114,0.113
"P28","Negativo",0.047,0.093,0.172
"P28","No sabe",0.048,0.049,0.042
"P29","Muy positivo",0.424,0.257,0.181
"P29","Positivo",0.188,0.219,0.2
"P29","Neutral",0.253,0.337,0.356
"P29","Algo negativo",0.034,0.064,0.074
"P29","Negativo",0.053,0.07,0.142
"P29","No sabe",0.048,0.053,0.047
