"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P04","Gran excedente habitual",0.057,0.016,0.007,0.01,0.016
"P04","Gran excedente excepcional",0.04,0.017,0.014,0.007,0.009
"P04","Pequeño excedente habitual",0.088,0.127,0.08,0.049,0.068
"P04","Pequeño excedente excepcional",0.104,0.133,0.126,0.092,0.121
"P04","Alcanza gastos familia",0.082,0.112,0.131,0.115,0.14
"P04","No alcanza gastos familia",0.076,0.065,0.122,0.105,0.102
"P04","Solo NBFamiliares",0.187,0.297,0.292,0.284,0.245
"P04","No alcanza NBFamiliares",0.357,0.224,0.224,0.327,0.296
"P04","No sabe",0.009,0.009,0.004,0.011,0.003
"P05","Muy buena",0.485,0.059,0.042,0.074,0.046
"P05","Buena",0.22,0.325,0.097,0.048,0.036
"P05","Ni buena ni mala",0.181,0.408,0.505,0.118,0.019
"P05","Mala",0.054,0.149,0.246,0.601,0.194
"P05","Muy mala",0.06,0.059,0.11,0.159,0.705
"P07","Muy buena",0.61,0.248,0.059,0.041,0.031
"P07","Buena",0.125,0.428,0.244,0.125,0.092
"P07","Ni buena ni mala",0.125,0.216,0.486,0.318,0.263
"P07","Mala",0.094,0.08,0.171,0.444,0.255
"P07","Muy mala",0.046,0.028,0.04,0.072,0.359
"P08","Muy buena",0.42,0.072,0.029,0.011,0.015
"P08","Buena",0.231,0.439,0.209,0.107,0.083
"P08","Ni buena ni mala",0.202,0.377,0.575,0.392,0.314
"P08","Mala",0.097,0.081,0.154,0.406,0.278
"P08","Muy mala",0.05,0.031,0.033,0.084,0.31
"P09","Muy buena",0.528,0.17,0.04,0.02,0.015
"P09","Buena",0.214,0.504,0.291,0.119,0.058
"P09","Ni buena ni mala",0.096,0.244,0.498,0.304,0.185
"P09","Mala",0.106,0.062,0.153,0.441,0.277
"P09","Muy mala",0.056,0.02,0.018,0.116,0.465
"P10","Muy buena",0.463,0.199,0.057,0.048,0.049
"P10","Buena",0.195,0.428,0.342,0.162,0.132
"P10","Ni buena ni mala",0.127,0.272,0.46,0.438,0.341
"P10","Mala",0.123,0.08,0.107,0.273,0.25
"P10","Muy mala",0.092,0.021,0.034,0.079,0.228
"P11","Ha aumentado significativamente",0.44,0.143,0.071,0.035,0.024
"P11","Ha aumentado ligeramente",0.237,0.381,0.216,0.143,0.097
