"var","categoria","Muy baja","Baja","Moderada","Alta","Muy alta"
"P04","Gran excedente habitual",0.062,0.019,0.015,0.014,0.012
"P04","Gran excedente excepcional",0.023,0.016,0.007,0.011,0.012
"P04","Pequeño excedente habitual",0.027,0.068,0.086,0.107,0.071
"P04","Pequeño excedente excepcional",0.037,0.1,0.09,0.138,0.136
"P04","Alcanza gastos familia",0.042,0.097,0.155,0.152,0.136
"P04","No alcanza gastos familia",0.116,0.103,0.095,0.078,0.099
"P04","Solo NBFamiliares",0.243,0.315,0.305,0.272,0.263
"P04","No alcanza NBFamiliares",0.445,0.282,0.243,0.224,0.265
"P04","No sabe",0.005,0,0.004,0.004,0.006
"P05","Muy buena",0.274,0.098,0.122,0.07,0.046
"P05","Buena",0.082,0.175,0.212,0.153,0.041
"P05","Ni buena ni mala",0.229,0.307,0.373,0.307,0.073
"P05","Mala",0.246,0.278,0.155,0.352,0.277
"P05","Muy mala",0.169,0.142,0.138,0.118,0.563
"P06","Muy buena",0.263,0.037,0.087,0.085,0.015
"P06","Buena",0.108,0.231,0.267,0.182,0.032
"P06","Ni buena ni mala",0.178,0.34,0.325,0.32,0.092
"P06","Mala",0.29,0.192,0.158,0.284,0.211
"P06","Muy mala",0.161,0.2,0.163,0.129,0.65
"P07","Muy buena",0.288,0.162,0.157,0.121,0.043
"P07","Buena",0.125,0.308,0.275,0.245,0.11
"P07","Ni buena ni mala",0.292,0.266,0.324,0.319,0.309
"P07","Mala",0.236,0.167,0.148,0.26,0.276
"P07","Muy mala",0.059,0.097,0.096,0.055,0.262
"P08","Muy buena",0.215,0.089,0.065,0.031,0.017
"P08","Buena",0.107,0.217,0.274,0.242,0.116
"P08","Ni buena ni mala",0.298,0.432,0.472,0.432,0.354
"P08","Mala",0.256,0.187,0.113,0.266,0.271
"P08","Muy mala",0.124,0.075,0.076,0.029,0.242
"P09","Muy buena",0.214,0.089,0.095,0.092,0.027
"P09","Buena",0.13,0.288,0.294,0.285,0.106
"P09","Ni buena ni mala",0.244,0.338,0.397,0.323,0.222
"P09","Mala",0.308,0.174,0.116,0.253,0.286
"P09","Muy mala",0.104,0.111,0.098,0.047,0.359
"P10","Muy buena",0.23,0.138,0.116,0.094,0.052
"P10","Buena",0.141,0.349,0.329,0.299,0.163
"P10","Ni buena ni mala",0.337,0.351,0.378,0.358,0.374
"P10","Mala",0.205,0.081,0.098,0.215,0.228
"P10","Muy mala",0.087,0.081,0.079,0.034,0.183
"P11","Ha aumentado significativamente",0.296,0.085,0.097,0.079,0.028
"P11","Ha aumentado ligeramente",0.079,0.439,0.181,0.221,0.13
"P11","Se mantiene igual",0.274,0.209,0.621,0.279,0.232
"P11","Ha disminuido ligeramente",0.213,0.169,0.058,0.368,0.228
"P11","Ha disminuido significativamente",0.138,0.098,0.043,0.053,0.382
"P13","Muy bajas",0.303,0.051,0.041,0.025,0.039
"P13","Bajas",0.089,0.183,0.09,0.089,0.097
"P13","Adecuadas",0.152,0.338,0.524,0.337,0.191
"P13","Altas",0.244,0.274,0.262,0.469,0.26
"P13","Muy altas",0.212,0.154,0.083,0.08,0.413
"P14","No, ninguna dificultad",0.315,0.259,0.341,0.364,0.228
"P14","Alguna dificultad ocasional",0.19,0.387,0.29,0.331,0.321
"P14","Sí, dificultades frecuentes",0.495,0.354,0.369,0.305,0.451
"P15","Sí, absolutamente",0.678,0.518,0.527,0.562,0.366
"P15","Sí, en cierta medida",0.152,0.334,0.277,0.289,0.353
"P15","No, en absoluto",0.17,0.148,0.196,0.149,0.281
"P16","Reducir la inflación",0.586,0.461,0.449,0.439,0.394
"P16","Implementar reformas fiscales",0.074,0.13,0.092,0.115,0.072
"P16","Establecer políticas de control de precios",0.135,0.274,0.311,0.26,0.086
"P16","Reducir el gasto público",0.098,0.108,0.101,0.132,0.384
"P16","Estimular la inversión extranjera",0.042,0.025,0.023,0.042,0.05
"P16","Aumentar los subsidios a los servicios públicos",0.065,0.002,0.024,0.012,0.014
"P17","Fomentar la competencia entre proveedores",0.36,0.196,0.308,0.232,0.374
"P17","Incrementar la inversión en infraestructura",0.198,0.235,0.211,0.212,0.196
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.206,0.334,0.237,0.217,0.099
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.236,0.235,0.244,0.339,0.331
"P18","Muy positiva",0.275,0.111,0.279,0.279,0.099
"P18","Positiva",0.157,0.259,0.285,0.252,0.154
