"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P04","Gran excedente habitual",0.037,0.005,0.01
"P04","Gran excedente excepcional",0.026,0.006,0.007
"P04","Pequeño excedente habitual",0.204,0.05,0.02
"P04","Pequeño excedente excepcional",0.22,0.151,0.039
"P04","Alcanza gastos familia",0.13,0.182,0.098
"P04","No alcanza gastos familia",0.062,0.085,0.126
"P04","Solo NBFamiliares",0.199,0.342,0.273
"P04","No alcanza NBFamiliares",0.114,0.176,0.424
"P04","No sabe",0.008,0.003,0.003
"P05","Muy buena",0.093,0.04,0.094
"P05","Buena",0.14,0.103,0.067
"P05","Ni buena ni mala",0.256,0.171,0.149
"P05","Mala",0.225,0.305,0.283
"P05","Muy mala",0.286,0.381,0.407
"P06","Muy buena",0.122,0.036,0.035
"P06","Buena",0.193,0.101,0.06
"P06","Ni buena ni mala",0.229,0.208,0.155
"P06","Mala",0.163,0.236,0.247
"P06","Muy mala",0.293,0.419,0.503
"P07","Muy buena",0.177,0.06,0.068
"P07","Buena",0.242,0.174,0.116
"P07","Ni buena ni mala",0.282,0.359,0.288
"P07","Mala",0.175,0.261,0.294
"P07","Muy mala",0.124,0.146,0.234
"P08","Muy buena",0.115,0.017,0.018
"P08","Buena",0.345,0.152,0.063
"P08","Ni buena ni mala",0.38,0.514,0.295
"P08","Mala",0.115,0.224,0.352
"P08","Muy mala",0.045,0.093,0.272
"P09","Muy buena",0.169,0.036,0.023
"P09","Buena",0.314,0.169,0.099
"P09","Ni buena ni mala",0.274,0.339,0.222
"P09","Mala",0.142,0.28,0.309
"P09","Muy mala",0.101,0.176,0.347
"P10","Muy buena",0.169,0.049,0.066
"P10","Buena",0.332,0.23,0.139
"P10","Ni buena ni mala",0.325,0.461,0.332
"P10","Mala",0.107,0.195,0.264
"P10","Muy mala",0.067,0.065,0.199
"P11","Ha aumentado significativamente",0.157,0.041,0.036
"P11","Ha aumentado ligeramente",0.292,0.17,0.096
"P11","Se mantiene igual",0.292,0.333,0.243
"P11","Ha disminuido ligeramente",0.159,0.246,0.277
"P11","Ha disminuido significativamente",0.1,0.21,0.348
"P12","Muy baja",0.086,0.046,0.092
"P12","Baja",0.052,0.07,0.049
"P12","Moderada",0.132,0.1,0.098
"P12","Alta",0.292,0.236,0.167
"P12","Muy alta",0.438,0.548,0.594
"P13","Muy bajas",0.136,0.024,0.028
"P13","Bajas",0.157,0.14,0.029
"P13","Adecuadas",0.403,0.251,0.19
"P13","Altas",0.198,0.387,0.318
"P13","Muy altas",0.106,0.198,0.435
"P15","Sí, absolutamente",0.597,0.354,0.447
"P15","Sí, en cierta medida",0.254,0.484,0.224
"P15","No, en absoluto",0.149,0.162,0.329
"P16","Reducir la inflación",0.458,0.4,0.428
"P16","Implementar reformas fiscales",0.104,0.104,0.063
"P16","Establecer políticas de control de precios",0.187,0.162,0.147
"P16","Reducir el gasto público",0.184,0.279,0.299
"P16","Estimular la inversión extranjera",0.051,0.047,0.036
"P16","Aumentar los subsidios a los servicios públicos",0.016,0.008,0.027
"P17","Fomentar la competencia entre proveedores",0.324,0.315,0.331
"P17","Incrementar la inversión en infraestructura",0.239,0.235,0.152
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.18,0.145,0.161
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.257,0.305,0.356
"P18","Muy positiva",0.274,0.147,0.122
"P18","Positiva",0.257,0.214,0.139
"P18","Neutral",0.242,0.392,0.366
"P18","Algo negativa",0.083,0.087,0.142
"P18","Negativa",0.071,0.07,0.126
"P18","No sabe",0.073,0.09,0.105
"P19","Muy positivo",0.226,0.104,0.091
"P19","Positivo",0.247,0.189,0.146
"P19","Neutral",0.292,0.409,0.369
"P19","Algo negativo",0.064,0.097,0.137
"P19","Negativo",0.087,0.08,0.12
"P19","No sabe",0.084,0.121,0.137
"P20","Muy positivo",0.168,0.075,0.067
"P20","Positivo",0.199,0.157,0.133
"P20","Neutral",0.435,0.5,0.427
"P20","Algo negativo",0.043,0.08,0.122
"P20","Negativo",0.065,0.063,0.131
"P20","No sabe",0.09,0.125,0.12
"P21","Muy positiva",0.452,0.282,0.255
"P21","Positiva",0.209,0.245,0.199
"P21","Neutral",0.191,0.264,0.279
"P21","Algo negativa",0.048,0.08,0.086
"P21","Negativa",0.067,0.082,0.136
"P21","No sabe",0.033,0.047,0.045
"P22","Muy positivo",0.442,0.281,0.278
"P22","Positivo",0.219,0.25,0.23
"P22","Neutral",0.162,0.258,0.219
"P22","Algo negativo",0.068,0.086,0.092
"P22","Negativo",0.087,0.08,0.131
"P22","No sabe",0.022,0.045,0.05
"P23","Muy positivo",0.39,0.261,0.242
"P23","Positivo",0.226,0.266,0.26
"P23","Neutral",0.257,0.293,0.252
"P23","Algo negativo",0.043,0.067,0.071
"P23","Negativo",0.056,0.068,0.123
"P23","No sabe",0.028,0.045,0.052
"P24","Muy positiva",0.297,0.171,0.155
"P24","Positiva",0.267,0.229,0.217
"P24","Neutral",0.208,0.31,0.302
"P24","Algo negativa",0.071,0.102,0.101
"P24","Negativa",0.095,0.118,0.142
"P24","No sabe",0.062,0.07,0.083
"P25","Muy positivo",0.25,0.166,0.123
"P25","Positivo",0.272,0.207,0.196
"P25","Neutral",0.214,0.319,0.304
"P25","Algo negativo",0.094,0.099,0.128
"P25","Negativo",0.104,0.124,0.155
"P25","No sabe",0.066,0.085,0.094
"P26","Muy positivo",0.21,0.148,0.111
"P26","Positivo",0.227,0.19,0.198
"P26","Neutral",0.345,0.381,0.346
"P26","Algo negativo",0.071,0.079,0.113
"P26","Negativo",0.075,0.096,0.144
"P26","No sabe",0.072,0.106,0.088
"P27","Muy positiva",0.46,0.331,0.29
"P27","Positiva",0.194,0.262,0.219
"P27","Neutral",0.157,0.231,0.246
"P27","Algo negativa",0.069,0.066,0.067
"P27","Negativa",0.086,0.062,0.118
"P27","No sabe",0.034,0.048,0.06
"P28","Muy positivo",0.415,0.308,0.308
"P28","Positivo",0.221,0.266,0.222
"P28","Neutral",0.158,0.243,0.212
"P28","Algo negativo",0.085,0.076,0.081
"P28","Negativo",0.086,0.067,0.115
"P28","No sabe",0.035,0.04,0.062
"P29","Muy positivo",0.393,0.267,0.292
"P29","Positivo",0.17,0.236,0.195
"P29","Neutral",0.288,0.329,0.294
"P29","Algo negativo",0.048,0.055,0.054
"P29","Negativo",0.061,0.057,0.114
"P29","No sabe",0.04,0.056,0.051
