"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P04","Gran excedente habitual",0.019,0.012,0.013,0.018,0.027,0.013
"P04","Gran excedente excepcional",0.019,0.02,0.01,0.002,0.014,0.007
"P04","Pequeño excedente habitual",0.155,0.123,0.065,0.071,0.097,0.047
"P04","Pequeño excedente excepcional",0.155,0.167,0.133,0.099,0.132,0.088
"P04","Alcanza gastos familia",0.101,0.141,0.155,0.125,0.126,0.138
"P04","No alcanza gastos familia",0.092,0.079,0.093,0.115,0.084,0.088
"P04","Solo NBFamiliares",0.245,0.29,0.296,0.266,0.214,0.28
"P04","No alcanza NBFamiliares",0.211,0.167,0.233,0.291,0.303,0.33
"P04","No sabe",0.003,0.001,0.002,0.013,0.003,0.009
"P05","Muy buena",0.172,0.066,0.047,0.093,0.06,0.057
"P05","Buena",0.203,0.151,0.077,0.068,0.048,0.079
"P05","Ni buena ni mala",0.272,0.321,0.156,0.109,0.044,0.148
"P05","Mala",0.196,0.26,0.285,0.292,0.21,0.318
"P05","Muy mala",0.157,0.202,0.435,0.438,0.638,0.398
"P06","Muy buena",0.225,0.071,0.022,0.028,0.03,0.037
"P06","Buena",0.243,0.223,0.065,0.021,0.035,0.045
"P06","Ni buena ni mala",0.283,0.304,0.178,0.139,0.03,0.151
"P06","Mala",0.119,0.213,0.248,0.26,0.129,0.269
"P06","Muy mala",0.13,0.189,0.487,0.552,0.776,0.498
"P07","Muy buena",0.319,0.113,0.053,0.026,0.047,0.06
"P07","Buena",0.269,0.309,0.154,0.09,0.093,0.08
"P07","Ni buena ni mala",0.215,0.294,0.365,0.286,0.256,0.308
"P07","Mala",0.132,0.18,0.244,0.368,0.233,0.34
"P07","Muy mala",0.065,0.104,0.184,0.23,0.371,0.212
"P08","Muy buena",0.162,0.051,0.015,0.008,0.046,0.016
"P08","Buena",0.324,0.27,0.141,0.095,0.106,0.117
"P08","Ni buena ni mala",0.359,0.405,0.419,0.374,0.308,0.395
"P08","Mala",0.094,0.201,0.283,0.351,0.223,0.277
