"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P05","Mucho",0.501,0.367,0.405,0.24,0.411,0.566,0.06
"P05","Bastante",0.309,0.378,0.303,0.425,0.247,0.131,0.413
"P05","Poco",0.11,0.175,0.194,0.169,0.033,0.243,0.362
"P05","Nada",0.062,0.066,0.071,0.16,0.182,0.06,0.155
"P05","No sabe",0.018,0.014,0.027,0.006,0.127,0,0.01
"P06","Siempre",0.263,0.24,0.208,0.162,0.436,0.359,0.168
"P06","Casi siempre",0.382,0.448,0.282,0.635,0.219,0.311,0.29
"P06","Casi nunca",0.253,0.204,0.299,0.084,0.325,0.075,0.231
"P06","Nunca, pero esta es una excepción",0.102,0.108,0.211,0.119,0.02,0.255,0.311
"P09","Unidos para Cambiar Santa Fe",0.243,0.573,0.283,0.091,0.284,0.237,0.461
"P09","Juntos Avancemos",0.506,0.159,0.178,0.175,0.142,0,0.065
"P09","De los liberales libertarios",0.05,0.112,0.322,0.274,0.111,0.027,0.056
"P09","De la Izquierda",0.053,0.054,0.021,0.409,0.078,0.029,0.024
"P09","Otro",0.041,0.06,0.12,0.031,0.248,0.054,0.159
"P09","En blanco",0.049,0.016,0.032,0.02,0.01,0.62,0.007
"P09","No sabe",0.058,0.026,0.044,0,0.127,0.033,0.228
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.167,0.813,0.48,0.114,0.328,0.238,0.435
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.704,0.066,0.151,0.104,0.122,0.056,0.094
"P11","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.041,0.027,0.178,0.217,0.084,0.027,0
"P11","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.022,0.013,0.022,0.418,0.015,0.029,0.024
"P11","Otro",0.048,0.045,0.08,0.147,0.235,0.054,0.011
"P11","En blanco",0.003,0.014,0.025,0,0.216,0.596,0.155
"P11","No sabe",0.015,0.022,0.064,0,0,0,0.281
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.185,0.474,0.671,0.124,0.192,0.153,0.399
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.141,0.354,0.13,0.085,0.051,0.069,0.211
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.409,0.085,0.054,0.136,0.462,0.251,0.242
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.129,0.013,0.028,0.505,0.079,0.054,0.043
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.072,0.031,0.018,0.15,0.216,0.123,0.047
"P13","No sabe",0.064,0.043,0.099,0,0,0.35,0.058
"P14","Totalmente seguro.",0.732,0.723,0.771,0.519,0.474,0.743,0.046
"P14","Bastante seguro",0.115,0.127,0.172,0.039,0.148,0.068,0.12
"P14","Algo seguro",0.091,0.106,0.036,0.308,0.205,0.056,0.288
"P14","Para nada seguro",0.062,0.044,0.021,0.134,0.173,0.133,0.546
"P15","Tiene Decidido que va a ir a votar.",0.92,0.934,0.906,0.803,0.857,0.82,0.604
"P15","Tiene dudas sobre si va a ir a  votar",0.035,0.044,0.045,0.145,0,0.029,0.363
"P15","Tiene Decidido que no va a ir a votar",0.045,0.022,0.049,0.052,0.143,0.151,0.033
"P19","Si",0.451,0.475,0.398,0.482,0.343,0.566,0.526
"P19","No",0.549,0.525,0.602,0.518,0.657,0.434,0.474
