"var","categoria","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda","Otro","En blanco","No sabe"
"P05","Mucho",0.399,0.551,0.328,0.388,0.296,0.361,0.279
"P05","Bastante",0.337,0.275,0.254,0.4,0.238,0.226,0.327
"P05","Poco",0.167,0.112,0.202,0.126,0.346,0.207,0.199
"P05","Nada",0.087,0.036,0.125,0.052,0.08,0.146,0.195
"P05","No sabe",0.01,0.026,0.091,0.034,0.04,0.06,0
"P06","Siempre",0.259,0.284,0.166,0.3,0.19,0.308,0.115
"P06","Casi siempre",0.385,0.361,0.311,0.349,0.323,0.125,0.434
"P06","Casi nunca",0.232,0.239,0.304,0.247,0.285,0.371,0.258
"P06","Nunca, pero esta es una excepción",0.124,0.116,0.219,0.104,0.202,0.196,0.193
"P09","Unidos para Cambiar Santa Fe",0.58,0.266,0.058,0.016,0.038,0.128,0.033
"P09","Juntos Avancemos",0.178,0.538,0.093,0.076,0.121,0.007,0.153
"P09","De los liberales libertarios",0.125,0.037,0.569,0.157,0.271,0.203,0.102
"P09","De la Izquierda",0.015,0.047,0.067,0.706,0.072,0,0.084
"P09","Otro",0.081,0.031,0.108,0.009,0.43,0.095,0.023
"P09","En blanco",0.008,0.028,0.069,0.03,0.05,0.507,0.08
"P09","No sabe",0.013,0.053,0.036,0.006,0.018,0.06,0.525
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.563,0.243,0.483,0.296,0.347,0.29,0.176
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.28,0.17,0.11,0.016,0.086,0.049,0.15
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.097,0.358,0.138,0.18,0.14,0.108,0.305
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.02,0.124,0.095,0.319,0.11,0,0.045
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.015,0.059,0.038,0.157,0.164,0.189,0.14
"P13","No sabe",0.025,0.046,0.136,0.032,0.153,0.364,0.184
"P14","Totalmente seguro.",0.75,0.78,0.688,0.607,0.473,0.52,0.277
"P14","Bastante seguro",0.147,0.107,0.064,0.116,0.135,0.174,0.247
"P14","Algo seguro",0.059,0.069,0.104,0.124,0.31,0.032,0.278
"P14","Para nada seguro",0.044,0.044,0.144,0.153,0.082,0.274,0.198
"P15","Tiene Decidido que va a ir a votar.",0.92,0.924,0.796,0.89,0.854,0.824,0.763
"P15","Tiene dudas sobre si va a ir a  votar",0.052,0.042,0.089,0.019,0.116,0.059,0.17
"P15","Tiene Decidido que no va a ir a votar",0.028,0.034,0.115,0.091,0.03,0.117,0.067
"P16","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.123,0.771,0.171,0.234,0.261,0.044,0.136
"P16","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.526,0.063,0.098,0.128,0.211,0.149,0.176
"P16","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.296,0.137,0.624,0.201,0.357,0.261,0.483
"P16","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.01,0.079,0.396,0.069,0,0
"P16","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.017,0.009,0.025,0.012,0.089,0.19,0
"P16","En blanco",0.005,0.002,0.003,0.008,0.008,0.199,0
"P16","No sabe",0.026,0.008,0,0.021,0.005,0.157,0.205
"P19","Si",0.441,0.462,0.404,0.504,0.424,0.536,0.349
"P19","No",0.559,0.538,0.596,0.496,0.576,0.464,0.651
