"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Gabriel Katopodis","Positiva",0.401,0.396,0.407,0.42,0.39,0.429,0.38,0.353,0.385,0.477,0.593,0.218,0.189
"Gabriel Katopodis","Neutra",0.2,0.204,0.196,0.22,0.205,0.151,0.233,0.199,0.218,0.174,0.149,0.256,0.326
"Gabriel Katopodis","Negativa",0.32,0.341,0.301,0.36,0.307,0.368,0.26,0.319,0.316,0.326,0.191,0.442,0.413
"Gabriel Katopodis","No sabe",0.079,0.059,0.096,0,0.098,0.052,0.127,0.129,0.081,0.023,0.067,0.084,0.072
"Santiago López Medrano","Positiva",0.22,0.206,0.233,0.234,0.18,0.234,0.269,0.248,0.248,0.15,0.154,0.324,0.241
"Santiago López Medrano","Neutra",0.322,0.348,0.298,0.243,0.381,0.313,0.277,0.295,0.359,0.295,0.314,0.308,0.519
"Santiago López Medrano","Negativa",0.176,0.183,0.171,0.247,0.188,0.17,0.114,0.15,0.149,0.245,0.206,0.144,0.017
"Santiago López Medrano","No sabe",0.282,0.263,0.298,0.276,0.251,0.283,0.34,0.307,0.244,0.31,0.326,0.224,0.223
"Fernando Moreira","Positiva",0.258,0.242,0.272,0.313,0.244,0.272,0.229,0.232,0.252,0.293,0.359,0.166,0.095
"Fernando Moreira","Neutra",0.292,0.32,0.268,0.268,0.301,0.265,0.323,0.257,0.353,0.238,0.269,0.319,0.491
"Fernando Moreira","Negativa",0.253,0.24,0.264,0.204,0.283,0.284,0.196,0.282,0.229,0.259,0.159,0.324,0.397
"Fernando Moreira","No sabe",0.197,0.198,0.196,0.215,0.172,0.179,0.252,0.229,0.166,0.21,0.213,0.191,0.017
"Leonardo Grosso","Positiva",0.202,0.208,0.197,0.399,0.189,0.18,0.116,0.186,0.185,0.242,0.287,0.126,0.036
"Leonardo Grosso","Neutra",0.337,0.344,0.331,0.268,0.318,0.379,0.371,0.283,0.418,0.272,0.307,0.346,0.524
"Leonardo Grosso","Negativa",0.217,0.262,0.177,0.208,0.279,0.182,0.15,0.285,0.151,0.245,0.21,0.246,0.074
"Leonardo Grosso","No sabe",0.244,0.186,0.295,0.125,0.214,0.259,0.363,0.246,0.246,0.241,0.196,0.282,0.366
"Mauricio D’alessandro","Positiva",0.256,0.252,0.261,0.254,0.236,0.258,0.292,0.265,0.3,0.183,0.157,0.417,0.208
"Mauricio D’alessandro","Neutra",0.285,0.254,0.311,0.236,0.265,0.321,0.314,0.223,0.363,0.231,0.238,0.305,0.58
"Mauricio D’alessandro","Negativa",0.308,0.36,0.262,0.369,0.358,0.272,0.214,0.323,0.23,0.407,0.434,0.179,0.052
"Mauricio D’alessandro","No sabe",0.151,0.134,0.166,0.141,0.141,0.149,0.18,0.189,0.107,0.179,0.171,0.099,0.16
"Juan Esleiman","Positiva",0.177,0.182,0.173,0.326,0.18,0.093,0.167,0.212,0.186,0.13,0.191,0.167,0.223
"Juan Esleiman","Neutra",0.354,0.36,0.349,0.311,0.317,0.425,0.371,0.291,0.416,0.328,0.34,0.354,0.413
"Juan Esleiman","Negativa",0.22,0.24,0.202,0.193,0.281,0.179,0.17,0.247,0.164,0.272,0.195,0.257,0.147
"Juan Esleiman","No sabe",0.249,0.218,0.276,0.17,0.222,0.303,0.292,0.25,0.234,0.27,0.274,0.222,0.217
"Andrés Petrillo","Positiva",0.183,0.172,0.191,0.334,0.153,0.177,0.143,0.165,0.209,0.161,0.134,0.271,0
"Andrés Petrillo","Neutra",0.292,0.299,0.286,0.148,0.278,0.318,0.383,0.282,0.331,0.245,0.272,0.307,0.503
"Andrés Petrillo","Negativa",0.261,0.303,0.225,0.336,0.324,0.227,0.137,0.273,0.223,0.306,0.312,0.196,0.231
"Andrés Petrillo","No sabe",0.264,0.226,0.298,0.182,0.245,0.278,0.337,0.28,0.237,0.288,0.282,0.226,0.266
