"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.088,0.135,0.165,0.053,0.038
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.188,0.183,0.156,0.108,0.1
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.05,0.059,0.081,0.027,0
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.303,0.295,0.342,0.335,0.534
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.099,0.084,0.037,0.143,0.072
"P06","En el frente de todos, a Leonardo Grosso",0.043,0.075,0.05,0.037,0.186
"P06","Al candidato de Javier Milei",0.093,0.1,0.127,0.109,0.03
"P06","Al Candidato de la izquierda",0.001,0.013,0.01,0.089,0.02
"P06","No sabe",0.135,0.056,0.032,0.099,0.02
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.149,0.139,0.227,0.156,0.105
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.149,0.144,0.083,0.103,0.161
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.076,0.068,0.08,0.02,0.154
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.225,0.236,0.277,0.32,0.473
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.112,0.073,0.083,0.063,0.026
"P08","En el Frente de Todos, a Leonardo Grosso",0.098,0.111,0.107,0.037,0
"P08","Al candidato de Javier Milei",0.091,0.138,0.096,0.093,0.041
"P08","Al Candidato del Frente de Izquierda",0.002,0.006,0.017,0.06,0
"P08","No sabe",0.098,0.085,0.03,0.148,0.04
"P10","A Santiago López Medrano por Juntos por el Cambio",0.275,0.282,0.329,0.267,0.236
"P10","A Gabriel Katopodis por el Frente de Todos",0.369,0.425,0.391,0.421,0.529
