"var","categoria","A Santiago López Medrano por Juntos por el Cambio","A Fernando Moreira por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.336,0.054,0.073,0.094,0.082
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.254,0.083,0.118,0.02,0.105
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.082,0.017,0.08,0.148,0.058
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.154,0.571,0.054,0.358,0.249
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.069,0.105,0.038,0.034,0.107
"P06","En el frente de todos, a Leonardo Grosso",0.021,0.09,0.045,0.038,0.024
"P06","Al candidato de Javier Milei",0.035,0.023,0.538,0.022,0.115
"P06","Al Candidato de la izquierda",0.003,0.006,0.007,0.183,0.003
"P06","No sabe",0.046,0.051,0.047,0.103,0.257
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.425,0.078,0.033,0.082,0.113
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.231,0.032,0.1,0.019,0.075
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.097,0.037,0.057,0.177,0.045
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.142,0.517,0.102,0.225,0.171
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.063,0.125,0.018,0.128,0.076
"P08","En el Frente de Todos, a Leonardo Grosso",0.017,0.141,0.036,0.085,0.053
"P08","Al candidato de Javier Milei",0.01,0.021,0.605,0.05,0.115
"P08","Al Candidato del Frente de Izquierda",0,0.004,0,0.146,0.001
"P08","No sabe",0.015,0.045,0.049,0.088,0.351
"P10","A Santiago López Medrano por Juntos por el Cambio",0.696,0.144,0.055,0.014,0.078
"P10","A Gabriel Katopodis por el Frente de Todos",0.195,0.749,0.056,0.136,0.205
"P10","Al candidato de los liberales libertarios",0.016,0.014,0.786,0.089,0.026
"P10","Al candidato del Frente de Izquierda",0.027,0.041,0.031,0.621,0.065
"P10","No sabe",0.066,0.052,0.072,0.14,0.626
"P14","A Santiago López Medrano por Juntos por el Cambio",0.772,0.188,0.023,0.078,0.064
"P14","A Juan Esleiman por el Frente de Todos",0.149,0.57,0.044,0.037,0.106
"P14","Al candidato de los liberales libertarios",0.014,0.017,0.88,0.08,0.018
"P14","Al candidato del Frente de Izquierda",0.004,0.038,0.024,0.65,0.031
"P14","No sabe",0.061,0.187,0.029,0.155,0.781
"P16","A Andrés Petrillo por Juntos por el Cambio",0.636,0.114,0.099,0.114,0.123
"P16","A Gabriel Katopodis por el Frente de Todos",0.17,0.774,0.054,0.227,0.249
"P16","Al candidato de los liberales libertarios",0.033,0.023,0.78,0.037,0.033
"P16","Al candidato del Frente de Izquierda",0.018,0.016,0.002,0.428,0.012
"P16","No sabe",0.143,0.073,0.065,0.194,0.583
"P17","A Andrés Petrillo por Juntos por el Cambio",0.677,0.091,0.132,0.072,0.089
"P17","A Fernando Moreira por el Frente de Todos",0.156,0.833,0.008,0.184,0.165
"P17","Al candidato de los liberales libertarios",0.032,0.015,0.809,0.036,0.041
"P17","Al candidato del Frente de Izquierda",0.012,0.015,0.003,0.421,0.03
"P17","No sabe",0.123,0.046,0.048,0.287,0.675
"P18","A Andrés Petrillo por Juntos por el Cambio",0.711,0.087,0.147,0.067,0.105
"P18","A Juan Esleiman por el Frente de Todos",0.136,0.674,0.023,0.326,0.134
"P18","Al candidato de los liberales libertarios",0.035,0.021,0.783,0.076,0.071
"P18","Al candidato del Frente de Izquierda",0.02,0.033,0.004,0.431,0.014
"P18","No sabe",0.098,0.185,0.043,0.1,0.676
"P19","Lo votaría",0.308,0.113,0.105,0.151,0.054
"P19","Puede que lo vote",0.284,0.097,0.092,0.151,0.056
"P19","Nunca lo votaría",0.221,0.497,0.47,0.468,0.358
"P19","No sabe",0.187,0.293,0.333,0.23,0.532
"P20","Lo votaría",0.112,0.446,0.008,0.172,0.101
"P20","Puede que lo vote",0.186,0.225,0.059,0.063,0.081
"P20","Nunca lo votaría",0.524,0.149,0.672,0.643,0.37
"P20","No sabe",0.178,0.18,0.261,0.122,0.448
"P21","Lo votaría",0.309,0.14,0.092,0.054,0.067
"P21","Puede que lo vote",0.248,0.096,0.162,0.06,0.104
"P21","Nunca lo votaría",0.241,0.494,0.465,0.649,0.384
"P21","No sabe",0.202,0.27,0.281,0.237,0.445
"P22","Lo votaría",0.149,0.667,0.026,0.15,0.263
"P22","Puede que lo vote",0.163,0.143,0.094,0.401,0.11
"P22","Nunca lo votaría",0.618,0.111,0.752,0.428,0.3
"P22","No sabe",0.07,0.079,0.128,0.021,0.327
"P23","Lo votaría",0.285,0.105,0.133,0.191,0.087
"P23","Puede que lo vote",0.31,0.162,0.135,0.175,0.082
"P23","Nunca lo votaría",0.234,0.541,0.506,0.51,0.373
"P23","No sabe",0.171,0.192,0.226,0.124,0.458
"P24","Lo votaría",0.065,0.146,0.054,0.268,0.067
"P24","Puede que lo vote",0.216,0.256,0.137,0.251,0.093
"P24","Nunca lo votaría",0.502,0.295,0.596,0.3,0.388
"P24","No sabe",0.217,0.303,0.213,0.181,0.452
"P25","Lo votaría",0.045,0.208,0.066,0.237,0.041
"P25","Puede que lo vote",0.154,0.181,0.049,0.187,0.115
"P25","Nunca lo votaría",0.599,0.323,0.577,0.393,0.364
"P25","No sabe",0.202,0.288,0.308,0.183,0.48
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.314,0.112,0.106,0.061,0.189
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.378,0.11,0.176,0.044,0.156
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.131,0.203,0.053,0.208,0.196
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.118,0.491,0.061,0.172,0.191
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.008,0.021,0.484,0,0.05
"P26","Solo como gobernador a José Luis Espert",0.004,0.004,0.079,0,0.009
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.006,0,0.379,0.005
