"var","categoria","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza","Solo como gobernador a José Luis Espert","A los candidatos a presidente y gobernador del Frente de Izquierda","No sabe"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.28,0.019,0.126,0.172,0.033,0.09
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.306,0.063,0.19,0.24,0.109,0.148
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.082,0.037,0.053,0.136,0,0.019
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.111,0.589,0.112,0.123,0.41,0.298
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.055,0.122,0.069,0.036,0.078,0.114
"P06","En el frente de todos, a Leonardo Grosso",0.053,0.125,0.004,0.006,0.084,0.016
"P06","Al candidato de Javier Milei",0.013,0.005,0.415,0.189,0.041,0.081
"P06","Al Candidato de la izquierda",0.002,0.011,0,0,0.134,0.018
"P06","No sabe",0.098,0.029,0.031,0.098,0.111,0.216
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.259,0.077,0.068,0.18,0.162,0.164
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.292,0.015,0.185,0.216,0.088,0.127
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.17,0.036,0.042,0.099,0.042,0.029
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.094,0.48,0.139,0.112,0.34,0.23
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.025,0.17,0.032,0.072,0.029,0.032
"P08","En el Frente de Todos, a Leonardo Grosso",0.049,0.165,0.025,0.036,0.134,0.042
"P08","Al candidato de Javier Milei",0.019,0.014,0.467,0.205,0.041,0.051
"P08","Al Candidato del Frente de Izquierda",0.007,0.004,0,0,0.129,0.006
"P08","No sabe",0.085,0.039,0.042,0.08,0.035,0.319
"P10","A Santiago López Medrano por Juntos por el Cambio",0.61,0.082,0.237,0.393,0.133,0.234
"P10","A Gabriel Katopodis por el Frente de Todos",0.203,0.78,0.139,0.159,0.377,0.303
"P10","Al candidato de los liberales libertarios",0.047,0.017,0.484,0.241,0.14,0.101
"P10","Al candidato del Frente de Izquierda",0.021,0.043,0.018,0.025,0.284,0.015
"P10","No sabe",0.119,0.078,0.122,0.182,0.066,0.347
"P12","A Santiago López Medrano por Juntos por el Cambio",0.619,0.142,0.243,0.316,0.186,0.22
"P12","A Fernando Moreira por el Frente de Todos",0.178,0.71,0.115,0.137,0.418,0.21
"P12","Al candidato de los liberales libertarios",0.02,0.006,0.502,0.246,0.035,0.111
"P12","Al candidato del Frente de Izquierda",0.028,0.014,0,0,0.201,0.02
"P12","No sabe",0.155,0.128,0.14,0.301,0.16,0.439
"P14","A Santiago López Medrano por Juntos por el Cambio",0.634,0.126,0.266,0.395,0.2,0.208
"P14","A Juan Esleiman por el Frente de Todos",0.123,0.617,0.118,0.136,0.347,0.125
"P14","Al candidato de los liberales libertarios",0.008,0.013,0.489,0.241,0.077,0.127
"P14","Al candidato del Frente de Izquierda",0.031,0.045,0.024,0,0.136,0.02
"P14","No sabe",0.204,0.199,0.103,0.228,0.24,0.52
"P16","A Andrés Petrillo por Juntos por el Cambio",0.623,0.093,0.208,0.469,0.144,0.162
"P16","A Gabriel Katopodis por el Frente de Todos",0.176,0.809,0.156,0.164,0.523,0.296
"P16","Al candidato de los liberales libertarios",0.021,0.009,0.522,0.235,0.029,0.121
"P16","Al candidato del Frente de Izquierda",0.006,0.016,0.015,0,0.106,0.003
