codigo	texto	label	paleta		
P01	¿Cúal es su situación actual?	Situación laboral	diverging	P04	custom
P02	¿Cúal es su nivel de ingresos?	Ingresos	custom		
P03	¿Tenés activo algún crédito hipotecario?	Crédito hipotecario activo	diverging		
P04	¿Es un crédito hipotecario UVA?	Crédito hipotecario UVA	custom		
P05	¿En los últimos 12 meses pensaste en solicitar un préstamo hipotecario?	Intención de solicitar prestamo hipotecario	politica		
P06	¿Lo gestionaste ante alguna entidad bancaria?	Gestión crédito hipotecario	politica		
P07	En otras condiciones económicas y políticas del país ¿Tomarías un crédito inmobiliario?	Posibilidad de pedirlo en otro momento	politica		
P08	¿Conocés o escuchaste sobre la conflictividad alrededor de los Hipotecados UVA?	Conflictividad hipotecados UVA	politica		
P09	En una escala de 1 a 9, donde 1 es muy importante y 9 es nada importante ¿Qué importancia le asignarías al tema de los hipotecados UVA?	Importancia hipotecados UVA	politica		
P10	Para comprar un inmueble en cuotas, dirías que los préstamos hipotecarios UVA que ofrecen los bancos son…	Opinión hipotecados UVA	diverging		
P11	En caso de que el valor de la cuota de un préstamo UVA aumente de forma abrupta ¿Cómo debería actuar el Estado?	Intervención estatal hipotecados UVA	diverging		
P12	¿Contás con una cuenta bancaria o caja de ahorro?	Cuenta bancaria	diverging		
P13	Su principal cuenta o caja de ahorro ¿Pertenece a un banco publico o a un banco privado?	Banco público o privado	diverging		
P14	¿A cúal de los siguientes bancos pertenece esa cuenta o caja de ahorro?	Banco público 	diverging		
P15	¿A cúal de los siguientes Bancos pertenece esa cuenta o caja de ahorro?	Banco privado	diverging		
P16	Uno de los principales servicios de este tipo que se incorporaron fueron las billeteras virtuales ¿Cúal considerás que son las mejores?	Mejor tipo de billeteras virtuales	diverging		
P17	¿Cúal es la principal razón por la cual considerás que este tipo de billeteras virtuales son mejores?	Razón billeteras virtuales	diverging		
P18	¿Conocés las diferencias regulatorias entre los Bancos y las empresas fintech que administran billeteras digitales como Mercado de pago o Ualá?	Diferencias regulatorias	diverging		
P19	¿Contás con una billetera virtual?	Billetera virtual	diverging		
P20	¿Podrías indicarnos a qué institución pertenece la billetera virtual que más utiliza?	Entidad billetera virtual	diverging		
P21	¿Para qué usas principalmente la billetera virtual?	Uso billetera virtual	politica		
P22	A partir del uso de la billetera virtual, dirías que…	Uso billetera virtual efectivo	politica		
P23	Operar con la billetera virtual te permite…	Uso billetera virtual control	politica		
P24	¿Cuán de acuerdo estás con la siguiente frase? A partir de la pandemia, al momento de pagar prefiero hacerlo con una billetera virtual antes que con una tarjeta de débito o crédito o efectivo.	Billetera virtual pandemia	politica		
P25	Durante la pandemia los bancos debieron transforma y ampliar sus servicios a modalidades digitales. En términos generales, considerás que estos servicios...	Servicios bancos pandemia	politica		
P26	¿Vos comprarías criptomonedas?	Uso de criptomonedas	politica		
P27	¿Conocés personas o empresas que ahorren en criptomonedas como Bitcoin o Ethereum?	Ahorro en criptomonedas	politica		
P28	¿Cuán seguro te sentís operando con tu banco o billetera virtual de manera online?	Uso de servicios virtuales	politica		
P29	¿Podrias indicarnos si has sido víctima de alguna ciberestafa en sus transacciones bancarias?	Ciberestafa	politica		
P30	¿Qué tipo de delito sufriste?	Delitos sufridos	politica		
P31	¿Qué acciones se podrían implementar para dar mayor seguridad en el entorno online a la información bancaria y prevenir ciberdelitos?	Acciones para mejorar la seguridad	politica		
P32	A partir de conocer algún evento delictivo de este tipo ¿Limitaste las operaciones remotas en tu banco?	Limitación de operaciones	politica		
P33	En una escala del 1 al 9 , donde 1 es “nada” y 9 es “mucho” ¿Cuánto crees que los bancos nacionales, provinciales o municipales PUBLICOS colaboran con el desarrollo productivo regional?	Bancos públicos y desarrollo	politica		
P34	En una escala del 1 al 9, donde 1 es “nada” y 9 es “mucho” ¿Cuánto crees que los bancos nacionales o internacionales PRIVADOS colaboran con el desarrollo productivo regional?	Bancos privados y desarrollo	politica		
P35	¿Cuán de acuerdo estás con la siguiente frase? “Si hubiera más presencia de entidades financieras provinciales que ofrezcan financiamiento se fortalecería el desarrollo económico regional”	Desarrollo regional	politica		
P36	¿Qué obstáculos crees existen en la canalización del ahorro e inversión regional?	Obstaculos desarrollo regional	opinion		
P37	¿Qué opinión tiene Ud. sobre la gestión del Gobierno Nacional?	Gestión del Gobiierno Nacional			
P38	Considerando la totalidad de los ingresos actuales de su grupo familiar, Ud diría que:	Ingresos familiares			
P39	¿Cómo cree que va a estar su situación económica personal dentro de seis meses?	Perspectiva de la situación económica para dentro de seis meses			
