"var","categoria","Si","No"
"P04","Gran excedente habitual",0.021,0.014
"P04","Gran excedente excepcional",0.001,0.004
"P04","Pequeño excedente habitual",0.008,0.051
"P04","Pequeño excedente excepcional",0.031,0.048
"P04","Alcanza gastos familia",0.068,0.145
"P04","No alcanza gastos familia",0.146,0.162
"P04","Solo NBFamiliares",0.206,0.269
"P04","No alcanza NBFamiliares",0.509,0.289
"P04","No sabe",0.01,0.018
"P05","Si",0.461,0.135
"P05","No",0.539,0.865
"P06","Robo en vivienda, en su presencia",0.354,0.221
"P06","Robo en vivienda, en su ausencia",0.158,0.274
"P06","Robo de auto",0.074,0.073
"P06","Robo de moto",0.053,0.016
"P06","Robo de bicicleta",0.101,0.06
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.081,0.121
"P06","Otro tipo de delito a la propiedad",0.179,0.235
"P07","Muy seguro",0.083,0.127
"P07","Algo seguro",0.248,0.31
"P07","Seguro",0.058,0.145
"P07","Algo inseguro",0.168,0.234
"P07","Inseguro",0.22,0.131
"P07","Muy inseguro",0.223,0.053
"P08","Han aumentado en el último mes",0.729,0.355
"P08","Han disminuido en el ultimo mes",0.059,0.083
"P08","Se mantienen igual que el mes anterior",0.142,0.392
"P08","No sabe",0.07,0.17
"P11","Muy seguro",0.115,0.109
"P11","Algo seguro",0.144,0.302
"P11","Seguro",0.072,0.143
"P11","Algo inseguro",0.148,0.245
"P11","Inseguro",0.285,0.145
"P11","Muy inseguro",0.236,0.056
"P12","Han aumentado en el último mes",0.671,0.339
"P12","Han disminuido en el último mes",0.052,0.074
"P12","Se mantienen igual que el mes anterior",0.176,0.408
"P12","No sabe",0.101,0.179
"P13","Mayor presencia de policía en las calles",0.323,0.22
"P13","Presencia de Gendarmería en las calles",0.247,0.153
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.061,0.12
"P13","Más iluminación en espacios públicos",0.048,0.094
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.046,0.079
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.047,0.061
"P13","Todas las anteriores",0.182,0.207
"P13","No sabe",0.046,0.066
"P14","Mayor presencia de policía en las calles",0.317,0.226
"P14","Presencia de Gendarmería en las calles",0.195,0.157
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.105,0.111
"P14","Más iluminación en espacios públicos",0.029,0.091
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.051,0.063
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.046,0.054
"P14","Todas las anteriores",0.22,0.198
"P14","No sabe",0.037,0.1
"P15","El Gobierno Nacional",0.209,0.104
"P15","El Gobierno Provincial",0.244,0.258
"P15","El Municipio",0.095,0.194
"P15","Todos los niveles de gobierno son igualmente responsables",0.415,0.401
"P15","No sabe",0.037,0.043
