"var","categoria","Robo en vivienda, en su presencia","Robo en vivienda, en su ausencia","Robo de auto","Robo de moto","Robo de bicicleta","Vandalismo, como pintura de paredes, rotura de vidrios, o similares","Otro tipo de delito a la propiedad"
"P04","Gran excedente habitual",0.027,0.002,0.04,0,0,0.005,0.026
"P04","Gran excedente excepcional",0.001,0.001,0.013,0,0,0.002,0.001
"P04","Pequeño excedente habitual",0.018,0.02,0.022,0,0.024,0.027,0.024
"P04","Pequeño excedente excepcional",0.014,0.024,0.01,0,0.026,0.057,0.027
"P04","Alcanza gastos familia",0.056,0.059,0.098,0.061,0.082,0.094,0.083
"P04","No alcanza gastos familia",0.143,0.119,0.135,0.106,0.073,0.256,0.152
"P04","Solo NBFamiliares",0.125,0.231,0.229,0.142,0.227,0.213,0.262
"P04","No alcanza NBFamiliares",0.608,0.518,0.431,0.691,0.568,0.346,0.417
"P04","No sabe",0.008,0.026,0.022,0,0,0,0.008
"P07","Muy seguro",0.106,0.028,0.023,0.105,0.019,0.03,0.036
"P07","Algo seguro",0.118,0.2,0.186,0.021,0.142,0.058,0.17
"P07","Seguro",0.037,0.034,0.158,0.014,0.03,0.094,0.172
"P07","Algo inseguro",0.133,0.239,0.291,0.344,0.258,0.32,0.25
"P07","Inseguro",0.253,0.26,0.203,0.372,0.338,0.253,0.202
"P07","Muy inseguro",0.353,0.239,0.139,0.144,0.213,0.245,0.17
"P08","Han aumentado en el último mes",0.672,0.753,0.672,0.791,0.673,0.625,0.516
"P08","Han disminuido en el ultimo mes",0.043,0.027,0.024,0.059,0.044,0.081,0.058
"P08","Se mantienen igual que el mes anterior",0.232,0.166,0.208,0.15,0.204,0.2,0.283
"P08","No sabe",0.053,0.054,0.096,0,0.079,0.094,0.143
"P09","Si",0.534,0.291,0.419,0.708,0.545,0.322,0.352
"P09","No",0.466,0.709,0.581,0.292,0.455,0.678,0.648
"P10","Hurto",0.441,0.437,0.19,0.107,0.547,0.341,0.343
"P10","Robo con violencia",0.38,0.262,0.397,0.447,0.127,0.039,0.204
"P10","Agresión física",0.055,0.145,0.128,0.126,0.113,0.009,0.138
"P10","Acoso verbal o intimidación",0.028,0.027,0.059,0.253,0.126,0.356,0.132
"P10","Otros delitos en la vía pública",0.096,0.129,0.226,0.067,0.087,0.255,0.183
"P11","Muy seguro",0.134,0.036,0.059,0,0.046,0.038,0.053
"P11","Algo seguro",0.181,0.163,0.072,0.126,0.227,0.132,0.241
"P11","Seguro",0.036,0.044,0.155,0.019,0.195,0.04,0.118
"P11","Algo inseguro",0.178,0.267,0.169,0.2,0.233,0.35,0.254
"P11","Inseguro",0.195,0.268,0.389,0.459,0.135,0.252,0.232
"P11","Muy inseguro",0.276,0.222,0.156,0.196,0.164,0.188,0.102
"P12","Han aumentado en el último mes",0.681,0.678,0.568,0.814,0.667,0.599,0.529
"P12","Han disminuido en el último mes",0.026,0.045,0.08,0,0.049,0.03,0.073
"P12","Se mantienen igual que el mes anterior",0.232,0.217,0.204,0.186,0.157,0.186,0.244
"P12","No sabe",0.061,0.06,0.148,0,0.127,0.185,0.154
"P13","Mayor presencia de policía en las calles",0.26,0.237,0.193,0.294,0.306,0.275,0.292
"P13","Presencia de Gendarmería en las calles",0.317,0.314,0.249,0.372,0.193,0.187,0.14
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.08,0.08,0.019,0.067,0.127,0.106,0.061
"P13","Más iluminación en espacios públicos",0.084,0.041,0.03,0.02,0.009,0.01,0.078
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.011,0.048,0.104,0,0.108,0.029,0.083
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.02,0.049,0.161,0.101,0.058,0.031,0.038
"P13","Todas las anteriores",0.152,0.143,0.239,0.146,0.19,0.265,0.228
"P13","No sabe",0.076,0.088,0.005,0,0.009,0.097,0.08
"P14","Mayor presencia de policía en las calles",0.285,0.387,0.141,0.18,0.298,0.23,0.221
"P14","Presencia de Gendarmería en las calles",0.276,0.111,0.267,0.266,0.11,0.078,0.169
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.086,0.065,0.162,0.013,0.273,0.166,0.118
"P14","Más iluminación en espacios públicos",0.03,0.055,0.013,0.02,0.027,0.007,0.026
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.016,0.031,0.097,0.086,0.018,0.036,0.018
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.045,0.049,0.088,0.073,0.036,0.01,0.034
"P14","Todas las anteriores",0.194,0.252,0.215,0.184,0.181,0.338,0.31
"P14","No sabe",0.068,0.05,0.017,0.178,0.057,0.135,0.104
"P15","El Gobierno Nacional",0.27,0.177,0.108,0.094,0.148,0.047,0.097
"P15","El Gobierno Provincial",0.194,0.205,0.089,0.284,0.209,0.177,0.301
"P15","El Municipio",0.12,0.112,0.192,0.031,0.094,0.214,0.118
"P15","Todos los niveles de gobierno son igualmente responsables",0.402,0.506,0.611,0.591,0.549,0.463,0.445
"P15","No sabe",0.014,0,0,0,0,0.099,0.039
