"var","categoria","El Gobierno Nacional","El Gobierno Provincial","El Municipio","Todos los niveles de gobierno son igualmente responsables","No sabe"
"P04","Gran excedente habitual",0.02,0.014,0.019,0.01,0.047
"P04","Gran excedente excepcional",0,0.006,0.007,0.003,0
"P04","Pequeño excedente habitual",0.04,0.055,0.075,0.035,0.062
"P04","Pequeño excedente excepcional",0.045,0.057,0.054,0.04,0.062
"P04","Alcanza gastos familia",0.083,0.148,0.192,0.133,0.187
"P04","No alcanza gastos familia",0.116,0.158,0.157,0.154,0.213
"P04","Solo NBFamiliares",0.223,0.26,0.251,0.3,0.114
"P04","No alcanza NBFamiliares",0.451,0.291,0.233,0.312,0.309
"P04","No sabe",0.022,0.011,0.012,0.013,0.006
"P05","Si",0.265,0.162,0.139,0.22,0.087
"P05","No",0.735,0.838,0.861,0.78,0.913
"P06","Robo en vivienda, en su presencia",0.471,0.258,0.268,0.244,0.178
"P06","Robo en vivienda, en su ausencia",0.245,0.216,0.2,0.244,0
"P06","Robo de auto",0.04,0.025,0.092,0.079,0
"P06","Robo de moto",0.017,0.038,0.007,0.036,0
"P06","Robo de bicicleta",0.067,0.071,0.054,0.086,0
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.03,0.086,0.175,0.103,0.452
"P06","Otro tipo de delito a la propiedad",0.13,0.306,0.204,0.208,0.37
"P07","Muy seguro",0.122,0.109,0.184,0.084,0.196
"P07","Algo seguro",0.317,0.327,0.3,0.261,0.353
"P07","Seguro",0.081,0.15,0.187,0.122,0.146
"P07","Algo inseguro",0.188,0.202,0.208,0.246,0.152
"P07","Inseguro",0.186,0.153,0.063,0.189,0.114
"P07","Muy inseguro",0.106,0.059,0.058,0.098,0.039
"P08","Han aumentado en el último mes",0.547,0.42,0.324,0.425,0.22
"P08","Han disminuido en el ultimo mes",0.1,0.08,0.087,0.061,0.091
"P08","Se mantienen igual que el mes anterior",0.239,0.364,0.434,0.366,0.385
"P08","No sabe",0.114,0.136,0.155,0.148,0.304
"P09","Si",0.267,0.147,0.082,0.158,0.135
"P09","No",0.733,0.853,0.918,0.842,0.865
"P10","Hurto",0.445,0.416,0.537,0.356,0.083
"P10","Robo con violencia",0.275,0.249,0.128,0.275,0.438
"P10","Agresión física",0.063,0.049,0.042,0.085,0
"P10","Acoso verbal o intimidación",0.069,0.066,0.147,0.122,0
"P10","Otros delitos en la vía pública",0.148,0.22,0.146,0.162,0.479
"P11","Muy seguro",0.134,0.116,0.12,0.072,0.229
"P11","Algo seguro",0.307,0.327,0.315,0.223,0.29
"P11","Seguro",0.082,0.134,0.18,0.136,0.113
"P11","Algo inseguro",0.203,0.219,0.226,0.251,0.217
"P11","Inseguro",0.181,0.139,0.114,0.205,0.118
"P11","Muy inseguro",0.093,0.065,0.045,0.113,0.033
"P12","Han aumentado en el último mes",0.542,0.397,0.289,0.398,0.203
"P12","Han disminuido en el último mes",0.075,0.069,0.088,0.056,0.068
"P12","Se mantienen igual que el mes anterior",0.291,0.391,0.446,0.365,0.387
"P12","No sabe",0.092,0.143,0.177,0.181,0.342
"P13","Mayor presencia de policía en las calles",0.356,0.277,0.282,0.162,0.131
"P13","Presencia de Gendarmería en las calles",0.266,0.187,0.117,0.158,0.106
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.083,0.141,0.145,0.081,0.172
"P13","Más iluminación en espacios públicos",0.036,0.077,0.138,0.086,0.081
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.06,0.068,0.085,0.075,0.106
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.032,0.072,0.035,0.066,0.051
"P13","Todas las anteriores",0.134,0.139,0.152,0.305,0.105
"P13","No sabe",0.033,0.039,0.046,0.067,0.248
"P14","Mayor presencia de policía en las calles",0.404,0.275,0.233,0.181,0.148
"P14","Presencia de Gendarmería en las calles",0.196,0.246,0.104,0.132,0.104
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.076,0.095,0.188,0.091,0.143
"P14","Más iluminación en espacios públicos",0.052,0.06,0.115,0.097,0.033
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.039,0.06,0.067,0.05,0.221
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.058,0.056,0.038,0.056,0.028
"P14","Todas las anteriores",0.144,0.139,0.156,0.287,0.08
"P14","No sabe",0.031,0.069,0.099,0.106,0.243
