"var","categoria","En un Centro de Salud","En un hospital","En un sanatorio","En un Consultorio Privado","En un vacunatorio"
"P06","1 hijo",0.542,0.584,0.614,0.466,0.59
"P06","2 hijos",0.305,0.269,0.131,0.174,0.284
"P06","3 hijos",0.075,0.093,0.069,0.105,0.044
"P06","4 o más hijos",0.078,0.054,0.186,0.255,0.082
"P07","Con hijos de 3 años y menos",0.465,0.456,0.48,0.578,0.449
"P07","Con hijos mayores de 3 años",0.535,0.544,0.52,0.422,0.551
"P09","Si",0.991,0.956,0.966,0.719,0.955
"P09","No",0.009,0.044,0.034,0.281,0.045
"P10","Si, son efectivas",0.989,0.967,0.966,0.742,0.967
"P10","No, no son efectivas",0.011,0.033,0.034,0.258,0.033
"P11","Si",0.971,0.959,0.99,0.656,0.958
"P11","No",0.029,0.041,0.01,0.344,0.042
"P12","Si",0.156,0.126,0.208,0.301,0.168
"P12","No",0.844,0.874,0.792,0.699,0.832
"P13","La quíntuple",0.108,0.062,0,0.116,0.194
"P13","La triple viral (Sarampión, rubeola y paperas)",0.161,0.072,0,0.2,0.054
"P13","La Neumococo",0.064,0.117,0.07,0,0.052
"P13","La BCG",0.024,0.035,0.112,0.012,0.02
"P13","Otra",0.189,0.123,0.03,0.41,0.15
"P13","No recuerda",0.454,0.591,0.788,0.262,0.53
"P14","Si",0.957,0.916,0.867,0.74,0.935
"P14","No",0.043,0.084,0.133,0.26,0.065
"P15","Si, las conozco",0.809,0.799,0.764,0.708,0.889
"P15","No, no las conozco",0.105,0.076,0.066,0.272,0.032
"P15","Algunas",0.086,0.125,0.17,0.02,0.079
"P16","Si",0.696,0.785,0.686,0.631,0.749
"P16","A veces",0.238,0.156,0.267,0.139,0.207
"P16","No",0.066,0.059,0.047,0.23,0.044
"P17","Sí, hay suficiente información",0.235,0.239,0.212,0.246,0.2
"P17","No, no hay suficiente información",0.765,0.761,0.788,0.754,0.8
"P18","Si",0.101,0.085,0.214,0.194,0.081
"P18","Sí, pero es necesario",0.559,0.577,0.386,0.259,0.489
"P18","No",0.34,0.338,0.4,0.547,0.43
"P19","Sí, mucho",0.255,0.199,0.144,0.164,0.185
"P19","Si, un poco",0.644,0.692,0.748,0.564,0.726
"P19","No",0.101,0.109,0.108,0.272,0.089
"P20","Si",0.232,0.132,0.095,0.108,0.176
"P20","No",0.709,0.788,0.877,0.644,0.743
"P20","No recuerda",0.059,0.08,0.028,0.248,0.081
"P21","La quíntuple",0.265,0.116,0.572,0.085,0.272
"P21","La triple viral (Sarampión, rubeola y paperas)",0.15,0.214,0.18,0.292,0.183
"P21","La Neumococo",0.076,0.041,0.056,0,0.012
"P21","La BCG",0.059,0.118,0,0.112,0.039
"P21","Otra",0.118,0.087,0,0.197,0.099
"P21","No recuerda",0.332,0.424,0.192,0.314,0.395
"P22","Si",0.615,0.526,0.469,0.403,0.583
"P22","No",0.318,0.375,0.482,0.469,0.303
"P22","No recuerda",0.067,0.099,0.049,0.128,0.114
"P23","La quíntuple",0.245,0.214,0.414,0.044,0.252
"P23","La triple viral (Sarampión, rubeola y paperas)",0.167,0.109,0.084,0.089,0.144
"P23","La Neumococo",0.061,0.047,0.038,0.044,0.035
"P23","La BCG",0.064,0.106,0.049,0.014,0.074
"P23","Otra",0.064,0.044,0.013,0.29,0.067
"P23","No recuerda",0.399,0.48,0.402,0.519,0.428
"P24","Sí, una vez",0.132,0.1,0.026,0.036,0.095
"P24","Si varias veces",0.081,0.082,0.283,0.217,0.063
"P24","No",0.709,0.713,0.618,0.605,0.744
"P24","No recuerdo",0.078,0.105,0.073,0.142,0.098
"P25","Si",0.613,0.707,0.804,0.574,0.787
"P25","No",0.387,0.293,0.196,0.426,0.213
"P26","Si",0.49,0.562,0.66,0.581,0.566
"P26","No",0.51,0.438,0.34,0.419,0.434
