"var","categoria","Si","No"
"P06","1 hijo",0.587,0.586
"P06","2 hijos",0.285,0.284
"P06","3 hijos",0.067,0.076
"P06","4 o más hijos",0.061,0.054
"P07","Con hijos de 3 años y menos",0.446,0.416
"P07","Con hijos mayores de 3 años",0.554,0.584
"P08","En un Centro de Salud",0.426,0.51
"P08","En un hospital",0.178,0.238
"P08","En un sanatorio",0.04,0.034
"P08","En un Consultorio Privado",0.094,0.021
"P08","En un vacunatorio",0.262,0.197
"P09","Si",0.966,0.976
"P09","No",0.034,0.024
"P10","Si, son efectivas",0.979,0.983
"P10","No, no son efectivas",0.021,0.017
"P11","Si",0.942,0.964
"P11","No",0.058,0.036
"P12","Si",0.171,0.146
"P12","No",0.829,0.854
"P13","La quíntuple",0.143,0.105
"P13","La triple viral (Sarampión, rubeola y paperas)",0.171,0.103
"P13","La Neumococo",0.082,0.076
"P13","La BCG",0.009,0.024
"P13","Otra",0.125,0.202
"P13","No recuerda",0.47,0.49
"P14","Si",0.954,0.938
"P14","No",0.046,0.062
"P15","Si, las conozco",0.914,0.81
"P15","No, no las conozco",0.024,0.086
"P15","Algunas",0.062,0.104
"P16","Si",0.8,0.7
"P16","A veces",0.15,0.24
"P16","No",0.05,0.06
"P17","Sí, hay suficiente información",0.244,0.192
"P17","No, no hay suficiente información",0.756,0.808
"P18","Si",0.091,0.097
"P18","Sí, pero es necesario",0.476,0.55
"P18","No",0.433,0.353
"P19","Sí, mucho",0.133,0.189
"P19","Si, un poco",0.681,0.713
"P19","No",0.186,0.098
"P20","Si",0.147,0.176
"P20","No",0.786,0.751
"P20","No recuerda",0.067,0.073
"P21","La quíntuple",0.493,0.197
"P21","La triple viral (Sarampión, rubeola y paperas)",0.153,0.146
"P21","La Neumococo",0.029,0.049
"P21","La BCG",0.037,0.089
"P21","Otra",0.025,0.121
"P21","No recuerda",0.263,0.398
"P22","Si",0.534,0.572
"P22","No",0.393,0.331
"P22","No recuerda",0.073,0.097
"P23","La quíntuple",0.319,0.222
"P23","La triple viral (Sarampión, rubeola y paperas)",0.095,0.147
"P23","La Neumococo",0.071,0.055
"P23","La BCG",0.076,0.078
"P23","Otra",0.108,0.05
"P23","No recuerda",0.331,0.448
"P24","Sí, una vez",0.087,0.116
"P24","Si varias veces",0.149,0.07
"P24","No",0.706,0.72
"P24","No recuerdo",0.058,0.094
"P25","Si",0.824,0.643
"P25","No",0.176,0.357
"P26","Si",0.764,0.453
"P26","No",0.236,0.547
"P27","Si, la Polio y la quíntuple",0.284,0.134
"P27","Si, la triple viral y la BCG",0.273,0.24
"P27","Otras",0.068,0.029
"P27","No recuerdo",0.375,0.597
"P28","Si",0.59,0.264
"P28","No",0.41,0.736
"P31","Si",0.949,0.925
"P31","No",0.051,0.075
"P32","Si",0.613,0.485
"P32","No",0.387,0.515
"P33","Miedo al contagio",0.318,0.451
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.322,0.343
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.286,0.149
"P33","Porque era costoso el viaje",0.074,0.057
"P34","Si, una dosis",0.516,0.538
"P34","Si, dos dosis",0.396,0.349
"P34","Ninguna",0.088,0.113
"P35","Sputnik V",0.364,0.294
"P35","Sinopharm",0.297,0.307
"P35","AstraZeneca",0.285,0.346
"P35","Johnson",0.007,0.004
"P35","Phizer",0.02,0.008
"P35","Moderna",0.002,0.01
"P35","Otra",0.025,0.031
