"var","categoria","Miedo al contagio","Porque el lugar donde vacuno a mis hijos se encontraba cerrado","Porque el lugar donde vacuno a mi hijo atendía en horario reducido","Porque era costoso el viaje"
"P06","1 hijo",0.593,0.643,0.481,0.757
"P06","2 hijos",0.263,0.217,0.309,0.243
"P06","3 hijos",0.072,0.086,0.158,0
"P06","4 o más hijos",0.072,0.054,0.052,0
"P07","Con hijos de 3 años y menos",0.336,0.282,0.422,0.159
"P07","Con hijos mayores de 3 años",0.664,0.718,0.578,0.841
"P08","En un Centro de Salud",0.521,0.525,0.512,0.484
"P08","En un hospital",0.223,0.206,0.309,0.273
"P08","En un sanatorio",0.037,0.05,0.03,0.066
"P08","En un Consultorio Privado",0.056,0.035,0.07,0.081
"P08","En un vacunatorio",0.163,0.184,0.079,0.096
"P09","Si",0.979,0.968,0.945,0.864
"P09","No",0.021,0.032,0.055,0.136
"P10","Si, son efectivas",0.992,0.952,0.949,1
"P10","No, no son efectivas",0.008,0.048,0.051,0
"P11","Si",0.96,0.948,0.905,0.919
"P11","No",0.04,0.052,0.095,0.081
"P12","Si",0.168,0.173,0.127,0.192
"P12","No",0.832,0.827,0.873,0.808
"P13","La quíntuple",0.139,0.113,0.044,0.634
"P13","La triple viral (Sarampión, rubeola y paperas)",0.051,0.191,0.338,0.06
"P13","La Neumococo",0.048,0.082,0.076,0
"P13","La BCG",0.02,0,0,0
"P13","Otra",0.278,0.205,0.096,0.042
"P13","No recuerda",0.464,0.409,0.446,0.264
"P14","Si",0.966,0.91,0.971,0.89
"P14","No",0.034,0.09,0.029,0.11
"P15","Si, las conozco",0.817,0.726,0.798,0.776
"P15","No, no las conozco",0.058,0.191,0.11,0.108
"P15","Algunas",0.125,0.083,0.092,0.116
"P16","Si",0.792,0.602,0.614,0.529
"P16","A veces",0.151,0.347,0.365,0.312
"P16","No",0.057,0.051,0.021,0.159
"P17","Sí, hay suficiente información",0.123,0.161,0.159,0.14
"P17","No, no hay suficiente información",0.877,0.839,0.841,0.86
"P18","Si",0.076,0.106,0.136,0.012
"P18","Sí, pero es necesario",0.504,0.536,0.449,0.464
"P18","No",0.42,0.358,0.415,0.524
"P19","Sí, mucho",0.285,0.2,0.085,0.244
"P19","Si, un poco",0.648,0.696,0.77,0.538
"P19","No",0.067,0.104,0.145,0.218
"P20","Si",0.17,0.203,0.172,0.121
"P20","No",0.735,0.709,0.799,0.73
"P20","No recuerda",0.095,0.088,0.029,0.149
"P21","La quíntuple",0.417,0.309,0.191,0
"P21","La triple viral (Sarampión, rubeola y paperas)",0.121,0.125,0.192,0
"P21","La Neumococo",0.01,0.089,0,0
"P21","La BCG",0.114,0.129,0.036,0
"P21","Otra",0.033,0,0.023,0
"P21","No recuerda",0.305,0.348,0.558,1
"P22","Si",0.525,0.518,0.602,0.556
"P22","No",0.385,0.327,0.34,0.333
"P22","No recuerda",0.09,0.155,0.058,0.111
"P23","La quíntuple",0.189,0.369,0.242,0.266
"P23","La triple viral (Sarampión, rubeola y paperas)",0.194,0.095,0.125,0.232
"P23","La Neumococo",0.045,0.034,0.018,0.088
"P23","La BCG",0.049,0.064,0.079,0.021
"P23","Otra",0.009,0.014,0.082,0.016
"P23","No recuerda",0.514,0.424,0.454,0.377
"P24","Sí, una vez",0.099,0.122,0.169,0.106
"P24","Si varias veces",0.084,0.113,0.1,0.153
"P24","No",0.749,0.65,0.669,0.619
"P24","No recuerdo",0.068,0.115,0.062,0.122
"P25","Si",0.607,0.574,0.568,0.705
"P25","No",0.393,0.426,0.432,0.295
"P26","Si",0.348,0.491,0.445,0.532
"P26","No",0.652,0.509,0.555,0.468
"P27","Si, la Polio y la quíntuple",0.112,0.156,0.131,0.171
"P27","Si, la triple viral y la BCG",0.344,0.307,0.144,0.087
"P27","Otras",0.014,0.055,0.058,0.049
"P27","No recuerdo",0.53,0.482,0.667,0.693
"P28","Si",0.229,0.283,0.269,0.206
"P28","No",0.771,0.717,0.731,0.794
"P29","Si",0.118,0.152,0.267,0.2
"P29","No",0.882,0.848,0.733,0.8
"P30","Si, Infanrix",0.023,0.181,0.015,0.057
"P30","Si, Hexaxim",0.319,0.019,0.237,0.421
"P30","No recuerdo",0.658,0.8,0.748,0.522
"P31","Si",0.926,0.86,0.888,0.847
"P31","No",0.074,0.14,0.112,0.153
"P34","Si, una dosis",0.564,0.511,0.451,0.676
"P34","Si, dos dosis",0.303,0.373,0.307,0.312
"P34","Ninguna",0.133,0.116,0.242,0.012
"P35","Sputnik V",0.229,0.258,0.347,0.259
"P35","Sinopharm",0.337,0.398,0.26,0.179
"P35","AstraZeneca",0.389,0.334,0.364,0.468
"P35","Johnson",0,0,0,0
"P35","Phizer",0.02,0,0,0
"P35","Moderna",0.003,0,0.029,0.01
"P35","Otra",0.022,0.01,0,0.084
