"var","categoria","1 hijo","2 hijos","3 hijos","4 o más hijos"
"P07","Con hijos de 3 años y menos",0.355,0.566,0.702,0.729
"P07","Con hijos mayores de 3 años",0.645,0.434,0.298,0.271
"P08","En un Centro de Salud",0.492,0.555,0.515,0.455
"P08","En un hospital",0.221,0.204,0.265,0.131
"P08","En un sanatorio",0.05,0.021,0.043,0.098
"P08","En un Consultorio Privado",0.039,0.029,0.066,0.138
"P08","En un vacunatorio",0.198,0.191,0.111,0.178
"P09","Si",0.977,0.978,0.938,0.849
"P09","No",0.023,0.022,0.062,0.151
"P10","Si, son efectivas",0.981,0.983,0.931,0.854
"P10","No, no son efectivas",0.019,0.017,0.069,0.146
"P11","Si",0.97,0.964,0.889,0.855
"P11","No",0.03,0.036,0.111,0.145
"P12","Si",0.18,0.105,0.127,0.242
"P12","No",0.82,0.895,0.873,0.758
"P13","La quíntuple",0.13,0.056,0.124,0.12
"P13","La triple viral (Sarampión, rubeola y paperas)",0.109,0.123,0.284,0.059
"P13","La Neumococo",0.078,0.025,0.085,0.063
"P13","La BCG",0.026,0.023,0.022,0.053
"P13","Otra",0.134,0.242,0.043,0.382
"P13","No recuerda",0.523,0.531,0.442,0.323
"P14","Si",0.945,0.922,0.958,0.823
"P14","No",0.055,0.078,0.042,0.177
"P15","Si, las conozco",0.848,0.806,0.763,0.662
"P15","No, no las conozco",0.063,0.098,0.14,0.216
"P15","Algunas",0.089,0.096,0.097,0.122
"P16","Si",0.742,0.751,0.695,0.504
"P16","A veces",0.206,0.183,0.221,0.352
"P16","No",0.052,0.066,0.084,0.144
"P17","Sí, hay suficiente información",0.223,0.209,0.274,0.298
"P17","No, no hay suficiente información",0.777,0.791,0.726,0.702
"P18","Si",0.09,0.099,0.172,0.116
"P18","Sí, pero es necesario",0.531,0.518,0.531,0.596
"P18","No",0.379,0.383,0.297,0.288
"P19","Sí, mucho",0.212,0.217,0.13,0.415
"P19","Si, un poco",0.664,0.684,0.822,0.516
"P19","No",0.124,0.099,0.048,0.069
"P20","Si",0.159,0.19,0.263,0.352
"P20","No",0.764,0.75,0.682,0.536
"P20","No recuerda",0.077,0.06,0.055,0.112
"P21","La quíntuple",0.266,0.158,0.317,0.313
"P21","La triple viral (Sarampión, rubeola y paperas)",0.152,0.167,0.237,0.195
"P21","La Neumococo",0.037,0.076,0,0.143
"P21","La BCG",0.083,0.02,0.041,0.114
"P21","Otra",0.104,0.142,0.063,0.088
"P21","No recuerda",0.358,0.437,0.342,0.147
"P22","Si",0.549,0.615,0.565,0.667
"P22","No",0.36,0.306,0.384,0.22
"P22","No recuerda",0.091,0.079,0.051,0.113
"P23","La quíntuple",0.256,0.191,0.301,0.246
"P23","La triple viral (Sarampión, rubeola y paperas)",0.126,0.166,0.123,0.248
"P23","La Neumococo",0.054,0.057,0.034,0.033
"P23","La BCG",0.083,0.062,0.038,0.083
"P23","Otra",0.031,0.099,0.176,0.062
"P23","No recuerda",0.45,0.425,0.328,0.328
"P24","Sí, una vez",0.09,0.11,0.108,0.309
"P24","Si varias veces",0.101,0.062,0.061,0.161
"P24","No",0.713,0.744,0.719,0.5
"P24","No recuerdo",0.096,0.084,0.112,0.03
"P25","Si",0.678,0.735,0.557,0.542
"P25","No",0.322,0.265,0.443,0.458
"P26","Si",0.552,0.52,0.498,0.428
"P26","No",0.448,0.48,0.502,0.572
"P27","Si, la Polio y la quíntuple",0.155,0.191,0.124,0.24
"P27","Si, la triple viral y la BCG",0.239,0.226,0.309,0.288
"P27","Otras",0.038,0.039,0.026,0.06
"P27","No recuerdo",0.568,0.544,0.541,0.412
"P28","Si",0.314,0.382,0.231,0.459
"P28","No",0.686,0.618,0.769,0.541
"P29","Si",0.208,0.209,0.188,0.23
"P29","No",0.792,0.791,0.812,0.77
"P30","Si, Infanrix",0.116,0.13,0.029,0.26
"P30","Si, Hexaxim",0.137,0.101,0.235,0.494
"P30","No recuerdo",0.747,0.769,0.736,0.246
"P31","Si",0.952,0.92,0.876,0.823
"P31","No",0.048,0.08,0.124,0.177
"P32","Si",0.487,0.571,0.489,0.491
"P32","No",0.513,0.429,0.511,0.509
"P33","Miedo al contagio",0.425,0.445,0.354,0.53
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.363,0.29,0.336,0.316
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.137,0.208,0.31,0.154
"P33","Porque era costoso el viaje",0.075,0.057,0,0
"P34","Si, una dosis",0.544,0.537,0.531,0.42
"P34","Si, dos dosis",0.365,0.37,0.272,0.345
"P34","Ninguna",0.091,0.093,0.197,0.235
"P35","Sputnik V",0.324,0.295,0.238,0.312
"P35","Sinopharm",0.27,0.349,0.425,0.285
"P35","AstraZeneca",0.355,0.312,0.31,0.225
"P35","Johnson",0.006,0.002,0,0.007
"P35","Phizer",0.004,0,0.006,0.171
"P35","Moderna",0.008,0.012,0,0
"P35","Otra",0.033,0.03,0.021,0
