"var","categoria","Si","No","No recuerda"
"P06","1 hijo",0.474,0.587,0.599
"P06","2 hijos",0.282,0.286,0.233
"P06","3 hijos",0.116,0.077,0.063
"P06","4 o más hijos",0.128,0.05,0.105
"P07","Con hijos de 3 años y menos",0.589,0.399,0.505
"P07","Con hijos mayores de 3 años",0.411,0.601,0.495
"P08","En un Centro de Salud",0.624,0.49,0.407
"P08","En un hospital",0.152,0.233,0.238
"P08","En un sanatorio",0.02,0.047,0.015
"P08","En un Consultorio Privado",0.021,0.032,0.123
"P08","En un vacunatorio",0.183,0.198,0.217
"P09","Si",0.951,0.981,0.958
"P09","No",0.049,0.019,0.042
"P10","Si, son efectivas",0.955,0.991,0.979
"P10","No, no son efectivas",0.045,0.009,0.021
"P11","Si",0.914,0.982,0.881
"P11","No",0.086,0.018,0.119
"P12","Si",0.283,0.109,0.138
"P12","No",0.717,0.891,0.862
"P13","La quíntuple",0.244,0.06,0
"P13","La triple viral (Sarampión, rubeola y paperas)",0.17,0.136,0.021
"P13","La Neumococo",0.123,0.053,0.03
"P13","La BCG",0.05,0.013,0
"P13","Otra",0.242,0.149,0.193
"P13","No recuerda",0.171,0.589,0.756
"P14","Si",0.904,0.942,0.967
"P14","No",0.096,0.058,0.033
"P15","Si, las conozco",0.763,0.839,0.728
"P15","No, no las conozco",0.124,0.076,0.106
"P15","Algunas",0.113,0.085,0.166
"P16","Si",0.649,0.757,0.605
"P16","A veces",0.266,0.19,0.247
"P16","No",0.085,0.053,0.148
"P17","Sí, hay suficiente información",0.262,0.22,0.2
"P17","No, no hay suficiente información",0.738,0.78,0.8
"P18","Si",0.27,0.064,0.059
"P18","Sí, pero es necesario",0.529,0.524,0.479
"P18","No",0.201,0.412,0.462
"P19","Sí, mucho",0.488,0.142,0.204
"P19","Si, un poco",0.503,0.73,0.627
"P19","No",0.009,0.128,0.169
"P22","Si",0.807,0.53,0.514
"P22","No",0.127,0.399,0.201
"P22","No recuerda",0.066,0.071,0.285
"P23","La quíntuple",0.342,0.2,0.293
"P23","La triple viral (Sarampión, rubeola y paperas)",0.121,0.167,0.014
"P23","La Neumococo",0.033,0.053,0.111
"P23","La BCG",0.055,0.074,0.128
"P23","Otra",0.081,0.065,0
"P23","No recuerda",0.368,0.441,0.454
"P24","Sí, una vez",0.243,0.079,0.116
"P24","Si varias veces",0.119,0.08,0.131
"P24","No",0.545,0.764,0.536
"P24","No recuerdo",0.093,0.077,0.217
"P25","Si",0.618,0.702,0.548
"P25","No",0.382,0.298,0.452
"P26","Si",0.42,0.56,0.493
"P26","No",0.58,0.44,0.507
"P27","Si, la Polio y la quíntuple",0.178,0.171,0.117
"P27","Si, la triple viral y la BCG",0.266,0.243,0.194
"P27","Otras",0.027,0.04,0.051
"P27","No recuerdo",0.529,0.546,0.638
"P28","Si",0.229,0.36,0.326
"P28","No",0.771,0.64,0.674
"P29","Si",0.18,0.216,0.195
"P29","No",0.82,0.784,0.805
"P30","Si, Infanrix",0.166,0.122,0.033
"P30","Si, Hexaxim",0.217,0.121,0.404
"P30","No recuerdo",0.617,0.757,0.563
"P31","Si",0.888,0.943,0.896
"P31","No",0.112,0.057,0.104
"P32","Si",0.51,0.519,0.428
"P32","No",0.49,0.481,0.572
"P33","Miedo al contagio",0.409,0.429,0.483
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.386,0.327,0.353
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.165,0.185,0.058
"P33","Porque era costoso el viaje",0.04,0.059,0.106
"P34","Si, una dosis",0.538,0.539,0.467
"P34","Si, dos dosis",0.226,0.391,0.336
"P34","Ninguna",0.236,0.07,0.197
"P35","Sputnik V",0.376,0.301,0.241
"P35","Sinopharm",0.28,0.304,0.379
"P35","AstraZeneca",0.317,0.343,0.247
"P35","Johnson",0.002,0.004,0.008
"P35","Phizer",0.02,0.005,0.059
"P35","Moderna",0,0.011,0
"P35","Otra",0.005,0.032,0.066
