"var","categoria","La quíntuple","La triple viral (Sarampión, rubeola y paperas)","La Neumococo","La BCG","Otra","No recuerda"
"P06","1 hijo",0.592,0.477,0.577,0.629,0.263,0.589
"P06","2 hijos",0.231,0.33,0.321,0.245,0.446,0.291
"P06","3 hijos",0.102,0.069,0.055,0.042,0.222,0.063
"P06","4 o más hijos",0.075,0.124,0.047,0.084,0.069,0.057
"P07","Con hijos de 3 años y menos",0.538,0.412,0.657,0.471,0.678,0.438
"P07","Con hijos mayores de 3 años",0.462,0.588,0.343,0.529,0.322,0.562
"P08","En un Centro de Salud",0.557,0.621,0.642,0.482,0.538,0.513
"P08","En un hospital",0.176,0.148,0.179,0.287,0.134,0.224
"P08","En un sanatorio",0.051,0.017,0.022,0.02,0.006,0.028
"P08","En un Consultorio Privado",0.005,0.016,0.022,0.005,0.115,0.032
"P08","En un vacunatorio",0.211,0.198,0.135,0.206,0.207,0.203
"P09","Si",0.989,0.994,0.981,0.955,0.842,0.966
"P09","No",0.011,0.006,0.019,0.045,0.158,0.034
"P10","Si, son efectivas",0.986,1,0.981,0.995,0.872,0.99
"P10","No, no son efectivas",0.014,0,0.019,0.005,0.128,0.01
"P11","Si",0.973,0.991,0.981,0.987,0.782,0.958
"P11","No",0.027,0.009,0.019,0.013,0.218,0.042
"P12","Si",0.201,0.077,0.082,0.203,0.248,0.169
"P12","No",0.799,0.923,0.918,0.797,0.752,0.831
"P13","La quíntuple",0.383,0.192,0,0.061,0,0.053
"P13","La triple viral (Sarampión, rubeola y paperas)",0.122,0.167,0.1,0.445,0.388,0.055
"P13","La Neumococo",0.043,0.051,0.365,0.043,0.032,0.12
"P13","La BCG",0,0,0,0,0,0.072
"P13","Otra",0.22,0.343,0.142,0.103,0.557,0.09
"P13","No recuerda",0.232,0.247,0.393,0.348,0.023,0.61
"P14","Si",0.958,0.957,0.831,0.915,0.911,0.967
"P14","No",0.042,0.043,0.169,0.085,0.089,0.033
"P15","Si, las conozco",0.824,0.91,0.825,0.814,0.846,0.764
"P15","No, no las conozco",0.104,0.055,0.018,0.088,0.115,0.095
"P15","Algunas",0.072,0.035,0.157,0.098,0.039,0.141
"P16","Si",0.72,0.733,0.637,0.803,0.698,0.662
"P16","A veces",0.233,0.236,0.311,0.188,0.217,0.255
"P16","No",0.047,0.031,0.052,0.009,0.085,0.083
"P17","Sí, hay suficiente información",0.258,0.198,0.085,0.253,0.28,0.2
"P17","No, no hay suficiente información",0.742,0.802,0.915,0.747,0.72,0.8
"P18","Si",0.202,0.043,0.101,0.043,0.248,0.07
"P18","Sí, pero es necesario",0.541,0.587,0.696,0.589,0.48,0.551
"P18","No",0.257,0.37,0.203,0.368,0.272,0.379
"P19","Sí, mucho",0.308,0.281,0.308,0.28,0.237,0.238
"P19","Si, un poco",0.564,0.636,0.636,0.595,0.724,0.691
"P19","No",0.128,0.083,0.056,0.125,0.039,0.071
"P20","Si",0.347,0.201,0.157,0.184,0.303,0.212
"P20","No",0.578,0.793,0.711,0.708,0.697,0.722
"P20","No recuerda",0.075,0.006,0.132,0.108,0,0.066
"P21","La quíntuple",0.781,0.108,0,0.033,0.022,0.04
"P21","La triple viral (Sarampión, rubeola y paperas)",0.013,0.676,0,0.107,0.073,0.068
"P21","La Neumococo",0.005,0.058,0.051,0.019,0.084,0.075
"P21","La BCG",0.05,0.101,0.097,0.146,0.045,0.091
"P21","Otra",0,0.013,0.256,0.351,0.619,0.102
"P21","No recuerda",0.151,0.044,0.596,0.344,0.157,0.624
"P24","Sí, una vez",0.187,0.18,0.157,0.08,0.155,0.128
"P24","Si varias veces",0.084,0.132,0.041,0.029,0.132,0.048
"P24","No",0.647,0.637,0.68,0.789,0.707,0.664
"P24","No recuerdo",0.082,0.051,0.122,0.102,0.006,0.16
"P25","Si",0.781,0.739,0.749,0.721,0.622,0.639
"P25","No",0.219,0.261,0.251,0.279,0.378,0.361
"P26","Si",0.649,0.497,0.439,0.567,0.643,0.374
"P26","No",0.351,0.503,0.561,0.433,0.357,0.626
"P27","Si, la Polio y la quíntuple",0.259,0.283,0.25,0.068,0.307,0.076
"P27","Si, la triple viral y la BCG",0.264,0.265,0.307,0.234,0.194,0.139
"P27","Otras",0.033,0.055,0.056,0.013,0.024,0.028
"P27","No recuerdo",0.444,0.397,0.387,0.685,0.475,0.757
"P28","Si",0.312,0.332,0.36,0.29,0.476,0.32
"P28","No",0.688,0.668,0.64,0.71,0.524,0.68
"P29","Si",0.26,0.137,0.242,0.192,0.344,0.153
"P29","No",0.74,0.863,0.758,0.808,0.656,0.847
"P30","Si, Infanrix",0.153,0.122,0,0.464,0.155,0.074
"P30","Si, Hexaxim",0.117,0.224,0.663,0.036,0.351,0.022
"P30","No recuerdo",0.73,0.654,0.337,0.5,0.494,0.904
"P31","Si",0.939,0.924,0.963,1,0.895,0.921
"P31","No",0.061,0.076,0.037,0,0.105,0.079
"P32","Si",0.502,0.486,0.7,0.627,0.813,0.509
"P32","No",0.498,0.514,0.3,0.373,0.187,0.491
"P33","Miedo al contagio",0.301,0.539,0.482,0.351,0.155,0.463
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.459,0.207,0.286,0.362,0.177,0.298
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.178,0.16,0.092,0.264,0.628,0.189
"P33","Porque era costoso el viaje",0.062,0.094,0.14,0.023,0.04,0.05
"P34","Si, una dosis",0.691,0.514,0.543,0.579,0.389,0.468
"P34","Si, dos dosis",0.246,0.42,0.229,0.38,0.401,0.332
"P34","Ninguna",0.063,0.066,0.228,0.041,0.21,0.2
"P35","Sputnik V",0.32,0.175,0.305,0.35,0.463,0.286
