"var","categoria","La quíntuple","La triple viral (Sarampión, rubeola y paperas)","La Neumococo","La BCG","Otra","No recuerda"
"P06","1 hijo",0.724,0.594,0.745,0.59,0.483,0.67
"P06","2 hijos",0.092,0.2,0.072,0.154,0.261,0.202
"P06","3 hijos",0.068,0.151,0.079,0.048,0.015,0.056
"P06","4 o más hijos",0.116,0.055,0.104,0.208,0.241,0.072
"P07","Con hijos de 3 años y menos",0.489,0.776,0.568,0.418,0.579,0.504
"P07","Con hijos mayores de 3 años",0.511,0.224,0.432,0.582,0.421,0.496
"P08","En un Centro de Salud",0.465,0.676,0.473,0.421,0.528,0.45
"P08","En un hospital",0.096,0.109,0.308,0.216,0.123,0.21
"P08","En un sanatorio",0,0,0.048,0.181,0.008,0.072
"P08","En un Consultorio Privado",0.068,0.114,0,0.028,0.155,0.035
"P08","En un vacunatorio",0.371,0.101,0.171,0.154,0.186,0.233
"P09","Si",0.972,0.822,0.98,0.622,0.753,0.967
"P09","No",0.028,0.178,0.02,0.378,0.247,0.033
"P10","Si, son efectivas",0.988,0.838,1,0.622,0.793,0.976
"P10","No, no son efectivas",0.012,0.162,0,0.378,0.207,0.024
"P11","Si",0.932,0.762,1,0.756,0.636,0.97
"P11","No",0.068,0.238,0,0.244,0.364,0.03
"P14","Si",0.961,0.962,0.872,0.664,0.821,0.938
"P14","No",0.039,0.038,0.128,0.336,0.179,0.062
"P15","Si, las conozco",0.89,0.702,0.624,0.388,0.728,0.849
"P15","No, no las conozco",0.024,0.202,0.128,0.029,0.165,0.103
"P15","Algunas",0.086,0.096,0.248,0.583,0.107,0.048
"P16","Si",0.78,0.362,0.475,0.682,0.654,0.647
"P16","A veces",0.146,0.548,0.525,0.29,0.201,0.212
"P16","No",0.074,0.09,0,0.028,0.145,0.141
"P17","Sí, hay suficiente información",0.297,0.246,0.12,0,0.151,0.275
"P17","No, no hay suficiente información",0.703,0.754,0.88,1,0.849,0.725
"P18","Si",0.493,0.354,0.059,0.168,0.321,0.155
"P18","Sí, pero es necesario",0.318,0.328,0.84,0.634,0.486,0.478
"P18","No",0.189,0.318,0.101,0.198,0.193,0.367
"P19","Sí, mucho",0.612,0.521,0.249,0.227,0.445,0.196
"P19","Si, un poco",0.356,0.467,0.722,0.773,0.504,0.653
"P19","No",0.032,0.012,0.029,0,0.051,0.151
"P20","Si",0.709,0.423,0.561,0.699,0.455,0.129
"P20","No",0.291,0.566,0.409,0.301,0.466,0.746
"P20","No recuerda",0,0.011,0.03,0,0.079,0.125
"P21","La quíntuple",0.563,0.38,0.053,0,0.349,0.314
"P21","La triple viral (Sarampión, rubeola y paperas)",0.081,0.216,0,0,0.057,0.015
"P21","La Neumococo",0,0.014,0.242,0,0,0.019
"P21","La BCG",0,0.037,0,0.808,0.054,0
"P21","Otra",0,0.29,0.411,0.192,0.366,0.028
"P21","No recuerda",0.356,0.063,0.294,0,0.174,0.624
"P22","Si",0.813,0.676,0.737,0.809,0.69,0.582
"P22","No",0.068,0.296,0.164,0.09,0.218,0.336
"P22","No recuerda",0.119,0.028,0.099,0.101,0.092,0.082
"P23","La quíntuple",0.722,0.248,0.146,0,0.344,0.168
"P23","La triple viral (Sarampión, rubeola y paperas)",0.089,0.083,0.042,0,0.132,0.044
"P23","La Neumococo",0,0.018,0.108,0,0.019,0.025
"P23","La BCG",0.033,0.261,0.042,0,0.046,0.073
"P23","Otra",0,0.216,0.03,0,0.24,0.004
"P23","No recuerda",0.156,0.174,0.632,1,0.219,0.686
"P24","Sí, una vez",0.46,0.116,0.429,0.52,0.358,0.086
"P24","Si varias veces",0.098,0.232,0.123,0.267,0.078,0.157
"P24","No",0.423,0.479,0.434,0.213,0.486,0.664
"P24","No recuerdo",0.019,0.173,0.014,0,0.078,0.093
"P25","Si",0.594,0.472,0.555,0.547,0.679,0.601
"P25","No",0.406,0.528,0.445,0.453,0.321,0.399
"P26","Si",0.675,0.457,0.424,0,0.427,0.404
"P26","No",0.325,0.543,0.576,1,0.573,0.596
"P27","Si, la Polio y la quíntuple",0.327,0.092,0.114,0.613,0.253,0.098
"P27","Si, la triple viral y la BCG",0.059,0.194,0.515,0.202,0.18,0.213
"P27","Otras",0.086,0.145,0.036,0,0.043,0.022
"P27","No recuerdo",0.528,0.569,0.335,0.185,0.524,0.667
"P28","Si",0.411,0.088,0.3,0,0.266,0.222
"P28","No",0.589,0.912,0.7,1,0.734,0.778
"P29","Si",0.282,0.325,0.239,0.096,0.153,0.218
"P29","No",0.718,0.675,0.761,0.904,0.847,0.782
"P30","Si, Infanrix",0.721,0,0,0,0.239,0.23
"P30","Si, Hexaxim",0.123,0.553,0.612,0,0.282,0
"P30","No recuerdo",0.156,0.447,0.388,1,0.479,0.77
"P31","Si",0.817,0.823,0.742,1,0.83,0.963
"P31","No",0.183,0.177,0.258,0,0.17,0.037
"P32","Si",0.33,0.438,0.602,0.096,0.432,0.536
"P32","No",0.67,0.562,0.398,0.904,0.568,0.464
"P33","Miedo al contagio",0.403,0.161,0.353,1,0.583,0.48
