"var","categoria","Si, una dosis","Si, dos dosis","Ninguna"
"P06","1 hijo",0.586,0.586,0.484
"P06","2 hijos",0.292,0.3,0.249
"P06","3 hijos",0.078,0.059,0.143
"P06","4 o más hijos",0.044,0.055,0.124
"P07","Con hijos de 3 años y menos",0.429,0.396,0.571
"P07","Con hijos mayores de 3 años",0.571,0.604,0.429
"P08","En un Centro de Salud",0.503,0.462,0.563
"P08","En un hospital",0.249,0.201,0.183
"P08","En un sanatorio",0.027,0.046,0.042
"P08","En un Consultorio Privado",0.022,0.044,0.083
"P08","En un vacunatorio",0.199,0.247,0.129
"P09","Si",0.984,0.981,0.887
"P09","No",0.016,0.019,0.113
"P10","Si, son efectivas",0.99,0.994,0.893
"P10","No, no son efectivas",0.01,0.006,0.107
"P11","Si",0.983,0.97,0.794
"P11","No",0.017,0.03,0.206
"P12","Si",0.15,0.125,0.257
"P12","No",0.85,0.875,0.743
"P13","La quíntuple",0.192,0.036,0.019
"P13","La triple viral (Sarampión, rubeola y paperas)",0.112,0.133,0.138
"P13","La Neumococo",0.07,0.04,0.177
"P13","La BCG",0.004,0,0.026
"P13","Otra",0.131,0.185,0.38
"P13","No recuerda",0.491,0.606,0.26
"P14","Si",0.942,0.949,0.903
"P14","No",0.058,0.051,0.097
"P15","Si, las conozco",0.838,0.859,0.707
"P15","No, no las conozco",0.07,0.061,0.137
"P15","Algunas",0.092,0.08,0.156
"P16","Si",0.77,0.704,0.558
"P16","A veces",0.173,0.233,0.379
"P16","No",0.057,0.063,0.063
"P17","Sí, hay suficiente información",0.235,0.18,0.135
"P17","No, no hay suficiente información",0.765,0.82,0.865
"P18","Si",0.094,0.07,0.214
"P18","Sí, pero es necesario",0.524,0.532,0.538
"P18","No",0.382,0.398,0.248
"P19","Sí, mucho",0.195,0.113,0.325
"P19","Si, un poco",0.697,0.752,0.61
"P19","No",0.108,0.135,0.065
"P20","Si",0.176,0.11,0.381
"P20","No",0.763,0.825,0.492
"P20","No recuerda",0.061,0.065,0.127
"P21","La quíntuple",0.357,0.219,0.044
"P21","La triple viral (Sarampión, rubeola y paperas)",0.149,0.249,0.087
"P21","La Neumococo",0.029,0.056,0.083
"P21","La BCG",0.048,0.072,0.123
"P21","Otra",0.046,0.137,0.23
"P21","No recuerda",0.371,0.267,0.433
"P22","Si",0.572,0.536,0.729
"P22","No",0.34,0.37,0.192
"P22","No recuerda",0.088,0.094,0.079
"P23","La quíntuple",0.313,0.184,0.109
"P23","La triple viral (Sarampión, rubeola y paperas)",0.13,0.175,0.064
"P23","La Neumococo",0.06,0.042,0.098
"P23","La BCG",0.08,0.086,0.022
"P23","Otra",0.046,0.079,0.097
"P23","No recuerda",0.371,0.434,0.61
"P24","Sí, una vez",0.103,0.101,0.188
"P24","Si varias veces",0.063,0.105,0.153
"P24","No",0.743,0.728,0.568
"P24","No recuerdo",0.091,0.066,0.091
"P25","Si",0.693,0.702,0.472
"P25","No",0.307,0.298,0.528
"P26","Si",0.516,0.596,0.209
"P26","No",0.484,0.404,0.791
"P27","Si, la Polio y la quíntuple",0.168,0.194,0.079
"P27","Si, la triple viral y la BCG",0.261,0.228,0.266
"P27","Otras",0.027,0.058,0.014
"P27","No recuerdo",0.544,0.52,0.641
"P28","Si",0.316,0.409,0.17
"P28","No",0.684,0.591,0.83
"P29","Si",0.201,0.229,0.168
"P29","No",0.799,0.771,0.832
"P30","Si, Infanrix",0.138,0.119,0.024
"P30","Si, Hexaxim",0.143,0.164,0.244
"P30","No recuerdo",0.719,0.717,0.732
"P31","Si",0.933,0.943,0.842
"P31","No",0.067,0.057,0.158
"P32","Si",0.544,0.572,0.412
"P32","No",0.456,0.428,0.588
"P33","Miedo al contagio",0.455,0.398,0.414
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.326,0.387,0.286
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.143,0.158,0.295
"P33","Porque era costoso el viaje",0.076,0.057,0.005
"P35","Sputnik V",0.389,0.183,NA
"P35","Sinopharm",0.195,0.477,NA
"P35","AstraZeneca",0.375,0.268,NA
"P35","Johnson",0.005,0.003,NA
"P35","Phizer",0.01,0.012,NA
"P35","Moderna",0.001,0.02,NA
"P35","Otra",0.025,0.037,NA
