clave	texto
encuesta_especial	Tracking diario AYSA - Corte 221 - Voto Anterior C/R completo
bajada_encuesta_especial	Encuesta Contínua Social y Sanitaria
bajada_encuesta_especial_fecha	22/11/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	CABA, Jose C. Paz, Malvinas Argentinas, Pilar, San Fernando, San Isidro, San Martín, San Miguel, Tigre, Vicente Lopez, La Matanza , Merlo, Moreno, Ituzaingo, Hurlingam, Moron, Tres De Febrero, Avellaneda, Florencio Varela, Lanus, Quilmes, Almte Brown, Esteban Echeverria, Ezeiza, Lomas De Zamora, Presidente Peron.
ficha_Estratificación	Cordones I, II y III del Gran Buenos Aires y CABA.
ficha_Técnicas de recolección de información	ECA - Encuesta Contínua Automática con voz humana.
ficha_Diseño muestral	Muestreo dinámico aleatorio con captura de datos en tiempo real y de manera continua (sin rellamada y con reposición) implicando una ventana móvil de siete días, estratificado por CABA y Cordones I, II y III de la RMBA. Con captura datos en tiempo real y de manera contínua. La probabilidad de selección hacia el interior de cada estrato se definió de manera proporcional al tamaño del departamento.
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 13/11/2023 al 19/11/2023. Abarca 9.516 casos efectivos, acumulando 668.238 de estimaciones totales.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 1.64 %
