"var","categoria","Que continúe el intendente Lucas Gui","Que continúe Lucas Gui pero con mejoras","Que cambie Lucas Gui pero que se mantengan los avances","Que cambie el intendente Lucas Gui"
"P07","Del Frente de Todos y el peronismo",0.73,0.553,0.301,0.074
"P07","De Cambiemos",0.047,0.142,0.325,0.453
"P07","De los Liberales libertarios",0.055,0.149,0.277,0.347
"P07","De la Izquierda",0.012,0.03,0.026,0.022
"P07","No sabe",0.156,0.126,0.071,0.104
"P09","A Alberto Fernández",0.152,0.2,0.189,0.048
"P09","A Sergio Massa",0.082,0.096,0.242,0.182
"P09","A algún candidato del peronismo",0.087,0.086,0.098,0.377
"P09","A algún candidato del kirchnerismo",0.679,0.618,0.471,0.393
"P10","A Alberto Fernández",0.058,0.109,0.121,0.11
"P10","A Sergio Massa",0.04,0.025,0.164,0.144
"P10","A algún candidato del peronismo",0.068,0.067,0.063,0.291
"P10","A Cristina Fernández de Kirchner",0.834,0.799,0.652,0.455
"P11","A Horacio Rodriguez Larreta",0.331,0.211,0.291,0.156
"P11","A Patricia Bullrich",0.096,0.439,0.599,0.776
"P11","A Facundo Manes",0.432,0.21,0.084,0.039
"P11","A Gerardo Morales",0.141,0.14,0.026,0.029
"P12","Lo votaria",0.808,0.453,0.197,0.02
"P12","Puede que lo vote",0.068,0.295,0.181,0.117
"P12","Nunca lo votaría",0.062,0.128,0.389,0.724
"P12","No sabe",0.062,0.124,0.233,0.139
"P13","Lo votaria",0.163,0.072,0.203,0.196
"P13","Puede que lo vote",0.055,0.156,0.221,0.305
"P13","Nunca lo votaría",0.694,0.61,0.422,0.341
"P13","No sabe",0.088,0.162,0.154,0.158
"P14","Lo votaria",0.063,0.038,0.085,0.082
"P14","Puede que lo vote",0.033,0.134,0.212,0.17
"P14","Nunca lo votaría",0.622,0.423,0.354,0.335
"P14","No sabe",0.282,0.405,0.349,0.413
"P15","Lo votaria",0.069,0.046,0.069,0.021
"P15","Puede que lo vote",0.137,0.2,0.146,0.101
"P15","Nunca lo votaría",0.54,0.338,0.404,0.487
"P15","No sabe",0.254,0.416,0.381,0.391
"P16","Lo votaria",0.037,0.032,0.068,0.03
"P16","Puede que lo vote",0.023,0.092,0.115,0.077
"P16","Nunca lo votaría",0.607,0.449,0.314,0.426
"P16","No sabe",0.333,0.427,0.503,0.467
"P17","Lo votaria",0.058,0.008,0.06,0.027
"P17","Puede que lo vote",0.022,0.067,0.101,0.087
"P17","Nunca lo votaría",0.62,0.506,0.42,0.424
"P17","No sabe",0.3,0.419,0.419,0.462
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.753,0.499,0.173,0.037
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.03,0.084,0.085,0.025
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.066,0.061,0.218,0.21
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.041,0.109,0.196,0.333
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.002,0.013,0.053,0.054
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.08,0.079,0.066,0.074
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.028,0.095,0.164,0.178
"P18","Al candidato del Frente de Izquierda",0,0.019,0.012,0.022
"P18","No sabe",0,0.041,0.033,0.067
