"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Del Frente de Todos y el peronismo",0.174,0.316,0.342,0.295
"P07","De Cambiemos",0.435,0.366,0.237,0.274
"P07","De los Liberales libertarios",0.166,0.218,0.231,0.228
"P07","De la Izquierda",0.03,0.05,0.031,0.018
"P07","No sabe",0.195,0.05,0.159,0.185
"P09","A Alberto Fernández",0.443,0.472,0.098,0.154
"P09","A Sergio Massa",0.085,0.265,0.169,0.121
"P09","A algún candidato del peronismo",0.472,0.087,0.124,0.14
"P09","A algún candidato del kirchnerismo",0,0.176,0.609,0.585
"P10","A Alberto Fernández",0.21,0.305,0.033,0.109
"P10","A Sergio Massa",0.085,0.216,0.095,0.043
"P10","A algún candidato del peronismo",0.195,0.087,0.099,0.089
"P10","A Cristina Fernández de Kirchner",0.51,0.392,0.773,0.759
"P11","A Horacio Rodriguez Larreta",0.34,0.143,0.22,0.251
"P11","A Patricia Bullrich",0.419,0.727,0.664,0.615
"P11","A Facundo Manes",0.018,0.13,0.075,0.093
"P11","A Gerardo Morales",0.223,0,0.041,0.041
"P12","Lo votaria",0.487,0.109,0.322,0.212
"P12","Puede que lo vote",0.091,0.409,0.125,0.156
"P12","Nunca lo votaría",0.319,0.363,0.469,0.343
"P12","No sabe",0.103,0.119,0.084,0.289
"P13","Lo votaria",0.428,0.124,0.153,0.12
"P13","Puede que lo vote",0.186,0.509,0.143,0.185
"P13","Nunca lo votaría",0.204,0.319,0.626,0.347
"P13","No sabe",0.182,0.048,0.078,0.348
"P14","Lo votaria",0.4,0.128,0.062,0.034
"P14","Puede que lo vote",0.142,0.575,0.103,0.073
"P14","Nunca lo votaría",0.297,0.156,0.732,0.158
"P14","No sabe",0.161,0.141,0.103,0.735
"P15","Lo votaria",0.462,0.082,0.026,0.014
"P15","Puede que lo vote",0.115,0.667,0.097,0.075
"P15","Nunca lo votaría",0.274,0.188,0.807,0.134
"P15","No sabe",0.149,0.063,0.07,0.777
"P17","Lo votaria",0.443,0.113,0.015,0.015
"P17","Puede que lo vote",0.089,0.439,0.05,0.025
"P17","Nunca lo votaría",0.244,0.248,0.85,0.149
"P17","No sabe",0.224,0.2,0.085,0.811
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.175,0.188,0.307,0.26
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0,0.138,0.055,0.041
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.155,0.169,0.191,0.097
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.375,0.224,0.137,0.238
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.007,0.035,0.031,0.034
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.12,0.024,0.111,0.042
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.115,0.176,0.097,0.168
"P18","Al candidato del Frente de Izquierda",0.053,0,0.018,0.02
"P18","No sabe",0,0.046,0.053,0.1
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.301,0.146,0.321,0.2
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.065,0.114,0.057,0.071
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.31,0.151,0.103,0.101
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.146,0.29,0.142,0.208
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.046,0.193,0.193,0.213
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0,0.036,0.031
"P19","No sabe",0.132,0.106,0.148,0.176
