"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Del Frente de Todos y el peronismo",0.189,0.131,0.447,0.215
"P07","De Cambiemos",0.529,0.541,0.212,0.289
"P07","De los Liberales libertarios",0.107,0.204,0.212,0.292
"P07","De la Izquierda",0.009,0.031,0.018,0.022
"P07","No sabe",0.166,0.093,0.111,0.182
"P09","A Alberto Fernández",0.349,0.215,0.163,0.136
"P09","A Sergio Massa",0.076,0.317,0.086,0.233
"P09","A algún candidato del peronismo",0.248,0.255,0.085,0.149
"P09","A algún candidato del kirchnerismo",0.327,0.213,0.666,0.482
"P10","A Alberto Fernández",0.413,0.193,0.069,0.045
"P10","A Sergio Massa",0,0.084,0.051,0.144
"P10","A algún candidato del peronismo",0.363,0.188,0.065,0.138
"P10","A Cristina Fernández de Kirchner",0.224,0.535,0.815,0.673
"P11","A Horacio Rodriguez Larreta",0.11,0.204,0.196,0.222
"P11","A Patricia Bullrich",0.55,0.705,0.704,0.707
"P11","A Facundo Manes",0.16,0.053,0.069,0.053
"P11","A Gerardo Morales",0.18,0.038,0.031,0.018
"P12","Lo votaria",0.19,0.13,0.377,0.236
"P12","Puede que lo vote",0.124,0.246,0.145,0.15
"P12","Nunca lo votaría",0.585,0.542,0.382,0.343
"P12","No sabe",0.101,0.082,0.096,0.271
"P13","Lo votaria",0.278,0.188,0.151,0.178
"P13","Puede que lo vote",0.219,0.467,0.165,0.214
"P13","Nunca lo votaría",0.377,0.253,0.584,0.305
"P13","No sabe",0.126,0.092,0.1,0.303
"P14","Lo votaria",0.226,0.141,0.043,0.035
"P14","Puede que lo vote",0.122,0.249,0.118,0.129
"P14","Nunca lo votaría",0.308,0.28,0.489,0.297
"P14","No sabe",0.344,0.33,0.35,0.539
"P15","Lo votaria",0.185,0.044,0.036,0.007
"P15","Puede que lo vote",0.079,0.13,0.159,0.064
"P15","Nunca lo votaría",0.426,0.456,0.498,0.337
"P15","No sabe",0.31,0.37,0.307,0.592
"P16","Lo votaria",0.204,0.013,0.034,0.008
"P16","Puede que lo vote",0.007,0.189,0.045,0.052
"P16","Nunca lo votaría",0.424,0.345,0.538,0.286
"P16","No sabe",0.365,0.453,0.383,0.654
"P17","Lo votaria",0.173,0.016,0.023,0.022
"P17","Puede que lo vote",0.049,0.183,0.055,0.019
"P17","Nunca lo votaría",0.385,0.42,0.556,0.32
"P17","No sabe",0.393,0.381,0.366,0.639
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.089,0.115,0.396,0.228
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.048,0.045,0.054,0.031
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.198,0.247,0.12,0.206
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.338,0.274,0.163,0.23
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.016,0.043,0.045,0.018
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.278,0.063,0.064,0.035
