"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.14,0.249,0.502,0.3,0.278
"P07","De Cambiemos",0.616,0.315,0.146,0.23,0.159
"P07","De los Liberales libertarios",0.17,0.328,0.187,0.213,0.371
"P07","De la Izquierda",0,0.012,0.041,0,0
"P07","No sabe",0.074,0.096,0.124,0.257,0.192
"P09","A Alberto Fernández",0.297,0.286,0.101,0.132,0.202
"P09","A Sergio Massa",0.096,0.273,0.112,0.219,0.097
"P09","A algún candidato del peronismo",0.262,0.157,0.096,0.093,0.133
"P09","A algún candidato del kirchnerismo",0.345,0.284,0.691,0.556,0.568
"P10","A Alberto Fernández",0.222,0.178,0.04,0,0.209
"P10","A Sergio Massa",0.105,0.096,0.053,0.107,0
"P10","A algún candidato del peronismo",0.298,0.145,0.051,0.106,0.036
"P10","A Cristina Fernández de Kirchner",0.375,0.581,0.856,0.787,0.755
"P11","A Horacio Rodriguez Larreta",0.2,0.282,0.15,0.285,0
"P11","A Patricia Bullrich",0.739,0.625,0.614,0.543,0.955
"P11","A Facundo Manes",0.024,0.051,0.163,0.172,0
"P11","A Gerardo Morales",0.037,0.042,0.073,0,0.045
"P12","Lo votaria",0.113,0.164,0.463,0.063,0.115
"P12","Puede que lo vote",0.157,0.176,0.137,0.299,0.148
"P12","Nunca lo votaría",0.65,0.463,0.329,0.25,0.225
"P12","No sabe",0.08,0.197,0.071,0.388,0.512
"P13","Lo votaria",0.469,0.102,0.057,0.082,0.042
"P13","Puede que lo vote",0.337,0.382,0.076,0.134,0.12
"P13","Nunca lo votaría",0.117,0.303,0.781,0.32,0.32
"P13","No sabe",0.077,0.213,0.086,0.464,0.518
"P14","Lo votaria",0.182,0.065,0.023,0.044,0.026
"P14","Puede que lo vote",0.197,0.228,0.076,0.061,0.058
"P14","Nunca lo votaría",0.293,0.3,0.565,0.248,0.301
"P14","No sabe",0.328,0.407,0.336,0.647,0.615
"P15","Lo votaria",0.063,0.035,0.028,0.008,0.026
"P15","Puede que lo vote",0.131,0.15,0.141,0.194,0.015
"P15","Nunca lo votaría",0.462,0.405,0.535,0.121,0.32
"P15","No sabe",0.344,0.41,0.296,0.677,0.639
"P16","Lo votaria",0.053,0.049,0.015,0,0.026
"P16","Puede que lo vote",0.138,0.091,0.041,0.13,0.035
"P16","Nunca lo votaría",0.402,0.401,0.554,0.169,0.364
"P16","No sabe",0.407,0.459,0.39,0.701,0.575
"P17","Lo votaria",0.081,0.047,0.007,0,0.038
"P17","Puede que lo vote",0.141,0.097,0.04,0.061,0.031
"P17","Nunca lo votaría",0.391,0.436,0.589,0.235,0.26
"P17","No sabe",0.387,0.42,0.364,0.704,0.671
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.06,0.171,0.466,0.212,0.271
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.048,0.062,0.047,0.148,0.026
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.329,0.157,0.062,0.093,0.09
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.403,0.237,0.122,0.179,0.123
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.023,0.073,0.023,0.024,0.035
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.048,0.104,0.086,0.062,0.042
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.046,0.164,0.115,0.19,0.274
"P18","Al candidato del Frente de Izquierda",0,0.007,0.03,0,0.015
"P18","No sabe",0.043,0.025,0.049,0.092,0.124
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.094,0.208,0.422,0.129,0.147
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.066,0.038,0.085,0.161,0.066
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.278,0.132,0.025,0.094,0.006
