"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Del Frente de Todos y el peronismo",0.784,0.721,0.125,0.456
"P07","De Cambiemos",0.086,0.026,0.459,0.164
"P07","De los Liberales libertarios",0.046,0.11,0.289,0.121
"P07","De la Izquierda",0,0.02,0.022,0.025
"P07","No sabe",0.084,0.123,0.105,0.234
"P09","A Alberto Fernández",0.279,0.117,0.217,0.022
"P09","A Sergio Massa",0.219,0.067,0.066,0.166
"P09","A algún candidato del peronismo",0.083,0.086,0.204,0.04
"P09","A algún candidato del kirchnerismo",0.419,0.73,0.513,0.772
"P10","A Alberto Fernández",0.15,0.094,0.034,0.022
"P10","A Sergio Massa",0.105,0.041,0.02,0.086
"P10","A algún candidato del peronismo",0.08,0.046,0.208,0.039
"P10","A Cristina Fernández de Kirchner",0.665,0.819,0.738,0.853
"P11","A Horacio Rodriguez Larreta",0.224,0.688,0.16,0.405
"P11","A Patricia Bullrich",0.307,0.148,0.735,0.375
"P11","A Facundo Manes",0.372,0,0.064,0.092
"P11","A Gerardo Morales",0.097,0.164,0.041,0.128
"P12","Lo votaria",0.556,0.601,0.134,0.439
"P12","Puede que lo vote",0.127,0.164,0.155,0.227
"P12","Nunca lo votaría",0.142,0.116,0.614,0.133
"P12","No sabe",0.175,0.119,0.097,0.201
"P13","Lo votaria",0.146,0.065,0.224,0.1
"P13","Puede que lo vote",0.123,0.133,0.302,0.112
"P13","Nunca lo votaría",0.555,0.732,0.357,0.534
"P13","No sabe",0.176,0.07,0.117,0.254
"P14","Lo votaria",0.128,0.015,0.09,0.012
"P14","Puede que lo vote",0.119,0.112,0.176,0.084
"P14","Nunca lo votaría",0.432,0.571,0.362,0.38
"P14","No sabe",0.321,0.302,0.372,0.524
"P15","Lo votaria",0.164,0.011,0.038,0.017
"P15","Puede que lo vote",0.164,0.249,0.106,0.105
"P15","Nunca lo votaría",0.302,0.431,0.525,0.319
"P15","No sabe",0.37,0.309,0.331,0.559
"P16","Lo votaria",0.077,0.016,0.045,0.007
"P16","Puede que lo vote",0.071,0.058,0.082,0.06
"P16","Nunca lo votaría",0.428,0.537,0.459,0.367
"P16","No sabe",0.424,0.389,0.414,0.566
"P17","Lo votaria",0.139,0.004,0.029,0.007
