"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.625,0.218,0.083,0.385,0.394
"P07","De Cambiemos",0.183,0.32,0.427,0.083,0.133
"P07","De los Liberales libertarios",0.077,0.288,0.363,0.29,0.28
"P07","De la Izquierda",0.017,0.026,0.023,0,0
"P07","No sabe",0.098,0.148,0.104,0.242,0.193
"P09","A Alberto Fernández",0.147,0.224,0.082,0.083,0.167
"P09","A Sergio Massa",0.122,0.163,0.15,0.292,0.226
"P09","A algún candidato del peronismo",0.101,0.137,0.306,0.041,0.13
"P09","A algún candidato del kirchnerismo",0.63,0.476,0.462,0.584,0.477
"P10","A Alberto Fernández",0.082,0.106,0.034,0,0.2
"P10","A Sergio Massa",0.047,0.154,0.131,0.083,0
"P10","A algún candidato del peronismo",0.06,0.072,0.423,0.041,0.036
"P10","A Cristina Fernández de Kirchner",0.811,0.668,0.412,0.876,0.764
"P11","A Horacio Rodriguez Larreta",0.242,0.34,0.143,0.169,0.291
"P11","A Patricia Bullrich",0.541,0.51,0.802,0.831,0.709
"P11","A Facundo Manes",0.14,0.093,0.027,0,0
"P11","A Gerardo Morales",0.077,0.057,0.028,0,0
"P12","Lo votaria",0.632,0.085,0.016,0.132,0.127
"P12","Puede que lo vote",0.204,0.228,0.091,0.084,0.015
"P12","Nunca lo votaría",0.094,0.428,0.814,0.175,0.22
"P12","No sabe",0.07,0.259,0.079,0.609,0.638
"P13","Lo votaria",0.158,0.123,0.2,0.026,0.023
"P13","Puede que lo vote",0.149,0.254,0.277,0.121,0.038
"P13","Nunca lo votaría",0.61,0.384,0.406,0.163,0.327
"P13","No sabe",0.083,0.239,0.117,0.69,0.612
"P14","Lo votaria",0.062,0.075,0.085,0.017,0
"P14","Puede que lo vote",0.142,0.151,0.132,0.104,0.03
"P14","Nunca lo votaría",0.503,0.363,0.38,0.153,0.223
"P14","No sabe",0.293,0.411,0.403,0.726,0.747
"P15","Lo votaria",0.056,0.03,0.021,0,0.015
"P15","Puede que lo vote",0.203,0.129,0.07,0.072,0.075
"P15","Nunca lo votaría",0.451,0.415,0.539,0.107,0.208
"P15","No sabe",0.29,0.426,0.37,0.821,0.702
"P16","Lo votaria",0.036,0.048,0.023,0.017,0
"P16","Puede que lo vote",0.104,0.071,0.062,0.055,0
"P16","Nunca lo votaría",0.53,0.388,0.448,0.247,0.247
"P16","No sabe",0.33,0.493,0.467,0.681,0.753
"P17","Lo votaria",0.033,0.036,0.038,0,0
"P17","Puede que lo vote",0.077,0.08,0.079,0.072,0.026
"P17","Nunca lo votaría",0.56,0.429,0.459,0.106,0.317
"P17","No sabe",0.33,0.455,0.424,0.822,0.657
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.595,0.167,0.017,0.276,0.273
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.079,0.083,0.01,0.098,0.034
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.09,0.161,0.226,0.012,0.037
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.097,0.246,0.324,0.286,0.073
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.01,0.037,0.064,0,0.03
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.054,0.088,0.094,0.016,0.106
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.048,0.153,0.173,0.224,0.315
"P18","Al candidato del Frente de Izquierda",0.009,0.019,0.022,0,0
"P18","No sabe",0.018,0.046,0.07,0.088,0.132
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.544,0.144,0.043,0.187,0.165
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.1,0.082,0.035,0.11,0.094
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.073,0.179,0.129,0.02,0.038
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.09,0.197,0.33,0.122,0.075
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.059,0.259,0.275,0.306,0.342
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.027,0.027,0.027,0.009,0.046
"P19","No sabe",0.107,0.112,0.161,0.246,0.24
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.708,0.199,0.05,0.347,0.299
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.124,0.323,0.386,0.154,0.12
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.066,0.225,0.298,0.339,0.292
"P20","Al candidato del Frente de Izquierda",0.034,0.052,0.061,0,0.086
"P20","No sabe",0.068,0.201,0.205,0.16,0.203
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.728,0.219,0.049,0.385,0.393
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.16,0.329,0.442,0.143,0.13
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.058,0.297,0.289,0.278,0.351
"P21","Al candidato del Frente de Izquierda",0.001,0.041,0.047,0,0
"P21","No sabe",0.053,0.114,0.173,0.194,0.126
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.631,0.168,0.025,0.285,0.347
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.144,0.246,0.314,0.083,0.082
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.079,0.331,0.372,0.328,0.366
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.03,0.053,0.056,0,0.04
"P22","No sabe",0.116,0.202,0.233,0.304,0.165
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.648,0.138,0.025,0.263,0.319
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.168,0.273,0.408,0.143,0.149
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.068,0.364,0.317,0.348,0.298
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.018,0.045,0.047,0,0.04
"P23","No sabe",0.098,0.18,0.203,0.246,0.194
"P25","Positiva",0.244,0.032,0.036,0.013,0.034
"P25","Neutra",0.388,0.571,0.15,0.08,0.109
"P25","Negativa",0.152,0.13,0.599,0.038,0.086
"P25","No sabe",0.099,0.164,0.137,0.599,0.031
"P25","No lo conozco",0.117,0.103,0.078,0.27,0.74
"P26","Positiva",0.162,0.208,0.308,0.061,0.073
"P26","Neutra",0.166,0.44,0.229,0.156,0.226
"P26","Negativa",0.59,0.26,0.416,0.155,0.077
"P26","No sabe",0.034,0.059,0.024,0.302,0.107
"P26","No lo conozco",0.048,0.033,0.023,0.326,0.517
"P27","Positiva",0.146,0.098,0.206,0.021,0.056
"P27","Neutra",0.222,0.429,0.242,0.125,0.174
"P27","Negativa",0.339,0.173,0.264,0,0.122
"P27","No sabe",0.118,0.136,0.137,0.468,0.106
"P27","No lo conozco",0.175,0.164,0.151,0.386,0.542
"P28","Positiva",0.1,0.055,0.09,0,0
"P28","Neutra",0.28,0.326,0.199,0.175,0.154
"P28","Negativa",0.209,0.196,0.247,0.02,0.007
"P28","No sabe",0.143,0.202,0.207,0.444,0.114
"P28","No lo conozco",0.268,0.221,0.257,0.361,0.725
"P29","Positiva",0.087,0.146,0.136,0.011,0.008
"P29","Neutra",0.203,0.333,0.228,0.125,0.113
"P29","Negativa",0.334,0.178,0.286,0.021,0.086
"P29","No sabe",0.124,0.17,0.142,0.474,0.017
"P29","No lo conozco",0.252,0.173,0.208,0.369,0.776
"P30","Positiva",0.757,0.086,0.03,0.139,0.043
"P30","Neutra",0.109,0.474,0.089,0.029,0.334
"P30","Negativa",0.113,0.408,0.868,0.106,0.281
"P30","No sabe",0.021,0.032,0.013,0.726,0.342
"P31","Que continúe el intendente Lucas Gui",0.395,0.046,0.02,0.115,0.095
"P31","Que continúe Lucas Gui pero con mejoras",0.452,0.221,0.033,0.07,0.174
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.051,0.283,0.063,0.19,0.04
"P31","Que cambie el intendente Lucas Gui",0.102,0.45,0.884,0.625,0.691
"P32","La seguridad",0.138,0.035,0.044,0.055,0.056
"P32","El tránsito",0.087,0.025,0.022,0.101,0.141
"P32","El arreglo de las calles",0.16,0.183,0.026,0.013,0.099
"P32","Los parques y espacios públicos",0.182,0.192,0.122,0.159,0.139
"P32","El sistema de salud",0.107,0.026,0.038,0.039,0
"P32","La limpieza de las calles",0.081,0.043,0.056,0.051,0.112
"P32","El deporte y la cultura",0.122,0.118,0.06,0.205,0.012
"P32","La luminaria",0.039,0.059,0.086,0.064,0.047
"P32","No sabe",0.084,0.319,0.546,0.313,0.394
"P33","La seguridad",0.323,0.511,0.592,0.514,0.353
"P33","El tránsito",0.094,0.032,0.032,0.161,0.024
"P33","El arreglo de las calles",0.23,0.215,0.136,0.068,0.176
"P33","Los parques y espacios públicos",0.029,0.039,0.051,0,0
"P33","El sistema de salud",0.05,0.073,0.038,0.018,0.073
"P33","La limpieza de las calles",0.064,0.006,0.023,0.034,0.023
"P33","El deporte y la cultura",0.014,0.056,0.019,0,0
"P33","La luminaria",0.026,0.003,0.018,0.064,0
"P33","No sabe",0.17,0.065,0.091,0.141,0.351
"P34","Agua corriente y cloacas",0.24,0.228,0.273,0.187,0.364
"P34","Energía eléctrica",0.126,0.162,0.139,0.368,0.232
"P34","Red de gas natural",0.057,0.092,0.065,0.022,0.025
"P34","Recolección de residuos",0.198,0.228,0.31,0.266,0.214
"P34","Ninguno",0.379,0.29,0.213,0.157,0.165
"P35","Los robos",0.452,0.392,0.498,0.407,0.246
"P35","El narcotráfico",0.124,0.082,0.106,0.159,0.068
"P35","La ausencia de patrulleros y personal policial",0.183,0.329,0.22,0.103,0.299
"P35","Otro",0.136,0.125,0.136,0.296,0.221
"P35","Ninguno",0.105,0.072,0.04,0.035,0.166
"P36","Positiva",0.37,0.244,0.145,0.078,0.287
"P36","Neutra",0.311,0.352,0.208,0,0.325
"P36","Negativa",0.137,0.252,0.496,0.167,0.083
"P36","No sabe",0.182,0.152,0.151,0.755,0.305
"P37","Lo votaria",0.168,0.039,0.037,0.048,0.269
"P37","Puede que lo vote",0.332,0.09,0.022,0.059,0.04
"P37","Nunca lo votaría",0.373,0.777,0.862,0.736,0.533
"P37","No sabe",0.127,0.094,0.079,0.157,0.158
"P38","Lo votaria",0.177,0.063,0.033,0.203,0.128
"P38","Puede que lo vote",0.339,0.133,0.064,0.286,0.142
"P38","Nunca lo votaría",0.354,0.692,0.86,0.405,0.433
"P38","No sabe",0.13,0.112,0.043,0.106,0.297
"P39","Lo votaria",0.21,0.041,0.033,0.094,0.104
"P39","Puede que lo vote",0.395,0.08,0.047,0.059,0.094
"P39","Nunca lo votaría",0.285,0.794,0.874,0.799,0.546
"P39","No sabe",0.11,0.085,0.046,0.048,0.256
"P40","Lo votaria",0.1,0.158,0.111,0.071,0.115
"P40","Puede que lo vote",0.123,0.241,0.407,0.142,0.099
"P40","Nunca lo votaría",0.714,0.503,0.428,0.62,0.589
"P40","No sabe",0.063,0.098,0.054,0.167,0.197
"P41","Lo votaria",0.138,0.253,0.47,0.317,0.236
"P41","Puede que lo vote",0.094,0.223,0.24,0.26,0.131
"P41","Nunca lo votaría",0.726,0.465,0.238,0.351,0.455
"P41","No sabe",0.042,0.059,0.052,0.072,0.178
"P42","Lo votaria",0.077,0.111,0.104,0.108,0.067
