clase,Todos,Hombres,Mujeres,16-29 años,30-49 años,50-64 años,65+ años,Hasta primario completo,Secundario completo/incompleto,Terciario completo/incompleto,Fernandez,Macri,Lavagna,Gui,Tagliaferro,Cassese,Sebriano,F. Fernández,opciones
Muy buena,0.164,0.139,0.187,0.155,0.167,0.178,0.151,0.14,0.155,0.194,0.295,0.047,0.063,0.291,0.041,0,0.196,0.076,4
Buena,0.161,0.151,0.169,0.129,0.202,0.149,0.135,0.129,0.183,0.156,0.282,0.077,0.08,0.282,0.079,0.12,0.118,0.051,4
Ni buena ni mala,0.182,0.167,0.195,0.159,0.159,0.176,0.251,0.22,0.175,0.163,0.14,0.208,0.376,0.154,0.206,0.185,0.331,0.318,4
Mala,0.189,0.202,0.177,0.11,0.169,0.244,0.239,0.216,0.177,0.185,0.138,0.249,0.162,0.145,0.264,0.032,0.045,0.062,4
Muy mala,0.253,0.287,0.224,0.392,0.257,0.216,0.154,0.218,0.267,0.261,0.101,0.375,0.271,0.106,0.383,0.604,0.268,0.188,4
No sabe,0.051,0.054,0.048,0.055,0.046,0.037,0.07,0.077,0.043,0.041,0.044,0.044,0.048,0.022,0.027,0.059,0.042,0.305,4
Muy buena,0.164,0.139,0.187,0.155,0.167,0.178,0.151,0.14,0.155,0.194,0.295,0.047,0.063,0.291,0.041,0,0.196,0.076,6
Buena,0.161,0.151,0.169,0.129,0.202,0.149,0.135,0.129,0.183,0.156,0.282,0.077,0.08,0.282,0.079,0.12,0.118,0.051,6
Ni buena ni mala,0.182,0.167,0.195,0.159,0.159,0.176,0.251,0.22,0.175,0.163,0.14,0.208,0.376,0.154,0.206,0.185,0.331,0.318,6
Mala,0.189,0.202,0.177,0.11,0.169,0.244,0.239,0.216,0.177,0.185,0.138,0.249,0.162,0.145,0.264,0.032,0.045,0.062,6
Muy mala,0.253,0.287,0.224,0.392,0.257,0.216,0.154,0.218,0.267,0.261,0.101,0.375,0.271,0.106,0.383,0.604,0.268,0.188,6
No sabe,0.051,0.054,0.048,0.055,0.046,0.037,0.07,0.077,0.043,0.041,0.044,0.044,0.048,0.022,0.027,0.059,0.042,0.305,6
