"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Del Frente de Todos y el peronismo",0.081,0.08,0.522,0.228
"P07","De Cambiemos",0.336,0.547,0.207,0.27
"P07","De los Liberales libertarios",0.462,0.296,0.111,0.297
"P07","De la Izquierda",0.005,0.005,0.032,0.006
"P07","No sabe",0.116,0.072,0.128,0.199
"P09","A Alberto Fernández",0.397,0.269,0.155,0.201
"P09","A Sergio Massa",0,0,0.112,0.306
"P09","A algún candidato del peronismo",0.603,0.298,0.079,0.134
"P09","A algún candidato del kirchnerismo",0,0.433,0.654,0.359
"P10","A Alberto Fernández",0.467,0.269,0.065,0.05
"P10","A Sergio Massa",0,0,0.07,0
"P10","A algún candidato del peronismo",0.362,0.546,0.055,0.117
"P10","A Cristina Fernández de Kirchner",0.171,0.185,0.81,0.833
"P11","A Horacio Rodriguez Larreta",0.087,0.17,0.259,0.121
"P11","A Patricia Bullrich",0.779,0.776,0.555,0.721
"P11","A Facundo Manes",0.123,0.031,0.104,0.032
"P11","A Gerardo Morales",0.011,0.023,0.082,0.126
"P12","Lo votaria",0.107,0.054,0.451,0.228
"P12","Puede que lo vote",0.13,0.222,0.14,0.208
"P12","Nunca lo votaría",0.665,0.58,0.304,0.39
"P12","No sabe",0.098,0.144,0.105,0.174
"P13","Lo votaria",0.229,0.237,0.142,0.087
"P13","Puede que lo vote",0.353,0.427,0.125,0.201
"P13","Nunca lo votaría",0.301,0.221,0.635,0.322
"P13","No sabe",0.117,0.115,0.098,0.39
"P14","Lo votaria",0.106,0.15,0.036,0.062
"P14","Puede que lo vote",0.236,0.229,0.093,0.077
"P14","Nunca lo votaría",0.323,0.267,0.518,0.257
"P14","No sabe",0.335,0.354,0.353,0.604
"P15","Lo votaria",0.078,0.036,0.035,0.073
"P15","Puede que lo vote",0.12,0.134,0.156,0.022
"P15","Nunca lo votaría",0.464,0.477,0.483,0.307
"P15","No sabe",0.338,0.353,0.326,0.598
"P16","Lo votaria",0.075,0.036,0.036,0.011
"P16","Puede que lo vote",0.075,0.108,0.044,0.101
"P16","Nunca lo votaría",0.416,0.409,0.535,0.197
"P16","No sabe",0.434,0.447,0.385,0.691
"P17","Lo votaria",0.068,0.059,0.019,0
"P17","Puede que lo vote",0.087,0.184,0.031,0.037
"P17","Nunca lo votaría",0.429,0.331,0.595,0.269
"P17","No sabe",0.416,0.426,0.355,0.694
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.024,0.053,0.475,0.231
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.068,0.038,0.051,0.037
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.119,0.23,0.141,0.177
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.302,0.358,0.119,0.214
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.171,0.054,0.005,0.011
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.115,0.055,0.082,0.023
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.186,0.15,0.058,0.245
"P18","Al candidato del Frente de Izquierda",0,0.002,0.025,0
"P18","No sabe",0.015,0.06,0.044,0.062
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.053,0.019,0.437,0.203
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.05,0.057,0.075,0.05
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.133,0.14,0.086,0.145
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.314,0.397,0.104,0.248
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.349,0.247,0.108,0.193
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.014,0.01,0.04,0.033
"P19","No sabe",0.087,0.13,0.15,0.128
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.009,0.063,0.57,0.347
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.331,0.497,0.189,0.212
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.486,0.189,0.097,0.186
"P20","Al candidato del Frente de Izquierda",0.021,0.088,0.038,0.04
"P20","No sabe",0.153,0.163,0.106,0.215
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.027,0.023,0.593,0.275
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.508,0.63,0.162,0.294
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.345,0.228,0.101,0.232
"P21","Al candidato del Frente de Izquierda",0.005,0.012,0.027,0.032
"P21","No sabe",0.115,0.107,0.117,0.167
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.072,0.033,0.486,0.253
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.26,0.49,0.132,0.186
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.528,0.268,0.143,0.28
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.007,0.022,0.037,0.051
"P22","No sabe",0.133,0.187,0.202,0.23
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.049,0.016,0.489,0.281
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.352,0.587,0.148,0.333
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.48,0.227,0.149,0.204
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.008,0.009,0.035,0.074
"P23","No sabe",0.111,0.161,0.179,0.108
"P24","Muy buena",0.12,0.057,0.347,0.232
"P24","Buena",0.099,0.123,0.198,0.096
"P24","Ni buena ni mala",0.194,0.255,0.2,0.192
"P24","Mala",0.221,0.182,0.074,0.194
"P24","Muy mala",0.289,0.334,0.135,0.184
"P24","No sabe",0.024,0.008,0.012,0.047
"P24","No lo conozco",0.053,0.041,0.034,0.055
"P25","Muy buena",0.056,0.012,0.07,0.011
"P25","Buena",0.009,0.058,0.076,0.077
"P25","Ni buena ni mala",0.313,0.291,0.342,0.298
"P25","Mala",0.199,0.172,0.121,0.17
"P25","Muy mala",0.22,0.185,0.104,0.146
"P25","No sabe",0.09,0.129,0.152,0.177
"P25","No lo conozco",0.113,0.153,0.135,0.121
"P26","Muy buena",0.093,0.114,0.064,0.047
"P26","Buena",0.137,0.298,0.077,0.119
"P26","Ni buena ni mala",0.399,0.28,0.176,0.265
"P26","Mala",0.157,0.161,0.206,0.303
"P26","Muy mala",0.084,0.071,0.401,0.154
"P26","No sabe",0.039,0.016,0.03,0.063
"P26","No lo conozco",0.091,0.06,0.046,0.049
"P27","Muy buena",0.15,0.118,0.028,0.1
"P27","Buena",0.151,0.188,0.038,0.05
"P27","Ni buena ni mala",0.246,0.273,0.216,0.268
"P27","Mala",0.016,0.065,0.157,0.122
"P27","Muy mala",0.044,0.022,0.228,0.1
"P27","No sabe",0.109,0.154,0.147,0.136
"P27","No lo conozco",0.284,0.18,0.186,0.224
"P28","Muy buena",0.143,0.039,0.025,0.006
"P28","Buena",0.046,0.087,0.025,0.016
"P28","Ni buena ni mala",0.256,0.238,0.228,0.328
"P28","Mala",0.016,0.096,0.095,0.132
"P28","Muy mala",0.045,0.031,0.154,0.044
"P28","No sabe",0.194,0.186,0.203,0.177
"P28","No lo conozco",0.3,0.323,0.27,0.297
"P29","Muy buena",0.088,0.064,0.031,0.024
"P29","Buena",0.104,0.134,0.01,0.062
"P29","Ni buena ni mala",0.275,0.303,0.173,0.304
"P29","Mala",0.059,0.062,0.152,0.131
"P29","Muy mala",0.064,0.076,0.216,0.043
"P29","No sabe",0.105,0.145,0.163,0.211
"P29","No lo conozco",0.305,0.216,0.255,0.225
"P30","Muy buena",0.143,0.028,0.233,0.18
"P30","Buena",0.046,0.084,0.245,0.106
"P30","Ni buena ni mala",0.147,0.225,0.174,0.132
"P30","Mala",0.193,0.26,0.152,0.329
"P30","Muy mala",0.395,0.365,0.174,0.167
"P30","No sabe",0.076,0.038,0.022,0.086
"P31","Que continúe el intendente Lucas Gui",0.114,0.05,0.25,0.156
"P31","Que continúe Lucas Gui pero con mejoras",0.162,0.114,0.332,0.235
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.126,0.087,0.106,0.11
"P31","Que cambie el intendente Lucas Gui",0.598,0.749,0.312,0.499
"P32","La seguridad",0.076,0.079,0.094,0.006
"P32","El tránsito",0.122,0.006,0.061,0.043
"P32","El arreglo de las calles",0.112,0.053,0.149,0.137
"P32","Los parques y espacios públicos",0.094,0.152,0.164,0.152
"P32","El sistema de salud",0.013,0.037,0.087,0.078
"P32","La limpieza de las calles",0.068,0.095,0.054,0.097
"P32","El deporte y la cultura",0.043,0.08,0.131,0.04
"P32","La luminaria",0.03,0.107,0.055,0.059
"P32","No sabe",0.442,0.391,0.205,0.388
"P33","La seguridad",0.556,0.577,0.389,0.48
"P33","El tránsito",0.071,0.055,0.066,0.016
"P33","El arreglo de las calles",0.192,0.148,0.221,0.152
"P33","Los parques y espacios públicos",0.008,0.025,0.04,0.048
"P33","El sistema de salud",0.054,0.039,0.052,0.089
"P33","La limpieza de las calles",0.017,0.03,0.04,0.097
"P33","El deporte y la cultura",0.029,0.024,0.024,0
"P33","La luminaria",0.03,0.007,0.022,0.011
"P33","No sabe",0.043,0.095,0.146,0.107
"P34","Agua corriente y cloacas",0.39,0.281,0.206,0.3
"P34","Energía eléctrica",0.101,0.216,0.141,0.11
"P34","Red de gas natural",0.165,0.039,0.054,0.054
"P34","Recolección de residuos",0.119,0.243,0.266,0.196
"P34","Ninguno",0.225,0.221,0.333,0.34
"P35","Los robos",0.531,0.478,0.462,0.317
"P35","El narcotráfico",0.191,0.146,0.059,0.149
"P35","La ausencia de patrulleros y personal policial",0.184,0.239,0.25,0.192
"P35","Otro",0.064,0.082,0.134,0.273
"P35","Ninguno",0.03,0.055,0.095,0.069
"P36","Muy buena",0.152,0.083,0.139,0.184
"P36","Buena",0.066,0.144,0.141,0.053
"P36","Ni buena ni mala",0.288,0.246,0.309,0.224
"P36","Mala",0.133,0.238,0.138,0.271
"P36","Muy mala",0.211,0.094,0.1,0.057
"P36","No sabe",0.15,0.195,0.173,0.211
"P37","Lo votaria",0.09,0.057,0.119,0.121
"P37","Puede que lo vote",0.022,0.018,0.256,0.155
"P37","Nunca lo votaría",0.877,0.851,0.502,0.56
"P37","No sabe",0.011,0.074,0.123,0.164
"P38","Lo votaria",0.084,0.025,0.139,0.062
"P38","Puede que lo vote",0.02,0.089,0.284,0.163
"P38","Nunca lo votaría",0.878,0.83,0.451,0.534
"P38","No sabe",0.018,0.056,0.126,0.241
"P39","Lo votaria",0.084,0.025,0.159,0.024
"P39","Puede que lo vote",0.019,0.047,0.3,0.197
"P39","Nunca lo votaría",0.862,0.857,0.459,0.557
"P39","No sabe",0.035,0.071,0.082,0.222
"P40","Lo votaria",0.175,0.147,0.086,0.15
"P40","Puede que lo vote",0.267,0.446,0.154,0.21
"P40","Nunca lo votaría",0.535,0.321,0.713,0.328
"P40","No sabe",0.023,0.086,0.047,0.312
"P41","Lo votaria",0.54,0.474,0.133,0.348
"P41","Puede que lo vote",0.281,0.302,0.091,0.177
"P41","Nunca lo votaría",0.135,0.172,0.754,0.168
"P41","No sabe",0.044,0.052,0.022,0.307
"P42","Lo votaria",0.179,0.124,0.061,0.093
"P42","Puede que lo vote",0.354,0.36,0.136,0.173
"P42","Nunca lo votaría",0.406,0.382,0.73,0.142
"P42","No sabe",0.061,0.134,0.073,0.592
"P43","Lo votaria",0.197,0.08,0.046,0.033
"P43","Puede que lo vote",0.163,0.387,0.093,0.162
"P43","Nunca lo votaría",0.526,0.368,0.796,0.256
"P43","No sabe",0.114,0.165,0.065,0.549
"P44","Lo votaria",0.734,0.259,0.128,0.242
"P44","Puede que lo vote",0.082,0.464,0.055,0.154
"P44","Nunca lo votaría",0.159,0.227,0.795,0.197
"P44","No sabe",0.025,0.05,0.022,0.407
"P46","Muy buena",0.157,0.025,0.051,0.157
"P46","Buena",0.006,0.115,0.162,0.038
"P46","Ni buena ni mala",0.008,0.025,0.32,0.132
"P46","Mala",0.154,0.13,0.216,0.241
"P46","Muy mala",0.675,0.688,0.251,0.426
"P46","No sabe",0,0.017,0,0.006
"P47","Muy buena",0.211,0.318,0.092,0.135
"P47","Buena",0.297,0.233,0.097,0.167
"P47","Ni buena ni mala",0.127,0.194,0.1,0.188
"P47","Mala",0.196,0.1,0.204,0.289
"P47","Muy mala",0.169,0.137,0.501,0.192
"P47","No sabe",0,0.018,0.006,0.029
"P48","Muy buena",0.172,0.046,0.432,0.27
"P48","Buena",0.046,0.053,0.084,0.053
"P48","Ni buena ni mala",0.009,0.029,0.046,0.038
"P48","Mala",0.15,0.117,0.094,0.154
"P48","Muy mala",0.623,0.74,0.336,0.461
"P48","No sabe",0,0.015,0.008,0.024
"P49","Muy buena",0.177,0.128,0.11,0.123
"P49","Buena",0.241,0.276,0.087,0.152
"P49","Ni buena ni mala",0.203,0.258,0.194,0.221
"P49","Mala",0.182,0.145,0.186,0.173
"P49","Muy mala",0.197,0.178,0.407,0.25
"P49","No sabe",0,0.015,0.016,0.081
"P50","Muy buena",0.107,0.046,0.064,0.033
"P50","Buena",0.085,0.064,0.216,0.19
"P50","Ni buena ni mala",0.098,0.093,0.276,0.084
"P50","Mala",0.114,0.162,0.161,0.283
"P50","Muy mala",0.596,0.622,0.271,0.361
"P50","No sabe",0,0.013,0.012,0.049
"P51","Muy buena",0.406,0.395,0.13,0.306
"P51","Buena",0.263,0.23,0.088,0.189
"P51","Ni buena ni mala",0.159,0.16,0.101,0.134
"P51","Mala",0.015,0.046,0.151,0.232
"P51","Muy mala",0.157,0.147,0.52,0.093
"P51","No sabe",0,0.022,0.01,0.046
"P52","Muy buena",0.466,0.229,0.117,0.216
"P52","Buena",0.271,0.285,0.057,0.141
"P52","Ni buena ni mala",0.133,0.332,0.118,0.123
"P52","Mala",0.06,0.097,0.145,0.226
"P52","Muy mala",0.057,0.031,0.548,0.194
"P52","No sabe",0.013,0.026,0.015,0.1
