"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Del Frente de Todos y el peronismo",0.353,0.414,0.298,0.274
"P07","De Cambiemos",0.298,0.248,0.273,0.272
"P07","De los Liberales libertarios",0.162,0.194,0.259,0.218
"P07","De la Izquierda",0.009,0.033,0.031,0.025
"P07","No sabe",0.178,0.111,0.139,0.211
"P09","A Alberto Fernández",0.158,0.246,0.093,0.205
"P09","A Sergio Massa",0.324,0.147,0.173,0.113
"P09","A algún candidato del peronismo",0.19,0.106,0.15,0.12
"P09","A algún candidato del kirchnerismo",0.328,0.501,0.584,0.562
"P10","A Alberto Fernández",0.077,0.162,0.039,0.132
"P10","A Sergio Massa",0.155,0.127,0.097,0.037
"P10","A algún candidato del peronismo",0.25,0.08,0.095,0.08
"P10","A Cristina Fernández de Kirchner",0.518,0.631,0.769,0.751
"P11","A Horacio Rodriguez Larreta",0.472,0.353,0.2,0.202
"P11","A Patricia Bullrich",0.37,0.562,0.655,0.672
"P11","A Facundo Manes",0.04,0.08,0.092,0.085
"P11","A Gerardo Morales",0.118,0.005,0.053,0.041
"P12","Lo votaria",0.495,0.299,0.278,0.206
"P12","Puede que lo vote",0.195,0.333,0.102,0.159
"P12","Nunca lo votaría",0.199,0.252,0.544,0.304
"P12","No sabe",0.111,0.116,0.076,0.331
"P13","Lo votaria",0.374,0.102,0.164,0.121
"P13","Puede que lo vote",0.198,0.376,0.16,0.161
"P13","Nunca lo votaría",0.316,0.441,0.617,0.307
"P13","No sabe",0.112,0.081,0.059,0.411
"P14","Lo votaria",0.583,0.037,0.063,0.026
"P14","Puede que lo vote",0.06,0.49,0.097,0.06
"P14","Nunca lo votaría",0.229,0.34,0.727,0.109
"P14","No sabe",0.128,0.133,0.113,0.805
"P16","Lo votaria",0.45,0.037,0.026,0.017
"P16","Puede que lo vote",0.144,0.387,0.032,0.013
"P16","Nunca lo votaría",0.269,0.331,0.812,0.083
"P16","No sabe",0.137,0.245,0.13,0.887
"P17","Lo votaria",0.357,0.041,0.028,0.013
"P17","Puede que lo vote",0.112,0.247,0.052,0.026
"P17","Nunca lo votaría",0.326,0.429,0.773,0.164
"P17","No sabe",0.205,0.283,0.147,0.797
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.12,0.343,0.28,0.257
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.074,0.17,0.028,0.04
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.145,0.13,0.194,0.097
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.316,0.15,0.169,0.232
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.025,0.015,0.045,0.022
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.056,0.04,0.109,0.048
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.226,0.093,0.099,0.182
"P18","Al candidato del Frente de Izquierda",0.028,0.016,0.021,0.016
"P18","No sabe",0.01,0.043,0.055,0.106
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.247,0.324,0.289,0.191
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.041,0.164,0.046,0.063
