"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P12","Lo votaria",0.24,0.03,0.075,0.119
"P12","Puede que lo vote",0.156,0.26,0.244,0.178
"P12","Nunca lo votaría",0.456,0.629,0.595,0.357
"P12","No sabe",0.148,0.081,0.086,0.346
"P13","Lo votaria",0.37,0.347,0.076,0.119
"P13","Puede que lo vote",0.297,0.326,0.392,0.32
"P13","Nunca lo votaría",0.207,0.175,0.52,0.356
"P13","No sabe",0.126,0.152,0.012,0.205
"P14","Lo votaria",0.209,0.14,0,0.078
"P14","Puede que lo vote",0.083,0.238,0.096,0.272
"P14","Nunca lo votaría",0.294,0.268,0.541,0.287
"P14","No sabe",0.414,0.354,0.363,0.363
"P15","Lo votaria",0.098,0.028,0.022,0.126
"P15","Puede que lo vote",0.198,0.116,0.124,0.015
"P15","Nunca lo votaría",0.363,0.44,0.46,0.504
"P15","No sabe",0.341,0.416,0.394,0.355
"P16","Lo votaria",0.088,0.04,0.013,0.284
"P16","Puede que lo vote",0.07,0.13,0.172,0
"P16","Nunca lo votaría",0.372,0.409,0.342,0.338
"P16","No sabe",0.47,0.421,0.473,0.378
"P17","Lo votaria",0.095,0.044,0.02,0.043
"P17","Puede que lo vote",0.09,0.125,0.009,0.036
"P17","Nunca lo votaría",0.424,0.414,0.51,0.452
"P17","No sabe",0.391,0.417,0.461,0.469
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.042,0.014,0.064,0.101
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.036,0.036,0.164,0.025
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.41,0.295,0.111,0.061
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.316,0.53,0.076,0.296
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.019,0.034,0.081,0.044
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.053,0.037,0.395,0.269
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.062,0.026,0.109,0.103
"P18","Al candidato del Frente de Izquierda",0.014,0,0,0
"P18","No sabe",0.048,0.028,0,0.101
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.033,0.007,0.309,0.05
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.032,0.051,0.048,0
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.696,0.139,0.298,0.254
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.163,0.667,0.062,0.172
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.048,0.047,0.049,0
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0.012,0.067,0
"P19","No sabe",0.028,0.077,0.167,0.524
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.102,0.02,0.243,0.072
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.662,0.666,0.398,0.475
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.098,0.098,0.2,0
"P20","Al candidato del Frente de Izquierda",0.01,0.099,0.02,0.021
"P20","No sabe",0.128,0.117,0.139,0.432
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.131,0.006,0.363,0.074
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.522,0.825,0.303,0.363
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.109,0.063,0.045,0.072
"P21","Al candidato del Frente de Izquierda",0.005,0.023,0,0.085
"P21","No sabe",0.233,0.083,0.289,0.406
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.085,0.018,0.348,0.109
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.71,0.657,0.379,0.443
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.123,0.125,0.047,0.029
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.007,0.017,0,0
"P22","No sabe",0.075,0.183,0.226,0.419
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.085,0.004,0.377,0.113
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.557,0.816,0.315,0.544
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.207,0.074,0,0
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0.019,0.115,0.164
"P23","No sabe",0.151,0.087,0.193,0.179
"P24","Muy buena",0.15,0.031,0.171,0.178
"P24","Buena",0.118,0.151,0.324,0.222
"P24","Ni buena ni mala",0.326,0.148,0.285,0.255
"P24","Mala",0.198,0.265,0.048,0.17
"P24","Muy mala",0.175,0.371,0.172,0.175
"P24","No sabe",0.012,0.018,0,0
"P24","No lo conozco",0.021,0.016,0,0
"P25","Muy buena",0.033,0.015,0.069,0
"P25","Buena",0.051,0.041,0.075,0.174
"P25","Ni buena ni mala",0.387,0.217,0.187,0.185
"P25","Mala",0.21,0.213,0.076,0.308
"P25","Muy mala",0.082,0.219,0.192,0.147
"P25","No sabe",0.114,0.161,0.222,0.16
"P25","No lo conozco",0.123,0.134,0.179,0.026
"P26","Muy buena",0.15,0.202,0.014,0
"P26","Buena",0.283,0.281,0.145,0.364
"P26","Ni buena ni mala",0.351,0.234,0.194,0.236
"P26","Mala",0.115,0.147,0.187,0.268
"P26","Muy mala",0.049,0.056,0.363,0.096
"P26","No sabe",0.052,0.03,0.097,0
"P26","No lo conozco",0,0.05,0,0.036
"P27","Muy buena",0.056,0.158,0,0.045
"P27","Buena",0.109,0.186,0.05,0.18
"P27","Ni buena ni mala",0.388,0.275,0.244,0.407
"P27","Mala",0.116,0.038,0.065,0.14
"P27","Muy mala",0.055,0.039,0.225,0.05
"P27","No sabe",0.106,0.154,0.014,0.03
"P27","No lo conozco",0.17,0.15,0.402,0.148
"P28","Muy buena",0.054,0.061,0,0.151
"P28","Buena",0.051,0.086,0.071,0.056
"P28","Ni buena ni mala",0.335,0.213,0.259,0.302
"P28","Mala",0.081,0.064,0.061,0.095
"P28","Muy mala",0.039,0.073,0.215,0.049
"P28","No sabe",0.158,0.207,0.038,0.112
"P28","No lo conozco",0.282,0.296,0.356,0.235
"P29","Muy buena",0.012,0.031,0,0
"P29","Buena",0.084,0.082,0,0
"P29","Ni buena ni mala",0.317,0.288,0.248,0.496
"P29","Mala",0.105,0.117,0.084,0.197
"P29","Muy mala",0.059,0.105,0.385,0.073
"P29","No sabe",0.169,0.159,0.038,0.088
"P29","No lo conozco",0.254,0.218,0.245,0.146
"P30","Muy buena",0.046,0.017,0.197,0.056
"P30","Buena",0.075,0.044,0.121,0.211
"P30","Ni buena ni mala",0.346,0.23,0.256,0.108
"P30","Mala",0.175,0.265,0.325,0.327
"P30","Muy mala",0.351,0.42,0.101,0.261
"P30","No sabe",0.007,0.024,0,0.037
"P31","Que continúe el intendente Lucas Gui",0.047,0.003,0.153,0.082
"P31","Que continúe Lucas Gui pero con mejoras",0.128,0.068,0.318,0.35
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.156,0.082,0.112,0.057
"P31","Que cambie el intendente Lucas Gui",0.669,0.847,0.417,0.511
"P32","La seguridad",0.02,0.034,0.218,0.025
"P32","El tránsito",0.011,0.023,0.179,0
"P32","El arreglo de las calles",0.11,0.039,0.085,0.026
"P32","Los parques y espacios públicos",0.193,0.164,0.178,0.09
"P32","El sistema de salud",0.024,0.021,0.041,0
"P32","La limpieza de las calles",0.077,0.054,0.015,0.192
"P32","El deporte y la cultura",0.055,0.039,0.178,0
"P32","La luminaria",0.101,0.088,0,0.204
"P32","No sabe",0.409,0.538,0.106,0.463
"P33","La seguridad",0.508,0.581,0.329,0.559
"P33","El tránsito",0,0.018,0.152,0.026
"P33","El arreglo de las calles",0.257,0.167,0.311,0.214
"P33","Los parques y espacios públicos",0.035,0.022,0.016,0.031
"P33","El sistema de salud",0.045,0.041,0.015,0.026
"P33","La limpieza de las calles",0.011,0.023,0.091,0.043
"P33","El deporte y la cultura",0.021,0.007,0,0.031
"P33","La luminaria",0.023,0.024,0.042,0
"P33","No sabe",0.1,0.117,0.044,0.07
"P34","Agua corriente y cloacas",0.213,0.299,0.165,0.549
"P34","Energía eléctrica",0.179,0.126,0.124,0.107
"P34","Red de gas natural",0.111,0.063,0.118,0
"P34","Recolección de residuos",0.208,0.302,0.088,0.217
"P34","Ninguno",0.289,0.21,0.505,0.127
"P35","Los robos",0.395,0.438,0.542,0.591
"P35","El narcotráfico",0.1,0.162,0.111,0.123
"P35","La ausencia de patrulleros y personal policial",0.312,0.28,0.107,0.246
"P35","Otro",0.159,0.102,0.113,0
"P35","Ninguno",0.034,0.018,0.127,0.04
"P36","Muy buena",0.083,0.098,0.248,0.1
"P36","Buena",0.066,0.055,0.063,0.213
"P36","Ni buena ni mala",0.327,0.258,0.386,0.231
"P36","Mala",0.141,0.253,0.09,0.138
"P36","Muy mala",0.134,0.152,0.067,0.053
"P36","No sabe",0.249,0.184,0.146,0.265
"P37","Lo votaria",0.032,0.032,0.06,0
"P37","Puede que lo vote",0.023,0.009,0.063,0.123
"P37","Nunca lo votaría",0.92,0.904,0.74,0.838
"P37","No sabe",0.025,0.055,0.137,0.039
"P38","Lo votaria",0.035,0.013,0.147,0.057
"P38","Puede que lo vote",0.072,0.004,0,0.064
"P38","Nunca lo votaría",0.774,0.953,0.784,0.738
"P38","No sabe",0.119,0.03,0.069,0.141
"P39","Lo votaria",0.038,0.009,0.164,0
"P39","Puede que lo vote",0.084,0.007,0.164,0.099
"P39","Nunca lo votaría",0.812,0.943,0.643,0.809
"P39","No sabe",0.066,0.041,0.029,0.092
"P40","Lo votaria",0.564,0.141,0.174,0.214
"P40","Puede que lo vote",0.25,0.489,0.451,0.188
"P40","Nunca lo votaría",0.186,0.31,0.329,0.457
"P40","No sabe",0,0.06,0.046,0.141
"P41","Lo votaria",0.332,0.731,0.096,0.295
"P41","Puede que lo vote",0.356,0.159,0.165,0.291
"P41","Nunca lo votaría",0.262,0.086,0.739,0.374
"P41","No sabe",0.05,0.024,0,0.04
"P42","Lo votaria",0.107,0.132,0.504,0.202
"P42","Puede que lo vote",0.314,0.322,0.139,0.323
"P42","Nunca lo votaría",0.442,0.479,0.357,0.408
"P42","No sabe",0.137,0.067,0,0.067
"P43","Lo votaria",0.072,0.101,0.274,0.445
"P43","Puede que lo vote",0.334,0.322,0.224,0.237
"P43","Nunca lo votaría",0.464,0.463,0.423,0.278
"P43","No sabe",0.13,0.114,0.079,0.04
"P44","Lo votaria",0.088,0.159,0.128,0.066
"P44","Puede que lo vote",0.284,0.31,0.046,0.211
"P44","Nunca lo votaría",0.524,0.486,0.774,0.523
"P44","No sabe",0.104,0.045,0.052,0.2
"P45","Lo votaria",0.071,0.174,0.256,0.032
"P45","Puede que lo vote",0.351,0.44,0.164,0.175
"P45","Nunca lo votaría",0.535,0.315,0.55,0.626
"P45","No sabe",0.043,0.071,0.03,0.167
"P46","Muy buena",0,0.044,0,0.065
"P46","Buena",0.038,0.056,0.064,0
"P46","Ni buena ni mala",0.187,0.054,0.388,0.097
"P46","Mala",0.109,0.128,0.059,0.395
"P46","Muy mala",0.639,0.718,0.489,0.443
"P46","No sabe",0.027,0,0,0
"P47","Muy buena",0.396,0.428,0,0.185
"P47","Buena",0.212,0.331,0.134,0.302
"P47","Ni buena ni mala",0.157,0.091,0.097,0.282
"P47","Mala",0.167,0.045,0.156,0.06
"P47","Muy mala",0.068,0.091,0.613,0.171
"P47","No sabe",0,0.014,0,0
"P48","Muy buena",0.056,0.063,0.192,0.065
"P48","Buena",0.058,0.028,0.127,0
"P48","Ni buena ni mala",0.028,0.016,0.069,0.129
"P48","Mala",0.119,0.115,0.146,0.041
"P48","Muy mala",0.739,0.776,0.466,0.722
"P48","No sabe",0,0.002,0,0.043
"P49","Muy buena",0.434,0.133,0.173,0.167
"P49","Buena",0.265,0.349,0.349,0.162
"P49","Ni buena ni mala",0.139,0.285,0.134,0.149
"P49","Mala",0.115,0.092,0.114,0.181
"P49","Muy mala",0.047,0.138,0.195,0.341
"P49","No sabe",0,0.003,0.035,0
"P50","Muy buena",0.041,0.033,0.233,0
"P50","Buena",0.057,0.035,0.101,0.058
"P50","Ni buena ni mala",0.198,0.055,0.231,0.144
"P50","Mala",0.201,0.186,0.117,0.198
"P50","Muy mala",0.503,0.682,0.318,0.6
"P50","No sabe",0,0.009,0,0
"P51","Muy buena",0.312,0.672,0.125,0.087
"P51","Buena",0.26,0.179,0.019,0.411
"P51","Ni buena ni mala",0.188,0.025,0.363,0.188
"P51","Mala",0.103,0.025,0.236,0
"P51","Muy mala",0.137,0.099,0.257,0.314
"P51","No sabe",0,0,0,0
"P52","Muy buena",0.085,0.212,0.049,0.034
"P52","Buena",0.208,0.21,0.135,0.22
"P52","Ni buena ni mala",0.261,0.332,0.033,0.224
"P52","Mala",0.173,0.158,0.296,0.261
"P52","Muy mala",0.229,0.08,0.467,0.216
"P52","No sabe",0.044,0.008,0.02,0.045
