"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.136,0.188,0.519,0.309,0.345
"P07","De Cambiemos",0.266,0.413,0.224,0.299,0.274
"P07","De los Liberales libertarios",0.532,0.29,0.094,0.189,0.242
"P07","De la Izquierda",0.007,0.011,0.05,0.004,0.019
"P07","No sabe",0.059,0.098,0.113,0.199,0.12
"P09","A Alberto Fernández",0.397,0.241,0.132,0.102,0.142
"P09","A Sergio Massa",0.377,0.146,0.078,0.158,0.096
"P09","A algún candidato del peronismo",0.113,0.206,0.097,0.166,0.096
"P09","A algún candidato del kirchnerismo",0.113,0.407,0.693,0.574,0.666
"P10","A Alberto Fernández",0.435,0.152,0.042,0.04,0.093
"P10","A Sergio Massa",0.142,0.069,0.071,0.047,0.037
"P10","A algún candidato del peronismo",0,0.163,0.089,0.097,0.071
"P10","A Cristina Fernández de Kirchner",0.423,0.616,0.798,0.816,0.799
"P11","A Horacio Rodriguez Larreta",0.196,0.207,0.14,0.222,0.223
"P11","A Patricia Bullrich",0.804,0.659,0.665,0.733,0.67
"P11","A Facundo Manes",0,0.057,0.14,0.017,0.076
"P11","A Gerardo Morales",0,0.077,0.055,0.028,0.031
"P12","Lo votaria",0.069,0.21,0.389,0.241,0.321
"P12","Puede que lo vote",0.254,0.183,0.132,0.143,0.146
"P12","Nunca lo votaría",0.566,0.48,0.377,0.461,0.357
"P12","No sabe",0.111,0.127,0.102,0.155,0.176
"P13","Lo votaria",0.225,0.171,0.122,0.171,0.151
"P13","Puede que lo vote",0.335,0.266,0.129,0.232,0.201
"P13","Nunca lo votaría",0.357,0.354,0.678,0.424,0.452
"P13","No sabe",0.083,0.209,0.071,0.173,0.196
"P14","Lo votaria",0.183,0.086,0.056,0.007,0.059
"P14","Puede que lo vote",0.203,0.198,0.112,0.153,0.073
"P14","Nunca lo votaría",0.393,0.339,0.591,0.373,0.305
"P14","No sabe",0.221,0.377,0.241,0.467,0.563
"P15","Lo votaria",0.09,0.037,0.048,0.017,0.018
"P15","Puede que lo vote",0.189,0.129,0.164,0.089,0.129
"P15","Nunca lo votaría",0.449,0.428,0.593,0.447,0.314
"P15","No sabe",0.272,0.406,0.195,0.447,0.539
"P16","Lo votaria",0.082,0.049,0.028,0.018,0.014
"P16","Puede que lo vote",0.147,0.124,0.063,0.042,0.052
"P16","Nunca lo votaría",0.469,0.371,0.644,0.357,0.348
"P16","No sabe",0.302,0.456,0.265,0.583,0.586
"P17","Lo votaria",0.128,0.032,0.042,0,0.009
"P17","Puede que lo vote",0.138,0.152,0.016,0.043,0.05
"P17","Nunca lo votaría",0.464,0.421,0.77,0.291,0.313
"P17","No sabe",0.27,0.395,0.172,0.666,0.628
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.068,0.181,0.453,0.218,0.322
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.076,0.054,0.035,0.062,0.046
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.146,0.178,0.154,0.153,0.126
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.313,0.251,0.12,0.257,0.221
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.025,0.047,0.022,0.047,0.033
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.027,0.088,0.09,0.062,0.072
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.34,0.164,0.036,0.116,0.102
"P18","Al candidato del Frente de Izquierda",0,0.001,0.047,0.004,0.011
"P18","No sabe",0.005,0.036,0.043,0.081,0.067
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.074,0.18,0.455,0.233,0.235
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.112,0.035,0.081,0.085,0.061
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.115,0.162,0.063,0.122,0.096
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.202,0.251,0.126,0.248,0.209
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.47,0.266,0.078,0.128,0.168
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.005,0.011,0.059,0.017,0.033
"P19","No sabe",0.022,0.095,0.138,0.167,0.198
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.137,0.233,0.523,0.301,0.359
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.272,0.313,0.148,0.366,0.274
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.491,0.259,0.105,0.133,0.144
"P20","Al candidato del Frente de Izquierda",0.04,0.036,0.101,0.03,0.03
"P20","No sabe",0.06,0.159,0.123,0.17,0.193
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.049,0.249,0.577,0.329,0.394
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.306,0.373,0.198,0.351,0.306
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.599,0.274,0.072,0.119,0.138
"P21","Al candidato del Frente de Izquierda",0.033,0.009,0.053,0.03,0.008
"P21","No sabe",0.013,0.095,0.1,0.171,0.154
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.119,0.205,0.478,0.264,0.305
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.189,0.279,0.159,0.261,0.236
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.619,0.344,0.081,0.196,0.199
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.057,0.01,0.08,0.036,0.027
"P22","No sabe",0.016,0.162,0.202,0.243,0.233
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.077,0.191,0.469,0.262,0.333
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.28,0.359,0.179,0.298,0.289
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.59,0.311,0.086,0.221,0.168
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.042,0.021,0.061,0.031,0.017
"P23","No sabe",0.011,0.118,0.205,0.188,0.193
"P24","Positiva",0.301,0.336,0.479,0.329,0.394
"P24","Neutra",0.263,0.286,0.133,0.233,0.141
"P24","Negativa",0.43,0.343,0.373,0.341,0.296
"P24","No sabe",0.003,0.015,0.002,0.092,0.042
"P24","No lo conozco",0.003,0.02,0.013,0.005,0.127
"P25","Positiva",0.236,0.087,0.137,0.088,0.076
"P25","Neutra",0.325,0.568,0.275,0.26,0.163
"P25","Negativa",0.324,0.258,0.487,0.19,0.187
"P25","No sabe",0.067,0.041,0.037,0.409,0.206
"P25","No lo conozco",0.048,0.046,0.064,0.053,0.368
"P26","Positiva",0.396,0.236,0.13,0.213,0.224
"P26","Neutra",0.292,0.402,0.128,0.209,0.187
"P26","Negativa",0.273,0.309,0.723,0.424,0.336
"P26","No sabe",0.02,0.027,0.015,0.128,0.046
"P26","No lo conozco",0.019,0.026,0.004,0.026,0.207
"P27","Positiva",0.395,0.192,0.11,0.076,0.094
"P27","Neutra",0.314,0.56,0.156,0.174,0.097
"P27","Negativa",0.142,0.12,0.649,0.138,0.115
"P27","No sabe",0.09,0.048,0.033,0.531,0.133
"P27","No lo conozco",0.059,0.08,0.052,0.081,0.561
"P28","Positiva",0.346,0.078,0.064,0.028,0.013
"P28","Neutra",0.268,0.721,0.136,0.057,0.049
"P28","Negativa",0.178,0.029,0.642,0.023,0.013
"P28","No sabe",0.134,0.063,0.062,0.768,0.108
"P28","No lo conozco",0.074,0.109,0.096,0.124,0.817
"P30","Positiva",0.301,0.231,0.406,0.306,0.349
"P30","Neutra",0.137,0.348,0.094,0.124,0.174
"P30","Negativa",0.541,0.406,0.497,0.456,0.366
"P30","No sabe",0.021,0.015,0.003,0.114,0.111
