"var","categoria","Si, la Polio y la quíntuple","Si, la triple viral y la BCG","Otras","No recuerdo"
"P06","1 hijo",0.548,0.582,0.582,0.611
"P06","2 hijos",0.315,0.256,0.278,0.274
"P06","3 hijos",0.054,0.093,0.05,0.072
"P06","4 o más hijos",0.083,0.069,0.09,0.043
"P07","Con hijos de 3 años y menos",0.506,0.41,0.435,0.402
"P07","Con hijos mayores de 3 años",0.494,0.59,0.565,0.598
"P08","En un Centro de Salud",0.45,0.528,0.499,0.485
"P08","En un hospital",0.258,0.23,0.18,0.216
"P08","En un sanatorio",0.048,0.037,0.054,0.034
"P08","En un Consultorio Privado",0.031,0.029,0.104,0.036
"P08","En un vacunatorio",0.213,0.176,0.163,0.229
"P09","Si",0.963,0.971,0.974,0.974
"P09","No",0.037,0.029,0.026,0.026
"P10","Si, son efectivas",0.985,0.965,0.974,0.989
"P10","No, no son efectivas",0.015,0.035,0.026,0.011
"P11","Si",0.959,0.965,0.892,0.964
"P11","No",0.041,0.035,0.108,0.036
"P12","Si",0.151,0.126,0.172,0.153
"P12","No",0.849,0.874,0.828,0.847
"P13","La quíntuple",0.217,0.031,0.198,0.1
"P13","La triple viral (Sarampión, rubeola y paperas)",0.064,0.106,0.346,0.113
"P13","La Neumococo",0.051,0.182,0.056,0.043
"P13","La BCG",0.084,0.022,0,0.007
"P13","Otra",0.296,0.166,0.175,0.176
"P13","No recuerda",0.288,0.493,0.225,0.561
"P14","Si",0.934,0.915,0.946,0.954
"P14","No",0.066,0.085,0.054,0.046
"P15","Si, las conozco",0.898,0.828,0.788,0.821
"P15","No, no las conozco",0.032,0.061,0.13,0.085
"P15","Algunas",0.07,0.111,0.082,0.094
"P16","Si",0.79,0.733,0.581,0.716
"P16","A veces",0.172,0.217,0.293,0.22
"P16","No",0.038,0.05,0.126,0.064
"P17","Sí, hay suficiente información",0.234,0.239,0.182,0.184
"P17","No, no hay suficiente información",0.766,0.761,0.818,0.816
"P18","Si",0.091,0.123,0.136,0.077
"P18","Sí, pero es necesario",0.6,0.525,0.362,0.534
"P18","No",0.309,0.352,0.502,0.389
"P19","Sí, mucho",0.192,0.226,0.065,0.162
"P19","Si, un poco",0.717,0.667,0.77,0.711
"P19","No",0.091,0.107,0.165,0.127
"P20","Si",0.173,0.178,0.114,0.157
"P20","No",0.776,0.763,0.789,0.758
"P20","No recuerda",0.051,0.059,0.097,0.085
"P21","La quíntuple",0.456,0.355,0.314,0.117
"P21","La triple viral (Sarampión, rubeola y paperas)",0.077,0.264,0.404,0.106
"P21","La Neumococo",0.077,0.067,0,0.024
"P21","La BCG",0.12,0.071,0.12,0.064
"P21","Otra",0.152,0.073,0.064,0.1
"P21","No recuerda",0.118,0.17,0.098,0.589
"P22","Si",0.584,0.471,0.495,0.592
"P22","No",0.34,0.439,0.312,0.311
"P22","No recuerda",0.076,0.09,0.193,0.097
"P23","La quíntuple",0.36,0.307,0.24,0.183
"P23","La triple viral (Sarampión, rubeola y paperas)",0.239,0.188,0.242,0.1
"P23","La Neumococo",0.08,0.082,0.092,0.037
"P23","La BCG",0.029,0.084,0.028,0.087
"P23","Otra",0.109,0.058,0.045,0.05
"P23","No recuerda",0.183,0.281,0.353,0.543
"P24","Sí, una vez",0.152,0.124,0.099,0.088
"P24","Si varias veces",0.115,0.121,0.098,0.065
"P24","No",0.679,0.673,0.741,0.743
"P24","No recuerdo",0.054,0.082,0.062,0.104
"P25","Si",0.879,0.664,0.712,0.625
"P25","No",0.121,0.336,0.288,0.375
"P26","Si",0.77,0.547,0.634,0.44
"P26","No",0.23,0.453,0.366,0.56
"P28","Si",0.529,0.293,0.454,0.289
"P28","No",0.471,0.707,0.546,0.711
"P29","Si",0.356,0.231,0.379,0.142
"P29","No",0.644,0.769,0.621,0.858
"P30","Si, Infanrix",0.197,0.115,0.022,0.09
"P30","Si, Hexaxim",0.178,0.174,0.387,0.084
"P30","No recuerdo",0.625,0.711,0.591,0.826
"P31","Si",0.954,0.89,0.851,0.946
"P31","No",0.046,0.11,0.149,0.054
"P32","Si",0.593,0.462,0.474,0.511
"P32","No",0.407,0.538,0.526,0.489
"P33","Miedo al contagio",0.36,0.525,0.159,0.417
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.396,0.369,0.501,0.299
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.168,0.087,0.263,0.209
"P33","Porque era costoso el viaje",0.076,0.019,0.077,0.075
"P34","Si, una dosis",0.535,0.557,0.39,0.532
"P34","Si, dos dosis",0.414,0.328,0.569,0.341
"P34","Ninguna",0.051,0.115,0.041,0.127
"P35","Sputnik V",0.351,0.289,0.29,0.305
"P35","Sinopharm",0.34,0.355,0.222,0.277
"P35","AstraZeneca",0.272,0.318,0.311,0.362
"P35","Johnson",0.006,0,0,0.006
"P35","Phizer",0.021,0.014,0.092,0
"P35","Moderna",0.002,0.001,0.057,0.01
"P35","Otra",0.008,0.023,0.028,0.04
