"var","categoria","Con hijos de 3 años y menos","Con hijos mayores de 3 años"
"P06","1 hijo",0.421,0.684
"P06","2 hijos",0.335,0.23
"P06","3 hijos",0.109,0.041
"P06","4 o más hijos",0.135,0.045
"P08","En un Centro de Salud",0.507,0.509
"P08","En un hospital",0.207,0.215
"P08","En un sanatorio",0.047,0.045
"P08","En un Consultorio Privado",0.058,0.037
"P08","En un vacunatorio",0.181,0.194
"P09","Si",0.948,0.977
"P09","No",0.052,0.023
"P10","Si, son efectivas",0.95,0.983
"P10","No, no son efectivas",0.05,0.017
"P11","Si",0.924,0.976
"P11","No",0.076,0.024
"P12","Si",0.199,0.128
"P12","No",0.801,0.872
"P13","La quíntuple",0.102,0.129
"P13","La triple viral (Sarampión, rubeola y paperas)",0.166,0.058
"P13","La Neumococo",0.069,0.064
"P13","La BCG",0.022,0.037
"P13","Otra",0.185,0.164
"P13","No recuerda",0.456,0.548
"P14","Si",0.923,0.936
"P14","No",0.077,0.064
"P15","Si, las conozco",0.797,0.831
"P15","No, no las conozco",0.115,0.07
"P15","Algunas",0.088,0.099
"P16","Si",0.687,0.752
"P16","A veces",0.229,0.198
"P16","No",0.084,0.05
"P17","Sí, hay suficiente información",0.259,0.204
"P17","No, no hay suficiente información",0.741,0.796
"P18","Si",0.129,0.078
"P18","Sí, pero es necesario",0.583,0.49
"P18","No",0.288,0.432
"P19","Sí, mucho",0.274,0.179
"P19","Si, un poco",0.631,0.705
"P19","No",0.095,0.116
"P20","Si",0.252,0.14
"P20","No",0.664,0.795
"P20","No recuerda",0.084,0.065
"P21","La quíntuple",0.265,0.222
"P21","La triple viral (Sarampión, rubeola y paperas)",0.115,0.24
"P21","La Neumococo",0.072,0.036
"P21","La BCG",0.045,0.088
"P21","Otra",0.163,0.041
"P21","No recuerda",0.34,0.373
"P22","Si",0.652,0.519
"P22","No",0.283,0.38
"P22","No recuerda",0.065,0.101
"P23","La quíntuple",0.265,0.217
"P23","La triple viral (Sarampión, rubeola y paperas)",0.124,0.168
"P23","La Neumococo",0.07,0.034
"P23","La BCG",0.07,0.075
"P23","Otra",0.09,0.041
"P23","No recuerda",0.381,0.465
"P24","Sí, una vez",0.13,0.094
"P24","Si varias veces",0.106,0.079
"P24","No",0.685,0.728
"P24","No recuerdo",0.079,0.099
"P25","Si",0.677,0.676
"P25","No",0.323,0.324
"P26","Si",0.513,0.546
"P26","No",0.487,0.454
"P27","Si, la Polio y la quíntuple",0.201,0.144
"P27","Si, la triple viral y la BCG",0.236,0.248
"P27","Otras",0.04,0.038
"P27","No recuerdo",0.523,0.57
"P28","Si",0.356,0.321
"P28","No",0.644,0.679
"P29","Si",0.22,0.199
"P29","No",0.78,0.801
"P30","Si, Infanrix",0.145,0.103
"P30","Si, Hexaxim",0.261,0.068
"P30","No recuerdo",0.594,0.829
"P31","Si",0.923,0.935
"P31","No",0.077,0.065
"P32","Si",0.63,0.423
"P32","No",0.37,0.577
"P33","Miedo al contagio",0.449,0.421
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.298,0.359
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.224,0.146
"P33","Porque era costoso el viaje",0.029,0.074
"P34","Si, una dosis",0.529,0.537
"P34","Si, dos dosis",0.328,0.381
"P34","Ninguna",0.143,0.082
"P35","Sputnik V",0.325,0.297
"P35","Sinopharm",0.345,0.277
"P35","AstraZeneca",0.287,0.365
"P35","Johnson",0.002,0.006
"P35","Phizer",0.011,0.01
"P35","Moderna",0.004,0.012
"P35","Otra",0.026,0.033
