"var","categoria","Si, las conozco","No, no las conozco","Algunas"
"P06","1 hijo",0.586,0.39,0.533
"P06","2 hijos",0.276,0.302,0.285
"P06","3 hijos",0.075,0.124,0.082
"P06","4 o más hijos",0.063,0.184,0.1
"P07","Con hijos de 3 años y menos",0.446,0.581,0.428
"P07","Con hijos mayores de 3 años",0.554,0.419,0.572
"P08","En un Centro de Salud",0.503,0.588,0.466
"P08","En un hospital",0.209,0.181,0.283
"P08","En un sanatorio",0.043,0.033,0.082
"P08","En un Consultorio Privado",0.038,0.131,0.009
"P08","En un vacunatorio",0.207,0.067,0.16
"P09","Si",0.978,0.881,0.947
"P09","No",0.022,0.119,0.053
"P10","Si, son efectivas",0.983,0.899,0.984
"P10","No, no son efectivas",0.017,0.101,0.016
"P11","Si",0.973,0.819,0.978
"P11","No",0.027,0.181,0.022
"P12","Si",0.145,0.21,0.167
"P12","No",0.855,0.79,0.833
"P13","La quíntuple",0.135,0.025,0.105
"P13","La triple viral (Sarampión, rubeola y paperas)",0.109,0.21,0.119
"P13","La Neumococo",0.053,0.072,0.167
"P13","La BCG",0.014,0.007,0.172
"P13","Otra",0.171,0.262,0.201
"P13","No recuerda",0.518,0.424,0.236
"P14","Si",0.954,0.71,0.93
"P14","No",0.046,0.29,0.07
"P16","Si",0.773,0.449,0.536
"P16","A veces",0.179,0.385,0.335
"P16","No",0.048,0.166,0.129
"P17","Sí, hay suficiente información",0.247,0.19,0.111
"P17","No, no hay suficiente información",0.753,0.81,0.889
"P18","Si",0.094,0.196,0.074
"P18","Sí, pero es necesario",0.529,0.486,0.596
"P18","No",0.377,0.318,0.33
"P19","Sí, mucho",0.21,0.388,0.162
"P19","Si, un poco",0.679,0.516,0.759
"P19","No",0.111,0.096,0.079
"P20","Si",0.177,0.27,0.222
"P20","No",0.758,0.641,0.653
"P20","No recuerda",0.065,0.089,0.125
"P21","La quíntuple",0.256,0.31,0.126
"P21","La triple viral (Sarampión, rubeola y paperas)",0.188,0.091,0.112
"P21","La Neumococo",0.045,0.068,0.123
"P21","La BCG",0.048,0.028,0.203
"P21","Otra",0.089,0.196,0.17
"P21","No recuerda",0.374,0.307,0.266
"P22","Si",0.571,0.623,0.578
"P22","No",0.353,0.24,0.292
"P22","No recuerda",0.076,0.137,0.13
"P23","La quíntuple",0.244,0.283,0.173
"P23","La triple viral (Sarampión, rubeola y paperas)",0.164,0.092,0.051
"P23","La Neumococo",0.052,0.011,0.081
"P23","La BCG",0.073,0.073,0.072
"P23","Otra",0.068,0.085,0.025
"P23","No recuerda",0.399,0.456,0.598
"P24","Sí, una vez",0.098,0.175,0.163
"P24","Si varias veces",0.083,0.192,0.083
"P24","No",0.738,0.491,0.621
"P24","No recuerdo",0.081,0.142,0.133
"P25","Si",0.701,0.54,0.559
"P25","No",0.299,0.46,0.441
"P26","Si",0.588,0.237,0.249
"P26","No",0.412,0.763,0.751
"P27","Si, la Polio y la quíntuple",0.181,0.074,0.125
"P27","Si, la triple viral y la BCG",0.241,0.206,0.289
"P27","Otras",0.037,0.07,0.034
"P27","No recuerdo",0.541,0.65,0.552
"P28","Si",0.353,0.233,0.264
"P28","No",0.647,0.767,0.736
"P29","Si",0.229,0.067,0.136
"P29","No",0.771,0.933,0.864
"P30","Si, Infanrix",0.134,0,0
"P30","Si, Hexaxim",0.148,0.747,0.032
"P30","No recuerdo",0.718,0.253,0.968
"P31","Si",0.953,0.783,0.852
"P31","No",0.047,0.217,0.148
"P32","Si",0.536,0.283,0.468
"P32","No",0.464,0.717,0.532
"P33","Miedo al contagio",0.45,0.216,0.514
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.316,0.565,0.269
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.175,0.163,0.151
"P33","Porque era costoso el viaje",0.059,0.056,0.066
"P34","Si, una dosis",0.538,0.504,0.52
"P34","Si, dos dosis",0.37,0.297,0.302
"P34","Ninguna",0.092,0.199,0.178
"P35","Sputnik V",0.318,0.32,0.212
"P35","Sinopharm",0.301,0.37,0.29
"P35","AstraZeneca",0.329,0.218,0.455
"P35","Johnson",0.005,0.005,0
"P35","Phizer",0.008,0.062,0
"P35","Moderna",0.009,0,0.006
"P35","Otra",0.03,0.025,0.037
