"var","categoria","Si","No","No recuerda"
"P06","1 hijo",0.565,0.628,0.625
"P06","2 hijos",0.296,0.251,0.255
"P06","3 hijos",0.072,0.084,0.044
"P06","4 o más hijos",0.067,0.037,0.076
"P07","Con hijos de 3 años y menos",0.48,0.354,0.323
"P07","Con hijos mayores de 3 años",0.52,0.646,0.677
"P08","En un Centro de Salud",0.531,0.466,0.392
"P08","En un hospital",0.201,0.243,0.255
"P08","En un sanatorio",0.032,0.055,0.022
"P08","En un Consultorio Privado",0.025,0.05,0.054
"P08","En un vacunatorio",0.211,0.186,0.277
"P09","Si",0.967,0.98,0.973
"P09","No",0.033,0.02,0.027
"P10","Si, son efectivas",0.982,0.991,0.952
"P10","No, no son efectivas",0.018,0.009,0.048
"P11","Si",0.961,0.982,0.909
"P11","No",0.039,0.018,0.091
"P12","Si",0.166,0.116,0.147
"P12","No",0.834,0.884,0.853
"P13","La quíntuple",0.145,0.031,0.17
"P13","La triple viral (Sarampión, rubeola y paperas)",0.144,0.161,0.047
"P13","La Neumococo",0.085,0.049,0.091
"P13","La BCG",0.031,0.009,0.031
"P13","Otra",0.194,0.157,0.206
"P13","No recuerda",0.401,0.593,0.455
"P14","Si",0.949,0.939,0.878
"P14","No",0.051,0.061,0.122
"P15","Si, las conozco",0.828,0.869,0.743
"P15","No, no las conozco",0.08,0.052,0.117
"P15","Algunas",0.092,0.079,0.14
"P16","Si",0.704,0.812,0.623
"P16","A veces",0.234,0.143,0.275
"P16","No",0.062,0.045,0.102
"P17","Sí, hay suficiente información",0.212,0.231,0.202
"P17","No, no hay suficiente información",0.788,0.769,0.798
"P18","Si",0.107,0.078,0.125
"P18","Sí, pero es necesario",0.557,0.485,0.473
"P18","No",0.336,0.437,0.402
"P19","Sí, mucho",0.26,0.117,0.138
"P19","Si, un poco",0.649,0.738,0.723
"P19","No",0.091,0.145,0.139
"P20","Si",0.236,0.063,0.129
"P20","No",0.698,0.893,0.628
"P20","No recuerda",0.066,0.044,0.243
"P21","La quíntuple",0.286,0.071,0.142
"P21","La triple viral (Sarampión, rubeola y paperas)",0.133,0.343,0.278
"P21","La Neumococo",0.062,0,0.107
"P21","La BCG",0.076,0.016,0.035
"P21","Otra",0.113,0.062,0.178
"P21","No recuerda",0.33,0.508,0.26
"P24","Sí, una vez",0.149,0.059,0.053
"P24","Si varias veces",0.072,0.108,0.142
"P24","No",0.67,0.791,0.642
"P24","No recuerdo",0.109,0.042,0.163
"P25","Si",0.701,0.667,0.56
"P25","No",0.299,0.333,0.44
"P26","Si",0.498,0.598,0.498
"P26","No",0.502,0.402,0.502
"P27","Si, la Polio y la quíntuple",0.176,0.165,0.134
"P27","Si, la triple viral y la BCG",0.205,0.307,0.23
"P27","Otras",0.034,0.035,0.078
"P27","No recuerdo",0.585,0.493,0.558
"P28","Si",0.331,0.356,0.29
"P28","No",0.669,0.644,0.71
"P29","Si",0.197,0.238,0.164
"P29","No",0.803,0.762,0.836
"P30","Si, Infanrix",0.137,0.119,0.021
"P30","Si, Hexaxim",0.155,0.106,0.431
"P30","No recuerdo",0.708,0.775,0.548
"P31","Si",0.932,0.951,0.841
"P31","No",0.068,0.049,0.159
"P32","Si",0.545,0.48,0.413
"P32","No",0.455,0.52,0.587
"P33","Miedo al contagio",0.42,0.467,0.358
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.327,0.313,0.489
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.191,0.164,0.092
"P33","Porque era costoso el viaje",0.062,0.056,0.061
"P34","Si, una dosis",0.53,0.542,0.527
"P34","Si, dos dosis",0.333,0.396,0.378
"P34","Ninguna",0.137,0.062,0.095
"P35","Sputnik V",0.297,0.338,0.267
"P35","Sinopharm",0.29,0.337,0.275
"P35","AstraZeneca",0.362,0.291,0.316
"P35","Johnson",0.001,0.01,0
"P35","Phizer",0.012,0,0.046
"P35","Moderna",0.007,0.006,0.025
"P35","Otra",0.031,0.018,0.071
