"var","categoria","Si","No"
"P06","1 hijo",0.58,0.357
"P06","2 hijos",0.275,0.21
"P06","3 hijos",0.071,0.18
"P06","4 o más hijos",0.074,0.253
"P07","Con hijos de 3 años y menos",0.441,0.728
"P07","Con hijos mayores de 3 años",0.559,0.272
"P08","En un Centro de Salud",0.511,0.311
"P08","En un hospital",0.218,0.187
"P08","En un sanatorio",0.046,0.01
"P08","En un Consultorio Privado",0.031,0.322
"P08","En un vacunatorio",0.194,0.17
"P09","Si",0.987,0.461
"P09","No",0.013,0.539
"P10","Si, son efectivas",0.994,0.421
"P10","No, no son efectivas",0.006,0.579
"P12","Si",0.145,0.496
"P12","No",0.855,0.504
"P13","La quíntuple",0.121,0.064
"P13","La triple viral (Sarampión, rubeola y paperas)",0.102,0.23
"P13","La Neumococo",0.076,0
"P13","La BCG",0.024,0.057
"P13","Otra",0.127,0.528
"P13","No recuerda",0.55,0.121
"P14","Si",0.939,0.732
"P14","No",0.061,0.268
"P15","Si, las conozco",0.827,0.546
"P15","No, no las conozco",0.077,0.404
"P15","Algunas",0.096,0.05
"P16","Si",0.735,0.432
"P16","A veces",0.208,0.304
"P16","No",0.057,0.264
"P17","Sí, hay suficiente información",0.23,0.187
"P17","No, no hay suficiente información",0.77,0.813
"P18","Si",0.085,0.514
"P18","Sí, pero es necesario",0.544,0.234
"P18","No",0.371,0.252
"P19","Sí, mucho",0.214,0.408
"P19","Si, un poco",0.682,0.427
"P19","No",0.104,0.165
"P20","Si",0.18,0.423
"P20","No",0.753,0.35
"P20","No recuerda",0.067,0.227
"P21","La quíntuple",0.241,0.302
"P21","La triple viral (Sarampión, rubeola y paperas)",0.173,0.135
"P21","La Neumococo",0.062,0
"P21","La BCG",0.061,0.095
"P21","Otra",0.089,0.325
"P21","No recuerda",0.374,0.143
"P22","Si",0.574,0.617
"P22","No",0.345,0.17
"P22","No recuerda",0.081,0.213
"P23","La quíntuple",0.244,0.157
"P23","La triple viral (Sarampión, rubeola y paperas)",0.151,0.032
"P23","La Neumococo",0.053,0.023
"P23","La BCG",0.075,0.022
"P23","Otra",0.053,0.339
"P23","No recuerda",0.424,0.427
"P24","Sí, una vez",0.101,0.314
"P24","Si varias veces",0.08,0.352
"P24","No",0.73,0.201
"P24","No recuerdo",0.089,0.133
"P25","Si",0.683,0.523
"P25","No",0.317,0.477
"P26","Si",0.534,0.478
"P26","No",0.466,0.522
"P27","Si, la Polio y la quíntuple",0.168,0.176
"P27","Si, la triple viral y la BCG",0.244,0.215
"P27","Otras",0.036,0.106
"P27","No recuerdo",0.552,0.503
"P28","Si",0.338,0.284
"P28","No",0.662,0.716
"P29","Si",0.204,0.298
"P29","No",0.796,0.702
"P30","Si, Infanrix",0.127,0.056
"P30","Si, Hexaxim",0.118,0.723
"P30","No recuerdo",0.755,0.221
"P31","Si",0.943,0.636
"P31","No",0.057,0.364
"P32","Si",0.517,0.383
"P32","No",0.483,0.617
"P33","Miedo al contagio",0.437,0.308
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.341,0.313
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.164,0.292
"P33","Porque era costoso el viaje",0.058,0.087
"P34","Si, una dosis",0.548,0.219
"P34","Si, dos dosis",0.363,0.254
"P34","Ninguna",0.089,0.527
"P35","Sputnik V",0.31,0.226
"P35","Sinopharm",0.306,0.277
"P35","AstraZeneca",0.336,0.178
"P35","Johnson",0.004,0.015
"P35","Phizer",0.007,0.191
"P35","Moderna",0.009,0
"P35","Otra",0.028,0.113
