"var","categoria","La quíntuple","La triple viral (Sarampión, rubeola y paperas)","La Neumococo","La BCG","Otra","No recuerda"
"P06","1 hijo",0.538,0.446,0.332,0.643,0.479,0.503
"P06","2 hijos",0.181,0.277,0.381,0.089,0.368,0.347
"P06","3 hijos",0.137,0.148,0,0.068,0.061,0.103
"P06","4 o más hijos",0.144,0.129,0.287,0.2,0.092,0.047
"P07","Con hijos de 3 años y menos",0.6,0.374,0.713,0.392,0.835,0.534
"P07","Con hijos mayores de 3 años",0.4,0.626,0.287,0.608,0.165,0.466
"P08","En un Centro de Salud",0.655,0.535,0.822,0.558,0.662,0.57
"P08","En un hospital",0.075,0.2,0.116,0.29,0.127,0.19
"P08","En un sanatorio",0.057,0.026,0.024,0,0,0.013
"P08","En un Consultorio Privado",0.008,0.039,0,0.04,0.042,0.02
"P08","En un vacunatorio",0.205,0.2,0.038,0.112,0.169,0.207
"P09","Si",0.938,0.989,1,0.874,0.88,0.974
"P09","No",0.062,0.011,0,0.126,0.12,0.026
"P10","Si, son efectivas",0.947,0.944,1,0.905,0.93,0.974
"P10","No, no son efectivas",0.053,0.056,0,0.095,0.07,0.026
"P11","Si",0.896,0.933,1,0.874,0.748,0.966
"P11","No",0.104,0.067,0,0.126,0.252,0.034
"P12","Si",0.408,0.126,0.197,0.271,0.546,0.231
"P12","No",0.592,0.874,0.803,0.729,0.454,0.769
"P13","La quíntuple",0.402,0.272,0,0,0,0.317
"P13","La triple viral (Sarampión, rubeola y paperas)",0.19,0.508,0.069,0.107,0.248,0.039
"P13","La Neumococo",0.019,0,0.841,0,0.248,0.129
"P13","La BCG",0,0,0,0.678,0.048,0
"P13","Otra",0.242,0.187,0,0.215,0.434,0.151
"P13","No recuerda",0.147,0.033,0.09,0,0.022,0.364
"P14","Si",0.897,0.966,0.884,0.947,0.843,0.968
"P14","No",0.103,0.034,0.116,0.053,0.157,0.032
"P15","Si, las conozco",0.819,0.871,0.629,0.587,0.645,0.829
"P15","No, no las conozco",0.121,0.052,0.116,0.043,0.173,0.083
"P15","Algunas",0.06,0.077,0.255,0.37,0.182,0.088
"P16","Si",0.586,0.765,0.34,0.791,0.764,0.661
"P16","A veces",0.361,0.224,0.405,0.141,0.195,0.247
"P16","No",0.053,0.011,0.255,0.068,0.041,0.092
"P17","Sí, hay suficiente información",0.277,0.457,0.14,0.147,0.276,0.163
"P17","No, no hay suficiente información",0.723,0.543,0.86,0.853,0.724,0.837
"P18","Si",0.424,0.191,0.279,0.055,0.27,0.237
"P18","Sí, pero es necesario",0.423,0.586,0.554,0.646,0.561,0.536
"P18","No",0.153,0.223,0.167,0.299,0.169,0.227
"P19","Sí, mucho",0.65,0.502,0.452,0.517,0.463,0.392
"P19","Si, un poco",0.35,0.482,0.548,0.462,0.537,0.586
"P19","No",0,0.016,0,0.021,0,0.022
"P22","Si",0.93,0.641,0.884,0.936,0.831,0.77
"P22","No",0.035,0.256,0,0.03,0.07,0.183
"P22","No recuerda",0.035,0.103,0.116,0.034,0.099,0.047
"P23","La quíntuple",0.889,0.033,0.038,0.216,0,0.149
"P23","La triple viral (Sarampión, rubeola y paperas)",0.048,0.682,0.162,0.167,0.015,0.017
"P23","La Neumococo",0,0,0.038,0.043,0.076,0.061
"P23","La BCG",0.006,0.045,0.022,0.1,0.163,0.054
"P23","Otra",0.006,0.045,0.143,0.045,0.42,0.037
"P23","No recuerda",0.051,0.195,0.597,0.429,0.326,0.682
