"var","categoria","Sí, mucho","Si, un poco","No"
"P06","1 hijo",0.541,0.558,0.655
"P06","2 hijos",0.276,0.287,0.262
"P06","3 hijos",0.048,0.1,0.037
"P06","4 o más hijos",0.135,0.055,0.046
"P07","Con hijos de 3 años y menos",0.553,0.421,0.399
"P07","Con hijos mayores de 3 años",0.447,0.579,0.601
"P08","En un Centro de Salud",0.591,0.493,0.485
"P08","En un hospital",0.194,0.222,0.22
"P08","En un sanatorio",0.026,0.045,0.041
"P08","En un Consultorio Privado",0.027,0.03,0.092
"P08","En un vacunatorio",0.162,0.21,0.162
"P09","Si",0.958,0.979,0.976
"P09","No",0.042,0.021,0.024
"P10","Si, son efectivas",0.969,0.986,0.997
"P10","No, no son efectivas",0.031,0.014,0.003
"P11","Si",0.93,0.976,0.942
"P11","No",0.07,0.024,0.058
"P12","Si",0.232,0.12,0.126
"P12","No",0.768,0.88,0.874
"P13","La quíntuple",0.212,0.073,0.043
"P13","La triple viral (Sarampión, rubeola y paperas)",0.21,0.111,0.018
"P13","La Neumococo",0.054,0.093,0.025
"P13","La BCG",0.017,0.035,0
"P13","Otra",0.237,0.158,0.105
"P13","No recuerda",0.27,0.53,0.809
"P14","Si",0.885,0.956,0.932
"P14","No",0.115,0.044,0.068
"P15","Si, las conozco",0.775,0.824,0.849
"P15","No, no las conozco",0.155,0.068,0.08
"P15","Algunas",0.07,0.108,0.071
"P16","Si",0.689,0.74,0.728
"P16","A veces",0.215,0.211,0.172
"P16","No",0.096,0.049,0.1
"P17","Sí, hay suficiente información",0.28,0.207,0.285
"P17","No, no hay suficiente información",0.72,0.793,0.715
"P18","Si",0.216,0.076,0.016
"P18","Sí, pero es necesario",0.552,0.54,0.402
"P18","No",0.232,0.384,0.582
"P20","Si",0.435,0.14,0.016
"P20","No",0.494,0.792,0.87
"P20","No recuerda",0.071,0.068,0.114
"P21","La quíntuple",0.324,0.174,0
"P21","La triple viral (Sarampión, rubeola y paperas)",0.173,0.166,0.232
"P21","La Neumococo",0.052,0.062,0
"P21","La BCG",0.067,0.06,0.116
"P21","Otra",0.102,0.118,0
"P21","No recuerda",0.282,0.42,0.652
"P22","Si",0.745,0.545,0.462
"P22","No",0.197,0.365,0.433
"P22","No recuerda",0.058,0.09,0.105
"P23","La quíntuple",0.276,0.211,0.352
"P23","La triple viral (Sarampión, rubeola y paperas)",0.154,0.144,0.139
"P23","La Neumococo",0.059,0.051,0.033
"P23","La BCG",0.076,0.067,0.105
"P23","Otra",0.058,0.073,0.029
"P23","No recuerda",0.377,0.454,0.342
"P24","Sí, una vez",0.172,0.099,0.072
"P24","Si varias veces",0.138,0.072,0.125
"P24","No",0.592,0.743,0.702
"P24","No recuerdo",0.098,0.086,0.101
"P25","Si",0.626,0.679,0.743
"P25","No",0.374,0.321,0.257
"P26","Si",0.488,0.524,0.646
"P26","No",0.512,0.476,0.354
"P27","Si, la Polio y la quíntuple",0.18,0.171,0.13
"P27","Si, la triple viral y la BCG",0.307,0.231,0.222
"P27","Otras",0.014,0.042,0.054
"P27","No recuerdo",0.499,0.556,0.594
"P28","Si",0.249,0.344,0.42
"P28","No",0.751,0.656,0.58
"P29","Si",0.156,0.2,0.333
"P29","No",0.844,0.8,0.667
"P30","Si, Infanrix",0.207,0.092,0.177
"P30","Si, Hexaxim",0.201,0.142,0.178
"P30","No recuerdo",0.592,0.766,0.645
"P31","Si",0.868,0.949,0.913
"P31","No",0.132,0.051,0.087
"P32","Si",0.418,0.528,0.551
"P32","No",0.582,0.472,0.449
"P33","Miedo al contagio",0.558,0.411,0.283
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.31,0.348,0.347
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.066,0.194,0.243
"P33","Porque era costoso el viaje",0.066,0.047,0.127
"P34","Si, una dosis",0.579,0.526,0.51
"P34","Si, dos dosis",0.226,0.381,0.428
"P34","Ninguna",0.195,0.093,0.062
"P35","Sputnik V",0.308,0.308,0.315
"P35","Sinopharm",0.313,0.314,0.236
"P35","AstraZeneca",0.348,0.326,0.352
"P35","Johnson",0.009,0.004,0
"P35","Phizer",0.003,0.009,0.031
"P35","Moderna",0,0.007,0.031
"P35","Otra",0.019,0.032,0.035
