"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Horacio Rodriguez Larreta","Muy buena",0.293,0.286,0.3,0.233,0.362,0.242,0.25,0.32,0.269,0.3,0.127,0.539,0.191
"Horacio Rodriguez Larreta","Buena",0.192,0.211,0.171,0.238,0.149,0.259,0.141,0.122,0.214,0.236,0.132,0.263,0.214
"Horacio Rodriguez Larreta","Ni buena ni mala",0.179,0.143,0.217,0.206,0.144,0.217,0.186,0.199,0.197,0.125,0.213,0.089,0.379
"Horacio Rodriguez Larreta","Mala",0.091,0.111,0.071,0.085,0.092,0.068,0.139,0.095,0.074,0.115,0.152,0.015,0.025
"Horacio Rodriguez Larreta","Muy mala",0.202,0.193,0.212,0.151,0.247,0.177,0.186,0.221,0.188,0.206,0.323,0.064,0.083
"Horacio Rodriguez Larreta","No sabe",0.043,0.056,0.029,0.087,0.006,0.037,0.098,0.043,0.058,0.018,0.053,0.03,0.108
"Julio Zamora","Muy buena",0.178,0.158,0.201,0.098,0.196,0.17,0.263,0.231,0.198,0.089,0.301,0.051,0.052
"Julio Zamora","Buena",0.228,0.255,0.2,0.234,0.232,0.224,0.217,0.248,0.248,0.177,0.306,0.116,0.388
"Julio Zamora","Ni buena ni mala",0.242,0.188,0.3,0.281,0.237,0.228,0.218,0.18,0.26,0.281,0.235,0.263,0.068
"Julio Zamora","Mala",0.129,0.145,0.11,0.132,0.13,0.146,0.09,0.133,0.118,0.14,0.077,0.203,0.144
"Julio Zamora","Muy mala",0.183,0.211,0.153,0.229,0.177,0.177,0.137,0.113,0.171,0.279,0.054,0.315,0.247
"Julio Zamora","No sabe",0.04,0.043,0.036,0.026,0.028,0.055,0.075,0.095,0.005,0.034,0.027,0.052,0.101
"Segundo Cernadas","Muy buena",0.114,0.096,0.133,0.089,0.152,0.098,0.057,0.142,0.125,0.066,0.081,0.163,0.112
"Segundo Cernadas","Buena",0.184,0.164,0.207,0.083,0.197,0.247,0.199,0.157,0.217,0.162,0.101,0.313,0.212
"Segundo Cernadas","Ni buena ni mala",0.276,0.243,0.312,0.383,0.244,0.284,0.197,0.234,0.298,0.289,0.247,0.288,0.443
"Segundo Cernadas","Mala",0.099,0.129,0.067,0.098,0.113,0.089,0.069,0.074,0.099,0.125,0.136,0.067,0.08
"Segundo Cernadas","Muy mala",0.201,0.184,0.219,0.246,0.199,0.155,0.211,0.198,0.169,0.254,0.307,0.077,0.024
"Segundo Cernadas","No sabe",0.126,0.184,0.062,0.101,0.095,0.127,0.267,0.195,0.092,0.104,0.128,0.092,0.129
"Maria Eugenia Vidal","Muy buena",0.18,0.182,0.179,0.136,0.215,0.17,0.158,0.235,0.128,0.202,0.092,0.311,0.018
"Maria Eugenia Vidal","Buena",0.193,0.205,0.179,0.245,0.142,0.208,0.244,0.179,0.226,0.154,0.091,0.326,0.286
"Maria Eugenia Vidal","Ni buena ni mala",0.187,0.168,0.208,0.145,0.182,0.245,0.185,0.229,0.188,0.137,0.121,0.232,0.407
"Maria Eugenia Vidal","Mala",0.114,0.145,0.08,0.124,0.123,0.093,0.1,0.068,0.12,0.156,0.142,0.057,0.22
"Maria Eugenia Vidal","Muy mala",0.316,0.295,0.339,0.35,0.337,0.272,0.258,0.269,0.332,0.346,0.538,0.074,0.069
"Maria Eugenia Vidal","No sabe",0.01,0.005,0.015,0,0.001,0.012,0.055,0.02,0.006,0.005,0.016,0,0
"Alberto Fernandez","Muy buena",0.286,0.199,0.38,0.259,0.309,0.223,0.364,0.366,0.286,0.191,0.545,0.029,0.084
"Alberto Fernandez","Buena",0.103,0.121,0.083,0.032,0.118,0.151,0.102,0.068,0.111,0.131,0.186,0.018,0
"Alberto Fernandez","Ni buena ni mala",0.108,0.111,0.105,0.118,0.111,0.142,0.019,0.133,0.123,0.052,0.125,0.015,0.436
"Alberto Fernandez","Mala",0.134,0.123,0.146,0.146,0.13,0.082,0.216,0.152,0.114,0.148,0.057,0.231,0.115
"Alberto Fernandez","Muy mala",0.364,0.44,0.281,0.445,0.331,0.385,0.287,0.265,0.366,0.477,0.082,0.707,0.365
"Alberto Fernandez","No sabe",0.005,0.006,0.005,0,0.001,0.017,0.012,0.016,0,0.001,0.005,0,0
"CFK","Muy buena",0.3,0.267,0.336,0.243,0.338,0.271,0.326,0.348,0.308,0.229,0.59,0.038,0
"CFK","Buena",0.08,0.087,0.073,0.105,0.064,0.082,0.083,0.054,0.109,0.064,0.111,0.055,0
