"var","categoria","A Segundo cernadas por Juntos","A Gisela Zamora por el frente de todos","A Juan José Cervetto por avanza libertad","A Paula Yamila Akerfeld por el Frente de Izquierda","A Matias Orfo por Vamos con vos","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco","En blanco o anularía"
"P09","Porque me siento desanimado con la realidad del país",0.435,0.15,0.029,0.863,0,0,0.156
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.15,0.41,0.78,0.097,0.188,0,0.66
"P09","Nunca voy a votar",0,0.093,0,0,0,0,0
"P09","Por miedo a la pandemia",0.255,0.189,0,0,0.139,1,0.065
"P09","Porque las PASO no son elecciones importantes",0.16,0.158,0.191,0.04,0.673,0,0.119
"P14","A Tolosa Paz por el Frente de Todos",0,0.945,0.061,0.018,0.021,0,0.076
"P14","A Santilli y Manes por Juntos",0.995,0.033,0,0,0,0,0
"P14","A del Caño por el Frente de Izquierda",0.001,0,0.068,0.982,0.072,0,0
"P14","A Espert por Avanza libertad",0.004,0,0.871,0,0,0,0.01
"P14","A Randazzo por ""Vamos con vos""",0,0,0,0,0.907,0,0
"P14","A Hotton por “+Valores”",0,0.022,0,0,0,0.959,0
"P14","Votaría en blanco o anularía",0,0,0,0,0,0.041,0.914
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.789,0.062,0.293,0.006,0.059,0.059,0.041
"P18","Victoria Tolosa Paz por el Frente de todos",0.072,0.823,0.005,0.135,0.032,0.064,0.078
"P18","Nicolás del Caño por el Frente de Izquierda",0.016,0.017,0.055,0.61,0.212,0.066,0
"P18","José Luis Espert por “Avanza Libertad”",0.021,0,0.532,0.229,0.022,0.036,0.045
"P18","Florencio Randazzo por “Vamos con vos”",0.007,0.031,0.013,0,0.446,0.024,0.016
"P18","Cynthia Hotton por “+Valores”",0.001,0,0,0,0.024,0.479,0.03
"P18","Ninguna en particular",0.037,0.041,0.102,0.02,0.205,0.133,0.535
"P18","No sabe",0.057,0.026,0,0,0,0.139,0.255
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.129,0.814,0.188,0.195,0.287,0.347,0.245
"P19","Victoria Tolosa Paz por el Frente de todos",0.749,0.052,0.67,0.161,0.18,0.172,0.069
"P19","Nicolás del Caño por el Frente de Izquierda",0.037,0.004,0.039,0.197,0,0.028,0.019
