"var","categoria","A Tolosa Paz por el Frente de Todos","A Santilli y Manes por Juntos","A del Caño por el Frente de Izquierda","A Espert por Avanza libertad","A Randazzo por ""Vamos con vos""","A Hotton por “+Valores”","Votaría en blanco o anularía"
"P09","Porque me siento desanimado con la realidad del país",0.135,0.435,0.805,0.044,0,0,0.159
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.473,0.15,0.091,0.484,0.218,0,0.673
"P09","Nunca voy a votar",0.085,0,0,0,0,0,0
"P09","Por miedo a la pandemia",0.171,0.255,0.067,0,0,0,0.118
"P09","Porque las PASO no son elecciones importantes",0.136,0.16,0.037,0.472,0.782,1,0.05
"P16","A Segundo cernadas por Juntos",0,0.971,0.006,0.028,0,0,0
"P16","A Gisela Zamora por el frente de todos",0.972,0.029,0,0,0,0.2,0
"P16","A Juan José Cervetto por avanza libertad",0.011,0,0.059,0.961,0,0,0
"P16","A Paula Yamila Akerfeld por el Frente de Izquierda",0.003,0,0.915,0,0,0,0
"P16","A Matias Orfo por Vamos con vos",0.001,0,0.02,0,1,0,0
"P16","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0,0,0,0,0,0.8,0.025
"P16","En blanco o anularía",0.013,0,0,0.011,0,0,0.975
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.055,0.777,0.011,0.318,0.068,0.048,0.035
"P18","Victoria Tolosa Paz por el Frente de todos",0.843,0.089,0.109,0.005,0,0.068,0.008
"P18","Nicolás del Caño por el Frente de Izquierda",0.027,0.016,0.591,0,0.154,0.054,0
"P18","José Luis Espert por “Avanza Libertad”",0,0.017,0.267,0.543,0.025,0.001,0.072
"P18","Florencio Randazzo por “Vamos con vos”",0.032,0.007,0,0.014,0.516,0.02,0.017
"P18","Cynthia Hotton por “+Valores”",0,0.001,0.004,0,0,0.392,0.032
"P18","Ninguna en particular",0.039,0.038,0.018,0.11,0.237,0.109,0.574
"P18","No sabe",0.004,0.055,0,0.01,0,0.308,0.262
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.808,0.125,0.233,0.165,0.225,0.357,0.21
"P19","Victoria Tolosa Paz por el Frente de todos",0.06,0.75,0.156,0.679,0.176,0.177,0.066
"P19","Nicolás del Caño por el Frente de Izquierda",0.008,0.037,0.184,0.042,0,0,0.02
"P19","José Luis Espert por “Avanza Libertad”",0.027,0.002,0.151,0.016,0.026,0.076,0.016
"P19","Florencio Randazzo por “Vamos con vos”",0.022,0.007,0.115,0.038,0.33,0,0
"P19","Cynthia Hotton por “+Valores”",0.005,0.002,0.126,0,0,0,0.106
"P19","Ninguna en particular",0.036,0.061,0.031,0.052,0.243,0.39,0.401
"P19","No sabe",0.034,0.016,0.004,0.008,0,0,0.181
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.266,0.301,0.348,0.295,0.232,0.353,0.282
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.163,0.357,0.252,0.21,0.177,0.159,0.144
"P20","No alcanzan para cubrir los gastos totales de la familia",0.182,0.16,0.132,0.025,0.139,0.143,0.356
"P20","Alcanzan para cubrir los gastos totales de la familia",0.243,0.079,0.013,0.063,0.109,0.015,0.016
"P20","Tenemos un pequeño excedente, pero es excepcional",0.088,0.026,0.098,0.038,0,0,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.047,0.029,0.029,0.124,0,0.07,0
"P20","Tenemos un gran excedente pero es excepcional",0,0.001,0.004,0,0,0.228,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0,0.012,0.115,0.131,0.343,0.032,0
"P20","No sabe",0.011,0.035,0.009,0.114,0,0,0.202
"P21","La inflación",0.29,0.302,0.133,0.321,0.19,0.179,0.347
"P21","El desempleo",0.19,0.139,0.408,0.041,0.202,0.032,0.032
"P21","La corrupción",0.204,0.418,0.345,0.341,0.221,0.628,0.357
"P21","La inseguridad",0.087,0.062,0,0,0,0.097,0.042
"P21","El precio del dólar",0.039,0.02,0,0.005,0.387,0,0.045
"P21","La pobreza",0.088,0.036,0.051,0.141,0,0,0
"P21","El narcotráfico",0.01,0.008,0,0,0,0.025,0
"P21","Las tarifas",0.014,0.001,0.059,0.009,0,0,0
"P21","Otro",0.069,0.014,0,0.009,0,0.039,0.052
"P21","No sabe",0.009,0,0.004,0.133,0,0,0.125
"P22","Muy buena",0.365,0.079,0.148,0,0.381,0.01,0.043
"P22","Buena",0.35,0.047,0.094,0,0,0.035,0.032
"P22","Ni buena ni mala",0.237,0.086,0.076,0.298,0.416,0.102,0.228
"P22","Mala",0.027,0.195,0.146,0.337,0.138,0.189,0.349
"P22","Muy mala",0.006,0.592,0.515,0.365,0.065,0.664,0.348
"P22","No sabe",0.015,0.001,0.021,0,0,0,0
"P23","Muy buena",0.592,0.068,0.22,0.004,0.481,0.009,0.127
"P23","Buena",0.213,0.025,0.1,0.173,0.003,0.04,0
"P23","Ni buena ni mala",0.092,0.1,0.02,0,0.202,0.189,0.178
"P23","Mala",0.035,0.069,0.147,0.231,0.115,0.01,0.287
"P23","Muy mala",0.068,0.735,0.491,0.588,0.199,0.651,0.286
"P23","No sabe",0,0.003,0.022,0.004,0,0.101,0.122
"P24","Muy buena",0.224,0.035,0.075,0,0,0,0
"P24","Buena",0.326,0.045,0.275,0,0.178,0.094,0.129
"P24","Ni buena ni mala",0.273,0.134,0.101,0.201,0.495,0.411,0.183
"P24","Mala",0.108,0.159,0.173,0.156,0,0.036,0.009
"P24","Muy mala",0.063,0.622,0.376,0.643,0.327,0.359,0.504
"P24","No sabe",0.006,0.005,0,0,0,0.1,0.175
"P25","Muy buena",0.013,0.223,0.138,0.24,0,0.001,0.035
"P25","Buena",0.047,0.214,0.032,0.035,0,0.095,0
"P25","Ni buena ni mala",0.058,0.332,0.156,0.151,0.636,0.344,0.285
"P25","Mala",0.18,0.123,0.263,0.451,0.36,0.01,0.078
"P25","Muy mala",0.685,0.091,0.389,0.123,0.004,0.55,0.403
"P25","No sabe",0.017,0.017,0.022,0,0,0,0.199
"P26","Muy buena",0.017,0.425,0.037,0.06,0,0.162,0.046
"P26","Buena",0.123,0.263,0.329,0.438,0.168,0.275,0.102
"P26","Ni buena ni mala",0.16,0.203,0.394,0.346,0.564,0.082,0.39
"P26","Mala",0.196,0.067,0.06,0.055,0.22,0.178,0.035
"P26","Muy mala",0.492,0.034,0.163,0.101,0.048,0.303,0.295
"P26","No sabe",0.012,0.008,0.017,0,0,0,0.132
"P27","Muy buena",0.237,0.06,0.062,0,0.179,0,0
"P27","Buena",0.308,0.033,0,0,0,0.281,0.062
"P27","Ni buena ni mala",0.252,0.237,0.427,0.105,0.609,0.315,0.241
"P27","Mala",0.1,0.145,0.028,0.323,0,0.049,0.007
"P27","Muy mala",0.094,0.469,0.483,0.376,0.212,0.263,0.352
"P27","No sabe",0.009,0.056,0,0.196,0,0.092,0.338
