"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"La inflación",0.283,0.29,0.276,0.256,0.289,0.266,0.338,0.323,0.234,0.314,0.256,0.225,0.331,0.33,0.282,0.233,0.322,0.258,0.286,0.289,0.206,0.429,0.215,0.201,0.057,0.333
"El desempleo",0.162,0.159,0.164,0.206,0.193,0.093,0.109,0.197,0.168,0.11,0.216,0.066,0.146,0.179,0.091,0.279,0.247,0.103,0.13,0.025,0.034,0.026,0.061,0.065,0.279,0.172
"La corrupción",0.332,0.319,0.344,0.317,0.301,0.381,0.37,0.326,0.348,0.314,0.32,0.327,0.345,0.204,0.474,0.291,0.151,0.496,0.345,0.353,0.511,0.39,0.673,0.369,0.359,0.353
"La inseguridad",0.062,0.052,0.07,0.043,0.05,0.109,0.047,0.091,0.063,0.025,0.076,0.126,0.024,0.087,0.045,0,0.053,0.033,0.14,0,0,0.031,0,0.255,0.066,0.041
"El precio del dólar",0.029,0.025,0.033,0.029,0.025,0.029,0.04,0.018,0.03,0.04,0.009,0.042,0.043,0.04,0.025,0,0.056,0.032,0.004,0,0,0,0,0,0,0.022
"La pobreza",0.06,0.07,0.051,0.066,0.059,0.073,0.029,0.036,0.056,0.095,0.071,0.037,0.058,0.074,0.051,0.039,0.084,0.066,0.038,0.118,0.053,0.069,0,0,0.075,0.029
"El narcotráfico",0.008,0.011,0.006,0,0.011,0.008,0.011,0.009,0.002,0.016,0.005,0.024,0.005,0.009,0.007,0.018,0.004,0.003,0.025,0,0,0,0,0.019,0,0.017
"Las tarifas",0.01,0.018,0.003,0.02,0.012,0.004,0,0,0.019,0.008,0.022,0.008,0,0.019,0.001,0,0.016,0,0,0,0.183,0,0,0,0,0.004
"Otro",0.035,0.037,0.034,0.02,0.045,0.028,0.043,0,0.035,0.077,0.02,0.049,0.044,0.051,0.024,0,0.056,0.009,0.032,0,0,0.053,0.051,0.091,0.016,0.029
"No sabe",0.019,0.019,0.019,0.043,0.015,0.009,0.013,0,0.045,0.001,0.005,0.096,0.004,0.007,0,0.14,0.011,0,0,0.215,0.013,0.002,0,0,0.148,0
