"var","categoria","Muy de acuerdo","De acuerdo","Ni a favor ni en contra","En desacuerdo","Muy en desacuerdo","No sabe"
"P05","Siempre",0.252,0.108,0.154,0.137,0.103,0.223
"P05","Casi siempre",0.183,0.262,0.204,0.316,0.23,0.098
"P05","Casi nunca",0.287,0.37,0.412,0.337,0.367,0.221
"P05","Nunca, pero esta es una excepción",0.278,0.26,0.23,0.21,0.3,0.458
"P08","Muy buena",0.098,0.037,0.027,0.022,0.033,0
"P08","Buena",0.118,0.207,0.102,0.074,0.102,0
"P08","Ni buena ni mala",0.283,0.342,0.357,0.324,0.373,0
"P08","Mala",0.18,0.212,0.222,0.253,0.207,0
"P08","Muy mala",0.173,0.121,0.174,0.212,0.193,0.308
"P08","No sabe",0.148,0.081,0.118,0.115,0.092,0.692
"P09","Liliana Alvarado por Nos Une Río Negro",0.154,0.154,0.118,0.136,0.071,0.057
"P09","Hernán Cáceres por Cambia Cinco Saltos",0.165,0.233,0.161,0.147,0.2,0
"P09","Quique Rossi por Avancemos Cinco Saltos",0.118,0.158,0.155,0.168,0.129,0
"P09","María Elena Vogel por Juntos Somos Río Negro",0.136,0.12,0.096,0.119,0.088,0
"P09","Silvina Gastiazoro por Nueva Generación",0,0.061,0.026,0.026,0.062,0
"P09","Miguel Vidal por el Partido Socialista",0.058,0.076,0.053,0.07,0.118,0.293
"P09","Martín Palumbo por Vamos Con Todos",0.026,0,0.033,0.074,0.006,0
"P09","Norberto Soto por la UCR",0.057,0.022,0.007,0.034,0.029,0
"P09","No sabe",0.286,0.176,0.351,0.226,0.297,0.65
"P10","A Liliana Alvarado por Nos Une Río Negro con el apoyo del kirchnerismo, Martín Doñate y La Cámpora",0.211,0.144,0.128,0.175,0.107,0.105
"P10","A Hernán Cáceres por Cambia Cinco Saltos con el apoyo de una parte del PRO",0.212,0.313,0.145,0.176,0.254,0
"P10","A Quique Rossi  por Avancemos Cinco Saltos",0.095,0.143,0.157,0.183,0.094,0
"P10","A María Elena Vogel por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.184,0.128,0.125,0.116,0.12,0
"P10","A Silvina Gastiazoro por Nueva Generación",0.01,0.042,0.018,0.013,0.035,0.078
"P10","A Miguel Vidal por el Partido Socialista con el apoyo de una parte del PRO y de Anibal Tortoriello",0.046,0.038,0.03,0.04,0.084,0.348
"P10","A Martín Palumbo por Vamos Con Todos con el apoyo del Movimiento Evita y de Silvia Horne",0.017,0.006,0.044,0.072,0,0
"P10","A Norberto Soto por la UCR con el apoyo del radicalismo",0.004,0.022,0,0.034,0.06,0
"P10","No sabe",0.221,0.164,0.353,0.191,0.246,0.469
"P11","La votaría",0.24,0.133,0.174,0.16,0.079,0
"P11","Puede que la vote",0.161,0.252,0.148,0.141,0.16,0.071
"P11","Nunca la votaría",0.451,0.515,0.514,0.451,0.544,0.67
"P11","No sabe",0.148,0.1,0.164,0.248,0.217,0.259
"P12","Lo votaría",0.279,0.281,0.147,0.156,0.262,0
"P12","Puede que lo vote",0.256,0.265,0.297,0.251,0.307,0
"P12","Nunca lo votaría",0.3,0.251,0.331,0.435,0.205,0.823
"P12","No sabe",0.165,0.203,0.225,0.158,0.226,0.177
"P13","La votaría",0.179,0.114,0.095,0.061,0.115,0
"P13","Puede que la vote",0.23,0.24,0.213,0.184,0.234,0
"P13","Nunca la votaría",0.35,0.396,0.397,0.569,0.391,0.79
"P13","No sabe",0.241,0.25,0.295,0.186,0.26,0.21
"P14","Lo votaría",0.101,0.105,0.133,0.064,0.057,0
"P14","Puede que lo vote",0.203,0.124,0.148,0.079,0.169,0.156
"P14","Nunca lo votaría",0.467,0.563,0.486,0.734,0.526,0.384
"P14","No sabe",0.229,0.208,0.233,0.123,0.248,0.46
"P15","Lo votaría",0.184,0.155,0.146,0.116,0.112,0.314
"P15","Puede que lo vote",0.249,0.211,0.2,0.132,0.284,0.157
"P15","Nunca lo votaría",0.35,0.406,0.466,0.607,0.385,0.381
"P15","No sabe",0.217,0.228,0.188,0.145,0.219,0.148
"P16","Lo votaría",0.212,0.014,0.061,0.064,0,0
"P16","Puede que lo vote",0.136,0.072,0.127,0.087,0.102,0.157
"P16","Nunca lo votaría",0.45,0.581,0.492,0.617,0.578,0.696
"P16","No sabe",0.202,0.333,0.32,0.232,0.32,0.147
"P17","Lo votaría",0.091,0.026,0.015,0.053,0.072,0
"P17","Puede que lo vote",0.21,0.052,0.078,0.013,0.03,0.469
"P17","Nunca lo votaría",0.475,0.528,0.529,0.687,0.484,0.384
"P17","No sabe",0.224,0.394,0.378,0.247,0.414,0.147
"P18","La votaría",0.131,0.065,0.027,0.057,0.027,0.311
"P18","Puede que la vote",0.109,0.075,0.089,0.062,0.1,0.156
"P18","Nunca la votaría",0.484,0.53,0.498,0.667,0.49,0.384
"P18","No sabe",0.276,0.33,0.386,0.214,0.383,0.149
