"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca","opciones"
"Muy buena",0.043,0.036,0.05,0.026,0.057,0.034,0.055,0.045,0.02,0.086,0.088,0.015,0.059,0.047,0,0,6
"Buena",0.133,0.149,0.118,0.119,0.125,0.164,0.144,0.14,0.135,0.118,0.151,0.144,0.062,0,0.431,0,6
"Ni buena ni mala",0.331,0.348,0.316,0.39,0.302,0.281,0.339,0.401,0.3,0.266,0.328,0.325,0.506,0.224,0.413,0.271,6
"Mala",0.208,0.199,0.217,0.189,0.23,0.216,0.187,0.161,0.263,0.183,0.238,0.195,0.15,0.251,0,0.143,6
"Muy mala",0.166,0.134,0.194,0.14,0.193,0.148,0.177,0.176,0.169,0.14,0.123,0.204,0.17,0.344,0,0.37,6
"No sabe",0.119,0.134,0.105,0.136,0.093,0.157,0.098,0.077,0.113,0.207,0.072,0.117,0.053,0.134,0.156,0.216,6
"Positiva",0.176,0.185,0.168,0.145,0.182,0.198,0.199,0.185,0.155,0.204,0.239,0.159,0.121,0.047,0.431,0,4
"Neutra",0.331,0.348,0.316,0.39,0.302,0.281,0.339,0.401,0.3,0.266,0.328,0.325,0.506,0.224,0.413,0.271,4
"Negativa",0.374,0.333,0.411,0.329,0.423,0.364,0.364,0.337,0.432,0.323,0.361,0.399,0.32,0.595,0,0.513,4
"No sabe",0.119,0.134,0.105,0.136,0.093,0.157,0.098,0.077,0.113,0.207,0.072,0.117,0.053,0.134,0.156,0.216,4
