"var","categoria","A Liliana Alvarado por Nos Une Río Negro con el apoyo del kirchnerismo, Martín Doñate y La Cámpora","A Hernán Cáceres por Cambia Cinco Saltos con el apoyo de una parte del PRO","A Quique Rossi  por Avancemos Cinco Saltos","A María Elena Vogel por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","A Silvina Gastiazoro por Nueva Generación","A Miguel Vidal por el Partido Socialista con el apoyo de una parte del PRO y de Anibal Tortoriello","A Martín Palumbo por Vamos Con Todos con el apoyo del Movimiento Evita y de Silvia Horne","A Norberto Soto por la UCR con el apoyo del radicalismo","No sabe"
"P05","Siempre",0.271,0.095,0.169,0.196,0.08,0.152,0.362,0,0.094
"P05","Casi siempre",0.243,0.253,0.287,0.23,0.049,0.261,0.296,0.342,0.168
"P05","Casi nunca",0.346,0.361,0.339,0.366,0.442,0.359,0.247,0.208,0.39
"P05","Nunca, pero esta es una excepción",0.14,0.291,0.205,0.208,0.429,0.228,0.095,0.45,0.348
"P07","Muy de acuerdo",0.259,0.175,0.13,0.254,0.069,0.175,0.132,0.043,0.166
"P07","De acuerdo",0.298,0.435,0.33,0.296,0.488,0.242,0.075,0.377,0.207
"P07","Ni a favor ni en contra",0.239,0.182,0.331,0.263,0.193,0.174,0.52,0,0.404
"P07","En desacuerdo",0.106,0.072,0.125,0.079,0.045,0.075,0.273,0.174,0.07
"P07","Muy en desacuerdo",0.086,0.136,0.084,0.108,0.154,0.209,0,0.406,0.12
"P07","No sabe",0.012,0,0,0,0.051,0.125,0,0,0.033
"P08","Muy buena",0.176,0.007,0.008,0.014,0.049,0,0.083,0,0.035
"P08","Buena",0.314,0.083,0.128,0.116,0.156,0.027,0.172,0.265,0.085
"P08","Ni buena ni mala",0.329,0.436,0.359,0.378,0.185,0.216,0.087,0.261,0.265
"P08","Mala",0.045,0.265,0.271,0.287,0.256,0.195,0.251,0.144,0.178
"P08","Muy mala",0.062,0.131,0.226,0.134,0.274,0.216,0.369,0.25,0.197
"P08","No sabe",0.074,0.078,0.008,0.071,0.08,0.346,0.038,0.08,0.24
"P09","Liliana Alvarado por Nos Une Río Negro",0.665,0.067,0.006,0.034,0,0,0.083,0,0.037
"P09","Hernán Cáceres por Cambia Cinco Saltos",0.064,0.615,0.101,0.067,0,0,0,0,0.065
"P09","Quique Rossi por Avancemos Cinco Saltos",0.007,0.086,0.804,0.097,0.069,0,0,0,0.009
"P09","María Elena Vogel por Juntos Somos Río Negro",0.055,0.059,0.05,0.582,0,0,0,0,0.021
"P09","Silvina Gastiazoro por Nueva Generación",0.035,0.017,0,0.016,0.84,0.027,0,0,0.005
"P09","Miguel Vidal por el Partido Socialista",0.037,0.044,0,0.024,0.091,0.856,0.047,0.171,0.034
"P09","Martín Palumbo por Vamos Con Todos",0,0,0.016,0.012,0,0,0.678,0.04,0.003
"P09","Norberto Soto por la UCR",0.05,0.01,0,0.006,0,0,0,0.789,0.004
"P09","No sabe",0.087,0.102,0.023,0.162,0,0.117,0.192,0,0.822
"P11","La votaría",0.583,0.069,0.132,0.08,0.192,0,0.146,0,0.056
"P11","Puede que la vote",0.223,0.205,0.139,0.206,0.098,0.105,0.111,0,0.188
"P11","Nunca la votaría",0.136,0.596,0.619,0.651,0.618,0.697,0.699,0.819,0.422
"P11","No sabe",0.058,0.13,0.11,0.063,0.092,0.198,0.044,0.181,0.334
"P12","Lo votaría",0.124,0.585,0.088,0.104,0,0.162,0.053,0,0.141
"P12","Puede que lo vote",0.298,0.195,0.42,0.377,0.195,0.287,0.297,0.1,0.205
"P12","Nunca lo votaría",0.383,0.106,0.318,0.353,0.634,0.441,0.61,0.9,0.285
"P12","No sabe",0.195,0.114,0.174,0.166,0.171,0.11,0.04,0,0.369
"P13","La votaría",0.067,0.052,0.015,0.664,0,0.021,0,0.161,0.021
"P13","Puede que la vote",0.213,0.287,0.228,0.199,0.243,0.099,0.236,0,0.198
"P13","Nunca la votaría",0.478,0.436,0.566,0.063,0.614,0.671,0.422,0.839,0.332
"P13","No sabe",0.242,0.225,0.191,0.074,0.143,0.209,0.342,0,0.449
"P14","Lo votaría",0.091,0.065,0.019,0.114,0.044,0.673,0.214,0.159,0.084
"P14","Puede que lo vote",0.139,0.208,0.149,0.175,0.095,0.062,0.053,0,0.103
"P14","Nunca lo votaría",0.613,0.524,0.671,0.57,0.709,0.136,0.733,0.841,0.404
"P14","No sabe",0.157,0.203,0.161,0.141,0.152,0.129,0,0,0.409
"P15","Lo votaría",0.094,0.045,0.72,0.085,0.073,0.118,0,0,0.037
"P15","Puede que lo vote",0.182,0.271,0.147,0.324,0.251,0.07,0,0,0.216
"P15","Nunca lo votaría",0.545,0.506,0.102,0.393,0.524,0.712,0.843,1,0.347
"P15","No sabe",0.179,0.178,0.031,0.198,0.152,0.1,0.157,0,0.4
"P16","Lo votaría",0.101,0.08,0.027,0.035,0,0,0.498,0,0.018
"P16","Puede que lo vote",0.138,0.086,0.137,0.105,0.102,0.131,0.29,0.104,0.054
"P16","Nunca lo votaría",0.519,0.58,0.599,0.604,0.747,0.611,0,0.896,0.446
"P16","No sabe",0.242,0.254,0.237,0.256,0.151,0.258,0.212,0,0.482
"P17","Lo votaría",0.093,0.014,0.013,0.03,0.152,0.038,0,0.715,0.012
"P17","Puede que lo vote",0.096,0.127,0.043,0.094,0,0.12,0,0.067,0.058
"P17","Nunca lo votaría",0.515,0.583,0.648,0.537,0.696,0.514,0.367,0.218,0.408
"P17","No sabe",0.296,0.276,0.296,0.339,0.152,0.328,0.633,0,0.522
"P18","La votaría",0.085,0.024,0.027,0.062,0.78,0.172,0,0.157,0.006
"P18","Puede que la vote",0.079,0.092,0.048,0.129,0.05,0.151,0.043,0.074,0.088
"P18","Nunca la votaría",0.564,0.609,0.595,0.503,0.17,0.445,0.364,0.769,0.413
"P18","No sabe",0.272,0.275,0.33,0.306,0,0.232,0.593,0,0.493
