"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P05","Gran excedente habitual",0.057,0.017,0.012,0.008,0.009
"P05","Gran excedente excepcional",0.01,0.013,0.011,0.006,0.011
"P05","Pequeño excedente habitual",0.071,0.07,0.074,0.055,0.018
"P05","Pequeño excedente excepcional",0.109,0.119,0.095,0.064,0.06
"P05","Alcanza gastos familia",0.206,0.162,0.174,0.142,0.071
"P05","No alcanza gastos familia",0.074,0.091,0.12,0.133,0.123
"P05","Solo NBFamiliares",0.188,0.277,0.267,0.254,0.202
"P05","No alcanza NBFamiliares",0.269,0.234,0.24,0.32,0.479
"P05","No sabe",0.016,0.017,0.007,0.018,0.027
"P06","Todos los días",0.375,0.277,0.2,0.131,0.101
"P06","Entre 4 y 6 días a la semana",0.238,0.376,0.287,0.255,0.152
"P06","Entre 1 y 3 días a la semana",0.196,0.253,0.37,0.38,0.297
"P06","Raramente",0.132,0.066,0.12,0.198,0.301
"P06","Nunca",0.059,0.028,0.023,0.036,0.149
"P07","Todos los días",0.257,0.1,0.064,0.065,0.079
"P07","Entre 4 y 6 días a la semana",0.196,0.28,0.208,0.195,0.123
"P07","Entre 1 y 3 días a la semana",0.238,0.327,0.467,0.409,0.261
"P07","Raramente",0.2,0.216,0.203,0.285,0.36
"P07","Nunca",0.109,0.077,0.058,0.046,0.177
"P08","Todos los días",0.255,0.068,0.053,0.054,0.059
"P08","Entre 4 y 6 días a la semana",0.19,0.309,0.188,0.169,0.15
"P08","Entre 1 y 3 días a la semana",0.289,0.388,0.543,0.476,0.317
"P08","Raramente",0.149,0.177,0.188,0.271,0.326
"P08","Nunca",0.117,0.058,0.028,0.03,0.148
"P09","Todos los días",0.247,0.039,0.02,0.028,0.07
"P09","Entre 4 y 6 días a la semana",0.113,0.16,0.057,0.06,0.039
"P09","Entre 1 y 3 días a la semana",0.151,0.221,0.263,0.188,0.101
"P09","Raramente",0.298,0.35,0.448,0.473,0.366
"P09","Nunca",0.191,0.23,0.212,0.251,0.424
"P10","Todos los días",0.268,0.093,0.074,0.071,0.121
"P10","Entre 4 y 6 días a la semana",0.149,0.25,0.128,0.138,0.1
"P10","Entre 1 y 3 días a la semana",0.179,0.223,0.327,0.255,0.158
"P10","Raramente",0.274,0.307,0.382,0.423,0.341
"P10","Nunca",0.13,0.127,0.089,0.113,0.28
"P11","Todos los días",0.522,0.249,0.183,0.129,0.112
"P11","Entre 4 y 6 días a la semana",0.119,0.348,0.207,0.152,0.073
"P11","Entre 1 y 3 días a la semana",0.155,0.204,0.318,0.278,0.166
"P11","Raramente",0.142,0.139,0.246,0.361,0.34
"P11","Nunca",0.062,0.06,0.046,0.08,0.309
"P12","Todos los días",0.765,0.301,0.279,0.236,0.153
"P12","Entre 4 y 6 días a la semana",0.064,0.39,0.185,0.16,0.103
"P12","Entre 1 y 3 días a la semana",0.046,0.174,0.343,0.244,0.152
"P12","Raramente",0.093,0.106,0.159,0.3,0.288
"P12","Nunca",0.032,0.029,0.034,0.06,0.304
"P14","Todos los días",0.585,0.322,0.226,0.224,0.262
"P14","Entre 4 y 6 días a la semana",0.177,0.355,0.272,0.222,0.16
"P14","Entre 1 y 3 días a la semana",0.118,0.183,0.375,0.255,0.184
"P14","Raramente",0.082,0.101,0.113,0.269,0.169
"P14","Nunca",0.038,0.039,0.014,0.03,0.225
"P15","Todos los días",0.436,0.161,0.087,0.082,0.119
"P15","Entre 4 y 6 días a la semana",0.212,0.433,0.226,0.177,0.131
"P15","Entre 1 y 3 días a la semana",0.207,0.303,0.52,0.388,0.237
"P15","Raramente",0.101,0.093,0.148,0.307,0.283
"P15","Nunca",0.044,0.01,0.019,0.046,0.23
"P16","Menos de un vaso al día",0.199,0.132,0.08,0.071,0.126
"P16","De 1 a 4 vasos al día",0.243,0.314,0.314,0.338,0.305
"P16","Más de 4 vasos al día",0.485,0.506,0.575,0.529,0.475
"P16","No consume agua",0.073,0.048,0.031,0.062,0.094
"P17","Agua embotellada/mineral",0.321,0.178,0.171,0.151,0.126
"P17","Agua de la canilla filtrada",0.23,0.402,0.306,0.277,0.274
"P17","Agua de la canilla directamente",0.32,0.339,0.37,0.411,0.408
"P17","Agua de bidón",0.082,0.079,0.149,0.154,0.156
"P17","No consume agua",0.047,0.002,0.004,0.007,0.036
"P18","Todos los días",0.276,0.05,0.053,0.048,0.065
"P18","Entre 4 y 6 días a la semana",0.078,0.152,0.075,0.059,0.055
"P18","Entre 1 y 3 días a la semana",0.181,0.231,0.248,0.193,0.096
"P18","Raramente",0.179,0.26,0.362,0.359,0.248
"P18","Nunca",0.286,0.307,0.262,0.341,0.536
"P19","Vino",0.263,0.281,0.289,0.24,0.165
"P19","Cerveza",0.142,0.191,0.195,0.184,0.125
"P19","Destilados (whisky, vodka, ron, etc.)",0.104,0.039,0.048,0.052,0.056
"P19","Espumantes",0.045,0.031,0.044,0.041,0.031
"P19","Otros",0.124,0.091,0.104,0.114,0.126
"P19","No consume bebidas alcohólicas",0.322,0.367,0.32,0.369,0.497
"P20","Todos los días",0.288,0.14,0.095,0.125,0.13
"P20","Entre 4 y 6 días a la semana",0.12,0.143,0.102,0.102,0.091
"P20","Entre 1 y 3 días a la semana",0.114,0.146,0.205,0.155,0.124
"P20","Raramente",0.228,0.327,0.367,0.417,0.308
"P20","Nunca",0.25,0.244,0.231,0.201,0.347
"P21","Todos los días",0.757,0.784,0.789,0.761,0.727
"P21","Entre 4 y 6 días a la semana",0.062,0.115,0.068,0.091,0.071
"P21","Entre 1 y 3 días a la semana",0.043,0.02,0.058,0.048,0.051
"P21","Raramente",0.067,0.042,0.048,0.068,0.095
"P21","Nunca",0.071,0.039,0.037,0.032,0.056
"P22","Asado",0.414,0.42,0.435,0.419,0.394
"P22","Pizza",0.061,0.085,0.061,0.075,0.113
"P22","Milanesa",0.114,0.111,0.169,0.174,0.147
"P22","Pastas",0.107,0.103,0.087,0.093,0.079
"P22","Empanadas",0.076,0.033,0.032,0.038,0.043
"P22","Hamburguesa",0.013,0.011,0.015,0.019,0.009
"P22","Ensaladas (de cualquier tipo)",0.074,0.092,0.077,0.077,0.053
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.062,0.11,0.084,0.068,0.052
"P22","Polenta o similares (de cualquier tipo)",0.062,0.015,0.017,0.016,0.043
"P22","Ninguno de los anteriores",0.017,0.02,0.023,0.021,0.067
"P23","Asado",0.249,0.097,0.097,0.103,0.117
"P23","Pizza",0.135,0.101,0.058,0.064,0.089
"P23","Milanesa",0.153,0.213,0.23,0.235,0.212
"P23","Pastas",0.118,0.139,0.157,0.165,0.155
"P23","Empanadas",0.049,0.035,0.047,0.048,0.046
"P23","Hamburguesa",0.012,0.019,0.014,0.018,0.034
"P23","Ensaladas (de cualquier tipo)",0.12,0.126,0.134,0.115,0.056
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.081,0.169,0.128,0.102,0.072
"P23","Polenta o similares (de cualquier tipo)",0.068,0.059,0.07,0.079,0.109
"P23","Ninguno de los anteriores",0.015,0.042,0.065,0.071,0.11
"P24","Helado",0.305,0.309,0.324,0.296,0.248
"P24","Tortas, tartas dulces y masas",0.196,0.171,0.124,0.152,0.121
"P24","Ensalada de frutas",0.145,0.23,0.183,0.168,0.177
"P24","Flan, budín de pan y similares",0.122,0.113,0.088,0.113,0.107
"P24","Dulce de batata, membrillo o similares",0.059,0.025,0.066,0.075,0.067
"P24","Facturas de todo tipo",0.023,0.016,0.046,0.037,0.07
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.041,0.022,0.03,0.038,0.015
"P24","Gelatina",0.048,0.025,0.033,0.029,0.03
"P24","Panqueques, wafles y similares",0.012,0.023,0.026,0.021,0.012
"P24","Ninguno de los anteriores",0.049,0.066,0.08,0.071,0.153
"P25","Helado",0.202,0.167,0.148,0.138,0.13
"P25","Tortas, tartas dulces y masas",0.193,0.143,0.141,0.151,0.082
"P25","Ensalada de frutas",0.124,0.125,0.111,0.088,0.085
"P25","Flan, budín de pan y similares",0.056,0.068,0.049,0.053,0.045
