"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Helado",0.147,0.191,0.109,0.185,0.159,0.141,0.104,0.161,0.135,0.151,0.156,0.146,0.149,0.161,0.143,0.178,0.14,0.178,0.099,0.116
"Tortas, tartas dulces y masas",0.14,0.123,0.157,0.219,0.147,0.12,0.088,0.089,0.163,0.157,0.138,0.143,0.163,0.13,0.141,0.115,0.183,0.108,0.078,0.186
"Ensalada de frutas",0.101,0.111,0.091,0.074,0.078,0.112,0.153,0.111,0.09,0.105,0.111,0.1,0.078,0.07,0.086,0.104,0.104,0.107,0.14,0.134
"Flan, budín de pan y similares",0.053,0.058,0.048,0.033,0.053,0.052,0.069,0.061,0.05,0.048,0.06,0.059,0.052,0.043,0,0.028,0.03,0.035,0.13,0.052
"Dulce de batata, membrillo o similares",0.107,0.108,0.107,0.086,0.083,0.125,0.15,0.106,0.111,0.104,0.105,0.088,0.11,0.126,0.061,0.092,0.141,0.162,0.083,0.056
"Facturas de todo tipo",0.074,0.075,0.074,0.068,0.099,0.06,0.051,0.053,0.079,0.088,0.089,0.087,0.087,0.08,0.047,0.068,0.067,0.06,0.053,0.047
"Postres lácteos caseros o envasados de cualquier tipo",0.025,0.02,0.029,0.003,0.019,0.032,0.044,0.018,0.025,0.03,0.029,0.019,0.034,0.015,0.031,0.006,0.017,0.029,0.05,0.031
"Gelatina",0.045,0.036,0.052,0.03,0.04,0.052,0.056,0.056,0.039,0.042,0.05,0.037,0.045,0.063,0.109,0.048,0.043,0.011,0.038,0.036
"Panqueques, wafles y similares",0.015,0.009,0.019,0.007,0.019,0.015,0.012,0.011,0.017,0.016,0.016,0.013,0.008,0.009,0.004,0.001,0.023,0.007,0.026,0.037
"Ninguno de los anteriores",0.293,0.269,0.314,0.295,0.303,0.291,0.273,0.334,0.291,0.259,0.246,0.308,0.274,0.303,0.378,0.36,0.252,0.303,0.303,0.305
