"var","categoria","Vegetariano","Vegano","Dieta baja en carnes rojas","Dieta baja en carbohidratos","Dieta baja en azúcares","Kosher o Alal","Ninguna restricción alimentaria"
"P05","Gran excedente habitual",0.049,0.071,0.03,0.009,0.004,0.007,0.007
"P05","Gran excedente excepcional",0.021,0.013,0.015,0.013,0.008,0.007,0.006
"P05","Pequeño excedente habitual",0.072,0.032,0.044,0.106,0.047,0.09,0.062
"P05","Pequeño excedente excepcional",0.124,0.083,0.084,0.104,0.055,0.091,0.084
"P05","Alcanza gastos familia",0.119,0.08,0.175,0.204,0.174,0.139,0.145
"P05","No alcanza gastos familia",0.055,0.1,0.108,0.111,0.148,0.113,0.129
"P05","Solo NBFamiliares",0.238,0.326,0.226,0.214,0.268,0.302,0.25
"P05","No alcanza NBFamiliares",0.296,0.282,0.3,0.228,0.28,0.251,0.303
"P05","No sabe",0.026,0.013,0.018,0.011,0.016,0,0.014
"P06","Todos los días",0.27,0.357,0.264,0.288,0.135,0.193,0.128
"P06","Entre 4 y 6 días a la semana",0.28,0.298,0.331,0.291,0.319,0.176,0.243
"P06","Entre 1 y 3 días a la semana",0.249,0.164,0.263,0.288,0.31,0.354,0.373
"P06","Raramente",0.17,0.125,0.111,0.113,0.174,0.227,0.21
"P06","Nunca",0.031,0.056,0.031,0.02,0.062,0.05,0.046
"P07","Todos los días",0.114,0.18,0.119,0.08,0.075,0.139,0.063
"P07","Entre 4 y 6 días a la semana",0.159,0.234,0.156,0.271,0.245,0.199,0.185
"P07","Entre 1 y 3 días a la semana",0.191,0.229,0.418,0.43,0.375,0.424,0.416
"P07","Raramente",0.322,0.192,0.26,0.167,0.25,0.179,0.273
"P07","Nunca",0.214,0.165,0.047,0.052,0.055,0.059,0.063
"P08","Todos los días",0.139,0.178,0.089,0.096,0.072,0.027,0.04
"P08","Entre 4 y 6 días a la semana",0.159,0.212,0.227,0.278,0.202,0.196,0.16
"P08","Entre 1 y 3 días a la semana",0.297,0.357,0.447,0.456,0.45,0.415,0.478
"P08","Raramente",0.216,0.09,0.186,0.158,0.248,0.277,0.282
"P08","Nunca",0.189,0.163,0.051,0.012,0.028,0.085,0.04
"P09","Todos los días",0.119,0.245,0.038,0.022,0.012,0.018,0.036
"P09","Entre 4 y 6 días a la semana",0.096,0.175,0.105,0.037,0.091,0.093,0.053
"P09","Entre 1 y 3 días a la semana",0.224,0.13,0.186,0.203,0.171,0.127,0.204
"P09","Raramente",0.339,0.283,0.402,0.536,0.417,0.58,0.453
"P09","Nunca",0.222,0.167,0.269,0.202,0.309,0.182,0.254
"P10","Todos los días",0.163,0.207,0.121,0.029,0.041,0.092,0.091
"P10","Entre 4 y 6 días a la semana",0.24,0.293,0.166,0.125,0.108,0.245,0.13
"P10","Entre 1 y 3 días a la semana",0.235,0.126,0.274,0.282,0.228,0.12,0.282
"P10","Raramente",0.282,0.261,0.35,0.457,0.399,0.429,0.372
"P10","Nunca",0.08,0.113,0.089,0.107,0.224,0.114,0.125
"P11","Todos los días",0.314,0.327,0.272,0.242,0.18,0.169,0.135
"P11","Entre 4 y 6 días a la semana",0.225,0.231,0.195,0.181,0.196,0.089,0.154
"P11","Entre 1 y 3 días a la semana",0.171,0.177,0.252,0.309,0.242,0.257,0.276
"P11","Raramente",0.171,0.194,0.22,0.215,0.251,0.279,0.34
"P11","Nunca",0.119,0.071,0.061,0.053,0.131,0.206,0.095
"P12","Todos los días",0.324,0.388,0.319,0.341,0.288,0.31,0.248
