"var","categoria","Asado","Pizza","Milanesa","Pastas","Empanadas","Hamburguesa","Ensaladas (de cualquier tipo)","Guiso (de lentejas, de arroz, locro o similares)","Polenta o similares (de cualquier tipo)","Ninguno de los anteriores"
"P05","Gran excedente habitual",0.07,0.018,0.012,0.004,0.021,0.008,0.005,0.004,0.001,0.003
"P05","Gran excedente excepcional",0.018,0.002,0.02,0.003,0.014,0,0.004,0.003,0.001,0.01
"P05","Pequeño excedente habitual",0.068,0.067,0.088,0.023,0.059,0.069,0.101,0.029,0.001,0.081
"P05","Pequeño excedente excepcional",0.122,0.077,0.096,0.063,0.093,0.145,0.128,0.053,0.019,0.064
"P05","Alcanza gastos familia",0.129,0.191,0.205,0.129,0.2,0.174,0.192,0.093,0.034,0.161
"P05","No alcanza gastos familia",0.071,0.117,0.116,0.136,0.131,0.085,0.098,0.159,0.156,0.145
"P05","Solo NBFamiliares",0.195,0.248,0.248,0.289,0.203,0.231,0.233,0.3,0.223,0.246
"P05","No alcanza NBFamiliares",0.303,0.274,0.203,0.339,0.246,0.288,0.216,0.347,0.561,0.271
"P05","No sabe",0.024,0.006,0.012,0.014,0.033,0,0.023,0.012,0.004,0.019
"P06","Todos los días",0.272,0.176,0.189,0.106,0.163,0.154,0.342,0.095,0.096,0.141
"P06","Entre 4 y 6 días a la semana",0.248,0.211,0.303,0.28,0.341,0.213,0.342,0.263,0.172,0.246
"P06","Entre 1 y 3 días a la semana",0.265,0.386,0.351,0.373,0.259,0.367,0.228,0.406,0.326,0.332
"P06","Raramente",0.175,0.189,0.118,0.213,0.179,0.197,0.071,0.196,0.344,0.191
"P06","Nunca",0.04,0.038,0.039,0.028,0.058,0.069,0.017,0.04,0.062,0.09
"P07","Todos los días",0.238,0.091,0.084,0.034,0.088,0.075,0.08,0.051,0.037,0.029
"P07","Entre 4 y 6 días a la semana",0.257,0.229,0.278,0.125,0.191,0.215,0.201,0.148,0.093,0.165
"P07","Entre 1 y 3 días a la semana",0.25,0.369,0.463,0.456,0.442,0.413,0.42,0.418,0.24,0.373
"P07","Raramente",0.19,0.199,0.151,0.317,0.21,0.247,0.226,0.327,0.479,0.323
"P07","Nunca",0.065,0.112,0.024,0.068,0.069,0.05,0.073,0.056,0.151,0.11
"P08","Todos los días",0.166,0.076,0.055,0.026,0.093,0.069,0.084,0.062,0.032,0.027
"P08","Entre 4 y 6 días a la semana",0.185,0.209,0.293,0.14,0.171,0.164,0.18,0.141,0.075,0.164
"P08","Entre 1 y 3 días a la semana",0.414,0.447,0.489,0.5,0.507,0.468,0.482,0.435,0.344,0.401
"P08","Raramente",0.183,0.18,0.139,0.294,0.202,0.189,0.187,0.308,0.46,0.336
"P08","Nunca",0.052,0.088,0.024,0.04,0.027,0.11,0.067,0.054,0.089,0.072
"P09","Todos los días",0.155,0.104,0.025,0.022,0.046,0.034,0.016,0.014,0.011,0.007
"P09","Entre 4 y 6 días a la semana",0.071,0.115,0.1,0.055,0.071,0.151,0.031,0.042,0.063,0.035
"P09","Entre 1 y 3 días a la semana",0.191,0.318,0.257,0.183,0.226,0.231,0.167,0.125,0.086,0.141
"P09","Raramente",0.389,0.316,0.444,0.481,0.436,0.337,0.466,0.497,0.411,0.468
"P09","Nunca",0.194,0.147,0.174,0.259,0.221,0.247,0.32,0.322,0.429,0.349
"P10","Todos los días",0.205,0.11,0.096,0.077,0.117,0.053,0.051,0.061,0.037,0.057
"P10","Entre 4 y 6 días a la semana",0.147,0.258,0.182,0.127,0.171,0.233,0.125,0.1,0.072,0.116
"P10","Entre 1 y 3 días a la semana",0.229,0.297,0.323,0.294,0.225,0.323,0.235,0.223,0.148,0.25
"P10","Raramente",0.286,0.296,0.337,0.398,0.375,0.253,0.451,0.418,0.521,0.374
"P10","Nunca",0.133,0.039,0.062,0.104,0.112,0.138,0.138,0.198,0.222,0.203
"P11","Todos los días",0.292,0.186,0.206,0.11,0.193,0.158,0.309,0.114,0.034,0.184
"P11","Entre 4 y 6 días a la semana",0.174,0.177,0.222,0.154,0.21,0.096,0.233,0.158,0.065,0.129
"P11","Entre 1 y 3 días a la semana",0.224,0.337,0.283,0.271,0.238,0.298,0.22,0.26,0.248,0.253
"P11","Raramente",0.21,0.232,0.23,0.353,0.259,0.272,0.198,0.369,0.506,0.284
"P11","Nunca",0.1,0.068,0.059,0.112,0.1,0.176,0.04,0.099,0.147,0.15
"P12","Todos los días",0.373,0.294,0.342,0.196,0.356,0.196,0.358,0.219,0.092,0.289
"P12","Entre 4 y 6 días a la semana",0.179,0.225,0.217,0.169,0.257,0.182,0.192,0.157,0.094,0.191
"P12","Entre 1 y 3 días a la semana",0.198,0.219,0.233,0.284,0.234,0.259,0.223,0.256,0.243,0.209
"P12","Raramente",0.152,0.19,0.174,0.297,0.126,0.272,0.186,0.26,0.44,0.2
"P12","Nunca",0.098,0.072,0.034,0.054,0.027,0.091,0.041,0.108,0.131,0.111
"P13","Todos los días",0.16,0.132,0.05,0.055,0.078,0.045,0.077,0.054,0.064,0.016
"P13","Entre 4 y 6 días a la semana",0.084,0.134,0.094,0.089,0.074,0.099,0.109,0.151,0.074,0.062
"P13","Entre 1 y 3 días a la semana",0.255,0.231,0.308,0.301,0.303,0.217,0.351,0.344,0.266,0.284
"P13","Raramente",0.356,0.335,0.414,0.415,0.407,0.383,0.394,0.36,0.4,0.41
"P13","Nunca",0.145,0.168,0.134,0.14,0.138,0.256,0.069,0.091,0.196,0.228
"P14","Todos los días",0.321,0.364,0.283,0.318,0.316,0.256,0.148,0.208,0.23,0.221
"P14","Entre 4 y 6 días a la semana",0.202,0.288,0.271,0.287,0.223,0.294,0.185,0.228,0.204,0.197
"P14","Entre 1 y 3 días a la semana",0.211,0.212,0.278,0.234,0.249,0.218,0.311,0.319,0.254,0.317
"P14","Raramente",0.187,0.081,0.142,0.142,0.166,0.072,0.302,0.183,0.256,0.197
"P14","Nunca",0.079,0.055,0.026,0.019,0.046,0.16,0.054,0.062,0.056,0.068
"P15","Todos los días",0.23,0.166,0.083,0.094,0.147,0.108,0.101,0.106,0.128,0.084
"P15","Entre 4 y 6 días a la semana",0.15,0.241,0.209,0.215,0.187,0.242,0.193,0.26,0.203,0.179
"P15","Entre 1 y 3 días a la semana",0.351,0.356,0.472,0.412,0.399,0.341,0.411,0.398,0.321,0.346
"P15","Raramente",0.206,0.166,0.191,0.235,0.224,0.236,0.248,0.19,0.281,0.306
"P15","Nunca",0.063,0.071,0.045,0.044,0.043,0.073,0.047,0.046,0.067,0.085
"P16","Menos de un vaso al día",0.138,0.111,0.067,0.08,0.106,0.053,0.043,0.131,0.066,0.074
"P16","De 1 a 4 vasos al día",0.279,0.371,0.344,0.361,0.273,0.3,0.244,0.345,0.33,0.292
"P16","Más de 4 vasos al día",0.504,0.436,0.545,0.499,0.583,0.464,0.669,0.487,0.543,0.577
"P16","No consume agua",0.079,0.082,0.044,0.06,0.038,0.183,0.044,0.037,0.061,0.057
"P17","Agua embotellada/mineral",0.264,0.174,0.19,0.146,0.224,0.271,0.167,0.124,0.054,0.106
"P17","Agua de la canilla filtrada",0.239,0.343,0.321,0.285,0.322,0.21,0.313,0.3,0.278,0.326
"P17","Agua de la canilla directamente",0.337,0.321,0.356,0.402,0.313,0.328,0.363,0.441,0.553,0.363
"P17","Agua de bidón",0.129,0.131,0.129,0.161,0.134,0.136,0.153,0.132,0.11,0.184
"P17","No consume agua",0.031,0.031,0.004,0.006,0.007,0.055,0.004,0.003,0.005,0.021
"P18","Todos los días",0.174,0.053,0.044,0.046,0.109,0.048,0.065,0.037,0.034,0.046
"P18","Entre 4 y 6 días a la semana",0.085,0.139,0.071,0.069,0.078,0.056,0.066,0.067,0.034,0.051
"P18","Entre 1 y 3 días a la semana",0.238,0.249,0.239,0.186,0.221,0.2,0.213,0.116,0.092,0.221
"P18","Raramente",0.262,0.321,0.371,0.345,0.321,0.258,0.333,0.348,0.273,0.283
"P18","Nunca",0.241,0.238,0.275,0.354,0.271,0.438,0.323,0.432,0.567,0.399
"P19","Vino",0.362,0.232,0.254,0.205,0.376,0.147,0.313,0.21,0.139,0.271
"P19","Cerveza",0.157,0.306,0.226,0.189,0.173,0.261,0.144,0.142,0.053,0.108
"P19","Destilados (whisky, vodka, ron, etc.)",0.122,0.065,0.063,0.036,0.03,0.067,0.031,0.027,0.037,0.058
"P19","Espumantes",0.037,0.036,0.047,0.059,0.029,0.021,0.034,0.028,0.046,0.039
"P19","Otros",0.088,0.107,0.115,0.139,0.08,0.131,0.125,0.088,0.098,0.067
"P19","No consume bebidas alcohólicas",0.234,0.254,0.295,0.372,0.312,0.373,0.353,0.505,0.627,0.457
"P20","Todos los días",0.254,0.173,0.139,0.108,0.154,0.139,0.092,0.075,0.064,0.094
"P20","Entre 4 y 6 días a la semana",0.092,0.21,0.133,0.112,0.061,0.107,0.107,0.079,0.072,0.047
"P20","Entre 1 y 3 días a la semana",0.152,0.188,0.217,0.167,0.187,0.289,0.105,0.129,0.078,0.109
"P20","Raramente",0.262,0.3,0.353,0.41,0.357,0.284,0.319,0.415,0.492,0.422
"P20","Nunca",0.24,0.129,0.158,0.203,0.241,0.181,0.377,0.302,0.294,0.328
