"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P05","Gran excedente habitual",0.011,0.023,0.012,0.016,0.033
"P05","Gran excedente excepcional",0.005,0.021,0.006,0.016,0.005
"P05","Pequeño excedente habitual",0.048,0.12,0.084,0.091,0.025
"P05","Pequeño excedente excepcional",0.079,0.122,0.099,0.094,0.06
"P05","Alcanza gastos familia",0.142,0.189,0.191,0.189,0.122
"P05","No alcanza gastos familia",0.127,0.098,0.139,0.189,0.045
"P05","Solo NBFamiliares",0.26,0.227,0.166,0.176,0.291
"P05","No alcanza NBFamiliares",0.314,0.178,0.286,0.217,0.409
"P05","No sabe",0.014,0.022,0.017,0.012,0.01
"P06","Todos los días",0.192,0.177,0.117,0.129,0.192
"P06","Entre 4 y 6 días a la semana",0.265,0.314,0.204,0.316,0.229
"P06","Entre 1 y 3 días a la semana",0.33,0.359,0.315,0.261,0.322
"P06","Raramente",0.18,0.113,0.31,0.198,0.19
"P06","Nunca",0.033,0.037,0.054,0.096,0.067
"P07","Todos los días",0.072,0.1,0.044,0.125,0.099
"P07","Entre 4 y 6 días a la semana",0.188,0.233,0.176,0.257,0.137
"P07","Entre 1 y 3 días a la semana",0.395,0.432,0.395,0.361,0.368
"P07","Raramente",0.272,0.171,0.29,0.219,0.289
"P07","Nunca",0.073,0.064,0.095,0.038,0.107
"P08","Todos los días",0.07,0.056,0.019,0.093,0.083
"P08","Entre 4 y 6 días a la semana",0.181,0.212,0.133,0.218,0.194
"P08","Entre 1 y 3 días a la semana",0.456,0.517,0.475,0.451,0.309
"P08","Raramente",0.238,0.173,0.336,0.231,0.271
"P08","Nunca",0.055,0.042,0.037,0.007,0.143
"P09","Todos los días",0.037,0.06,0.032,0.097,0.066
"P09","Entre 4 y 6 días a la semana",0.058,0.095,0.087,0.089,0.073
"P09","Entre 1 y 3 días a la semana",0.145,0.281,0.362,0.275,0.193
"P09","Raramente",0.46,0.455,0.375,0.36,0.33
"P09","Nunca",0.3,0.109,0.144,0.179,0.338
"P10","Todos los días",0.082,0.108,0.124,0.128,0.066
"P10","Entre 4 y 6 días a la semana",0.14,0.19,0.159,0.126,0.11
"P10","Entre 1 y 3 días a la semana",0.249,0.307,0.324,0.329,0.232
"P10","Raramente",0.396,0.332,0.319,0.291,0.343
"P10","Nunca",0.133,0.063,0.074,0.126,0.249
"P11","Todos los días",0.196,0.199,0.102,0.227,0.151
"P11","Entre 4 y 6 días a la semana",0.167,0.228,0.148,0.13,0.162
"P11","Entre 1 y 3 días a la semana",0.234,0.336,0.331,0.324,0.193
"P11","Raramente",0.308,0.204,0.299,0.211,0.326
"P11","Nunca",0.095,0.033,0.12,0.108,0.168
"P12","Todos los días",0.285,0.344,0.189,0.322,0.209
"P12","Entre 4 y 6 días a la semana",0.171,0.248,0.202,0.155,0.168
"P12","Entre 1 y 3 días a la semana",0.23,0.239,0.275,0.258,0.208
"P12","Raramente",0.247,0.127,0.274,0.196,0.289
"P12","Nunca",0.067,0.042,0.06,0.069,0.126
"P13","Todos los días",0.075,0.099,0.029,0.076,0.08
"P13","Entre 4 y 6 días a la semana",0.1,0.099,0.089,0.084,0.12
"P13","Entre 1 y 3 días a la semana",0.294,0.322,0.297,0.298,0.25
"P13","Raramente",0.398,0.351,0.423,0.432,0.364
"P13","Nunca",0.133,0.129,0.162,0.11,0.186
"P14","Todos los días",0.275,0.26,0.212,0.336,0.279
"P14","Entre 4 y 6 días a la semana",0.226,0.311,0.227,0.206,0.197
"P14","Entre 1 y 3 días a la semana",0.269,0.286,0.266,0.223,0.25
"P14","Raramente",0.182,0.127,0.245,0.192,0.167
"P14","Nunca",0.048,0.016,0.05,0.043,0.107
"P15","Todos los días",0.128,0.101,0.063,0.15,0.157
"P15","Entre 4 y 6 días a la semana",0.191,0.251,0.23,0.215,0.167
"P15","Entre 1 y 3 días a la semana",0.409,0.408,0.394,0.395,0.349
"P15","Raramente",0.217,0.213,0.269,0.211,0.219
"P15","Nunca",0.055,0.027,0.044,0.029,0.108
"P16","Menos de un vaso al día",0.081,0.072,0.07,0.11,0.092
"P16","De 1 a 4 vasos al día",0.308,0.353,0.313,0.312,0.354
"P16","Más de 4 vasos al día",0.557,0.53,0.549,0.491,0.481
"P16","No consume agua",0.054,0.045,0.068,0.087,0.073
"P17","Agua embotellada/mineral",0.152,0.201,0.164,0.248,0.163
"P17","Agua de la canilla filtrada",0.308,0.289,0.31,0.253,0.273
"P17","Agua de la canilla directamente",0.381,0.37,0.384,0.353,0.428
"P17","Agua de bidón",0.148,0.136,0.138,0.145,0.089
"P17","No consume agua",0.011,0.004,0.004,0.001,0.047
"P18","Todos los días",0.064,0.06,0.043,0.077,0.084
"P18","Entre 4 y 6 días a la semana",0.066,0.102,0.097,0.049,0.074
"P18","Entre 1 y 3 días a la semana",0.183,0.261,0.265,0.258,0.113
"P18","Raramente",0.332,0.358,0.287,0.344,0.305
"P18","Nunca",0.355,0.219,0.308,0.272,0.424
"P19","Vino",0.263,0.292,0.247,0.216,0.138
"P19","Cerveza",0.177,0.223,0.203,0.249,0.103
"P19","Destilados (whisky, vodka, ron, etc.)",0.04,0.078,0.106,0.036,0.063
"P19","Espumantes",0.034,0.07,0.024,0.054,0.057
"P19","Otros",0.099,0.077,0.1,0.126,0.155
"P19","No consume bebidas alcohólicas",0.387,0.26,0.32,0.319,0.484
"P20","Todos los días",0.128,0.126,0.156,0.083,0.228
"P20","Entre 4 y 6 días a la semana",0.089,0.155,0.144,0.194,0.068
"P20","Entre 1 y 3 días a la semana",0.139,0.22,0.249,0.141,0.117
"P20","Raramente",0.382,0.333,0.278,0.382,0.338
"P20","Nunca",0.262,0.166,0.173,0.2,0.249
"P21","Todos los días",0.801,0.805,0.673,0.695,0.686
"P21","Entre 4 y 6 días a la semana",0.076,0.105,0.143,0.09,0.034
"P21","Entre 1 y 3 días a la semana",0.044,0.027,0.084,0.056,0.037
"P21","Raramente",0.05,0.041,0.055,0.113,0.127
"P21","Nunca",0.029,0.022,0.045,0.046,0.116
"P22","Asado",0.425,0.443,0.402,0.473,0.389
"P22","Pizza",0.072,0.076,0.109,0.072,0.048
"P22","Milanesa",0.149,0.149,0.171,0.223,0.181
"P22","Pastas",0.087,0.11,0.102,0.045,0.091
"P22","Empanadas",0.038,0.023,0.049,0.034,0.076
"P22","Hamburguesa",0.013,0.034,0.005,0.026,0.008
"P22","Ensaladas (de cualquier tipo)",0.08,0.071,0.05,0.045,0.083
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.086,0.062,0.034,0.034,0.068
"P22","Polenta o similares (de cualquier tipo)",0.027,0.014,0.012,0.033,0.009
"P22","Ninguno de los anteriores",0.023,0.018,0.066,0.015,0.047
"P23","Asado",0.105,0.116,0.081,0.179,0.147
"P23","Pizza",0.061,0.102,0.092,0.061,0.076
"P23","Milanesa",0.214,0.25,0.229,0.213,0.189
"P23","Pastas",0.158,0.151,0.215,0.13,0.147
"P23","Empanadas",0.043,0.049,0.076,0.051,0.043
"P23","Hamburguesa",0.015,0.023,0.01,0.033,0.034
"P23","Ensaladas (de cualquier tipo)",0.131,0.122,0.057,0.061,0.09
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.128,0.076,0.066,0.118,0.109
"P23","Polenta o similares (de cualquier tipo)",0.082,0.032,0.092,0.087,0.106
"P23","Ninguno de los anteriores",0.063,0.079,0.082,0.067,0.059
"P24","Helado",0.305,0.341,0.305,0.285,0.246
"P24","Tortas, tartas dulces y masas",0.144,0.16,0.14,0.124,0.126
"P24","Ensalada de frutas",0.175,0.163,0.161,0.163,0.234
"P24","Flan, budín de pan y similares",0.089,0.12,0.169,0.121,0.094
"P24","Dulce de batata, membrillo o similares",0.066,0.051,0.03,0.1,0.057
"P24","Facturas de todo tipo",0.039,0.047,0.024,0.069,0.032
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.032,0.02,0.028,0.048,0.059
"P24","Gelatina",0.037,0.023,0.026,0.009,0.037
"P24","Panqueques, wafles y similares",0.022,0.02,0.024,0.019,0.016
"P24","Ninguno de los anteriores",0.091,0.055,0.093,0.062,0.099
"P25","Helado",0.121,0.204,0.174,0.123,0.197
"P25","Tortas, tartas dulces y masas",0.139,0.143,0.129,0.181,0.125
"P25","Ensalada de frutas",0.106,0.095,0.074,0.088,0.134
"P25","Flan, budín de pan y similares",0.049,0.044,0.078,0.06,0.064
"P25","Dulce de batata, membrillo o similares",0.113,0.102,0.074,0.089,0.028
"P25","Facturas de todo tipo",0.064,0.106,0.105,0.114,0.045
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.021,0.029,0.031,0.068,0.023
"P25","Gelatina",0.057,0.023,0.033,0.017,0.038
"P25","Panqueques, wafles y similares",0.016,0.015,0.007,0.015,0.012
"P25","Ninguno de los anteriores",0.314,0.239,0.295,0.245,0.334
"P26","Vegetariano",0.058,0.06,0.099,0.038,0.097
"P26","Vegano",0.036,0.042,0.046,0.03,0.069
"P26","Dieta baja en carnes rojas",0.141,0.113,0.114,0.166,0.165
"P26","Dieta baja en carbohidratos",0.084,0.083,0.087,0.147,0.075
"P26","Dieta baja en azúcares",0.117,0.097,0.067,0.143,0.134
"P26","Kosher o Alal",0.011,0.018,0.016,0.007,0.022
"P26","Ninguna restricción alimentaria",0.553,0.587,0.571,0.469,0.438
"P27","Bajo peso",0.079,0.052,0.058,0.082,0.142
"P27","Sobrepeso",0.251,0.29,0.317,0.248,0.188
"P27","Obesidad",0.067,0.071,0.066,0.038,0.066
"P27","Normal",0.5,0.504,0.473,0.494,0.424
"P27","No sabe",0.103,0.083,0.086,0.138,0.18
"P28","Diabetes",0.109,0.077,0.091,0.098,0.077
"P28","Hipertensión",0.181,0.173,0.171,0.207,0.198
"P28","Enfermedades cardiovasculares",0.047,0.031,0.034,0.049,0.018
"P28","Celiaquía",0.07,0.064,0.059,0.131,0.062
"P28","Ninguna",0.505,0.59,0.576,0.447,0.522
"P28","No sabe",0.088,0.065,0.069,0.068,0.123
"P29","Todos los días",0.046,0.028,0.038,0.115,0.059
"P29","Entre 4 y 6 días a la semana",0.033,0.052,0.093,0.073,0.05
"P29","Entre 1 y 3 días a la semana",0.068,0.271,0.303,0.11,0.041
"P29","Raramente",0.285,0.392,0.234,0.423,0.128
"P29","Nunca",0.568,0.257,0.332,0.279,0.722
"P30","Todos los días",0.036,0.03,0.014,0.033,0.078
