"var","categoria","Helado","Tortas, tartas dulces y masas","Ensalada de frutas","Flan, budín de pan y similares","Dulce de batata, membrillo o similares","Facturas de todo tipo","Postres lácteos caseros o envasados de cualquier tipo","Gelatina","Panqueques, wafles y similares","Ninguno de los anteriores"
"P05","Gran excedente habitual",0.027,0.046,0.019,0.005,0.006,0.006,0.031,0.008,0,0.002
"P05","Gran excedente excepcional",0.023,0.012,0.006,0.004,0.003,0.012,0.005,0,0,0.01
"P05","Pequeño excedente habitual",0.07,0.071,0.079,0.02,0.066,0.105,0.04,0.037,0.13,0.04
"P05","Pequeño excedente excepcional",0.12,0.098,0.111,0.065,0.065,0.085,0.069,0.057,0.126,0.065
"P05","Alcanza gastos familia",0.2,0.152,0.181,0.181,0.194,0.185,0.182,0.071,0.16,0.108
"P05","No alcanza gastos familia",0.066,0.103,0.102,0.172,0.153,0.137,0.148,0.182,0.046,0.127
"P05","Solo NBFamiliares",0.2,0.246,0.261,0.315,0.276,0.245,0.253,0.284,0.191,0.246
"P05","No alcanza NBFamiliares",0.266,0.257,0.236,0.224,0.23,0.204,0.265,0.349,0.273,0.39
"P05","No sabe",0.028,0.015,0.005,0.014,0.007,0.021,0.007,0.012,0.074,0.012
"P06","Todos los días",0.247,0.235,0.258,0.13,0.162,0.124,0.183,0.119,0.235,0.133
"P06","Entre 4 y 6 días a la semana",0.305,0.275,0.32,0.285,0.34,0.282,0.286,0.244,0.166,0.219
"P06","Entre 1 y 3 días a la semana",0.29,0.312,0.291,0.317,0.311,0.369,0.38,0.387,0.317,0.348
"P06","Raramente",0.141,0.143,0.106,0.212,0.156,0.172,0.133,0.167,0.277,0.239
"P06","Nunca",0.017,0.035,0.025,0.056,0.031,0.053,0.018,0.083,0.005,0.061
"P07","Todos los días",0.131,0.114,0.108,0.061,0.082,0.092,0.097,0.079,0.049,0.037
"P07","Entre 4 y 6 días a la semana",0.281,0.268,0.239,0.239,0.228,0.152,0.18,0.07,0.127,0.122
"P07","Entre 1 y 3 días a la semana",0.357,0.361,0.405,0.398,0.433,0.433,0.413,0.49,0.318,0.381
"P07","Raramente",0.176,0.197,0.196,0.258,0.226,0.268,0.237,0.295,0.408,0.347
"P07","Nunca",0.055,0.06,0.052,0.044,0.031,0.055,0.073,0.066,0.098,0.113
"P08","Todos los días",0.115,0.099,0.082,0.049,0.04,0.052,0.067,0.025,0.081,0.038
"P08","Entre 4 y 6 días a la semana",0.228,0.235,0.238,0.19,0.192,0.192,0.096,0.179,0.108,0.135
"P08","Entre 1 y 3 días a la semana",0.448,0.459,0.457,0.445,0.498,0.489,0.64,0.415,0.458,0.422
"P08","Raramente",0.165,0.161,0.169,0.298,0.218,0.243,0.167,0.291,0.272,0.334
"P08","Nunca",0.044,0.046,0.054,0.018,0.052,0.024,0.03,0.09,0.081,0.071
"P09","Todos los días",0.092,0.096,0.031,0.009,0.013,0.088,0.039,0.012,0.061,0.012
"P09","Entre 4 y 6 días a la semana",0.095,0.104,0.104,0.074,0.061,0.104,0.059,0.032,0.015,0.037
"P09","Entre 1 y 3 días a la semana",0.243,0.252,0.152,0.2,0.15,0.28,0.218,0.186,0.306,0.146
"P09","Raramente",0.394,0.421,0.47,0.444,0.492,0.398,0.495,0.362,0.394,0.451
"P09","Nunca",0.176,0.127,0.243,0.273,0.284,0.13,0.189,0.408,0.224,0.354
"P10","Todos los días",0.134,0.177,0.076,0.09,0.076,0.153,0.171,0.01,0.067,0.033
"P10","Entre 4 y 6 días a la semana",0.231,0.267,0.11,0.151,0.127,0.19,0.097,0.071,0.076,0.08
"P10","Entre 1 y 3 días a la semana",0.315,0.291,0.228,0.286,0.309,0.331,0.2,0.193,0.284,0.212
"P10","Raramente",0.252,0.218,0.459,0.407,0.342,0.282,0.4,0.486,0.549,0.468
"P10","Nunca",0.068,0.047,0.127,0.066,0.146,0.044,0.132,0.24,0.024,0.207
"P11","Todos los días",0.276,0.211,0.305,0.111,0.2,0.173,0.23,0.102,0.218,0.11
"P11","Entre 4 y 6 días a la semana",0.206,0.228,0.232,0.122,0.204,0.135,0.168,0.13,0.105,0.137
"P11","Entre 1 y 3 días a la semana",0.256,0.273,0.22,0.319,0.254,0.305,0.348,0.298,0.334,0.236
"P11","Raramente",0.221,0.215,0.197,0.376,0.242,0.303,0.223,0.367,0.264,0.368
"P11","Nunca",0.041,0.073,0.046,0.072,0.1,0.084,0.031,0.103,0.079,0.149
"P12","Todos los días",0.327,0.369,0.314,0.229,0.316,0.348,0.431,0.177,0.197,0.19
"P12","Entre 4 y 6 días a la semana",0.238,0.162,0.258,0.157,0.225,0.185,0.172,0.179,0.224,0.137
"P12","Entre 1 y 3 días a la semana",0.207,0.264,0.224,0.246,0.214,0.274,0.283,0.233,0.188,0.249
"P12","Raramente",0.174,0.16,0.142,0.306,0.188,0.18,0.114,0.303,0.335,0.312
"P12","Nunca",0.054,0.045,0.062,0.062,0.057,0.013,0,0.108,0.056,0.112
"P13","Todos los días",0.103,0.103,0.093,0.081,0.054,0.055,0.109,0.067,0.036,0.054
"P13","Entre 4 y 6 días a la semana",0.114,0.103,0.125,0.131,0.082,0.06,0.039,0.116,0.207,0.095
"P13","Entre 1 y 3 días a la semana",0.295,0.295,0.323,0.273,0.333,0.333,0.38,0.277,0.291,0.259
"P13","Raramente",0.365,0.417,0.341,0.394,0.384,0.376,0.412,0.394,0.44,0.404
"P13","Nunca",0.123,0.082,0.118,0.121,0.147,0.176,0.06,0.146,0.026,0.188
"P14","Todos los días",0.321,0.343,0.227,0.29,0.264,0.399,0.267,0.157,0.208,0.195
"P14","Entre 4 y 6 días a la semana",0.243,0.291,0.245,0.163,0.287,0.264,0.28,0.175,0.235,0.223
"P14","Entre 1 y 3 días a la semana",0.243,0.203,0.313,0.325,0.278,0.211,0.27,0.32,0.369,0.274
