"var","categoria","Menos de 1 comida al día","1 comida","2 comidas","3 comidas","4 comidas","Más de 4 comidas"
"P05","Gran excedente habitual",0.008,0.005,0.013,0.01,0.042,0.119
"P05","Gran excedente excepcional",0.002,0.014,0.006,0.011,0.006,0.005
"P05","Pequeño excedente habitual",0.027,0.027,0.051,0.125,0.166,0.145
"P05","Pequeño excedente excepcional",0.048,0.053,0.111,0.096,0.133,0.233
"P05","Alcanza gastos familia",0.078,0.112,0.168,0.254,0.257,0.178
"P05","No alcanza gastos familia",0.124,0.148,0.114,0.093,0.076,0.091
"P05","Solo NBFamiliares",0.236,0.274,0.266,0.227,0.197,0.118
"P05","No alcanza NBFamiliares",0.466,0.353,0.248,0.173,0.11,0.105
"P05","No sabe",0.011,0.014,0.023,0.011,0.013,0.006
"P06","Todos los días",0.183,0.116,0.157,0.234,0.3,0.386
"P06","Entre 4 y 6 días a la semana",0.203,0.242,0.288,0.337,0.324,0.314
"P06","Entre 1 y 3 días a la semana",0.27,0.372,0.376,0.305,0.261,0.19
"P06","Raramente",0.283,0.217,0.158,0.101,0.078,0.035
"P06","Nunca",0.061,0.053,0.021,0.023,0.037,0.075
"P07","Todos los días",0.083,0.06,0.078,0.063,0.139,0.204
"P07","Entre 4 y 6 días a la semana",0.138,0.168,0.186,0.277,0.256,0.275
"P07","Entre 1 y 3 días a la semana",0.313,0.394,0.463,0.453,0.377,0.266
"P07","Raramente",0.367,0.307,0.222,0.143,0.142,0.134
"P07","Nunca",0.099,0.071,0.051,0.064,0.086,0.121
"P08","Todos los días",0.081,0.048,0.07,0.046,0.1,0.141
"P08","Entre 4 y 6 días a la semana",0.129,0.162,0.183,0.245,0.248,0.274
"P08","Entre 1 y 3 días a la semana",0.363,0.454,0.506,0.506,0.463,0.349
"P08","Raramente",0.358,0.282,0.211,0.146,0.122,0.119
"P08","Nunca",0.069,0.054,0.03,0.057,0.067,0.117
"P09","Todos los días",0.094,0.018,0.025,0.029,0.067,0.26
"P09","Entre 4 y 6 días a la semana",0.071,0.071,0.064,0.066,0.078,0.08
"P09","Entre 1 y 3 días a la semana",0.123,0.162,0.223,0.251,0.269,0.209
"P09","Raramente",0.431,0.443,0.435,0.482,0.416,0.299
"P09","Nunca",0.281,0.306,0.253,0.172,0.17,0.152
"P10","Todos los días",0.111,0.065,0.062,0.075,0.146,0.378
"P10","Entre 4 y 6 días a la semana",0.121,0.134,0.175,0.161,0.147,0.122
"P10","Entre 1 y 3 días a la semana",0.221,0.229,0.275,0.38,0.32,0.246
