"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P06","Todos los días",0.426,0.279,0.393,0.288,0.251,0.066,0.105,0.167,0.24
"P06","Entre 4 y 6 días a la semana",0.242,0.378,0.318,0.34,0.306,0.202,0.345,0.169,0.21
"P06","Entre 1 y 3 días a la semana",0.193,0.3,0.199,0.209,0.295,0.435,0.399,0.314,0.28
"P06","Raramente",0.022,0.043,0.064,0.068,0.132,0.222,0.13,0.279,0.145
"P06","Nunca",0.117,0,0.026,0.095,0.016,0.075,0.021,0.071,0.125
"P07","Todos los días",0.483,0.123,0.181,0.145,0.076,0.067,0.058,0.075,0.213
"P07","Entre 4 y 6 días a la semana",0.277,0.255,0.355,0.333,0.321,0.103,0.194,0.094,0.177
"P07","Entre 1 y 3 días a la semana",0.145,0.435,0.331,0.353,0.446,0.448,0.454,0.298,0.269
"P07","Raramente",0.034,0.14,0.078,0.131,0.13,0.299,0.249,0.395,0.212
"P07","Nunca",0.061,0.047,0.055,0.038,0.027,0.083,0.045,0.138,0.129
"P08","Todos los días",0.414,0.14,0.098,0.076,0.085,0.031,0.049,0.077,0.081
"P08","Entre 4 y 6 días a la semana",0.216,0.107,0.258,0.265,0.223,0.149,0.229,0.136,0.158
"P08","Entre 1 y 3 días a la semana",0.241,0.554,0.506,0.493,0.541,0.478,0.464,0.34,0.441
"P08","Raramente",0.066,0.193,0.107,0.117,0.128,0.289,0.227,0.341,0.133
"P08","Nunca",0.063,0.006,0.031,0.049,0.023,0.053,0.031,0.106,0.187
"P09","Todos los días",0.307,0.029,0.046,0.051,0.055,0.021,0.039,0.065,0.122
"P09","Entre 4 y 6 días a la semana",0.105,0.06,0.098,0.089,0.071,0.093,0.057,0.065,0.051
"P09","Entre 1 y 3 días a la semana",0.29,0.367,0.366,0.233,0.259,0.167,0.204,0.143,0.182
"P09","Raramente",0.17,0.352,0.418,0.498,0.458,0.396,0.462,0.37,0.269
"P09","Nunca",0.128,0.192,0.072,0.129,0.157,0.323,0.238,0.357,0.376
"P10","Todos los días",0.56,0.055,0.119,0.101,0.119,0.056,0.09,0.089,0.194
"P10","Entre 4 y 6 días a la semana",0.129,0.215,0.193,0.176,0.136,0.149,0.161,0.1,0.189
"P10","Entre 1 y 3 días a la semana",0.099,0.127,0.388,0.312,0.338,0.236,0.247,0.191,0.122
"P10","Raramente",0.19,0.397,0.264,0.318,0.351,0.4,0.391,0.4,0.339
"P10","Nunca",0.022,0.206,0.036,0.093,0.056,0.159,0.111,0.22,0.156
"P11","Todos los días",0.572,0.181,0.44,0.308,0.302,0.104,0.142,0.094,0.196
"P11","Entre 4 y 6 días a la semana",0.125,0.409,0.217,0.267,0.247,0.131,0.182,0.11,0.177
"P11","Entre 1 y 3 días a la semana",0.189,0.259,0.213,0.238,0.281,0.275,0.306,0.218,0.107
"P11","Raramente",0.104,0.1,0.098,0.133,0.144,0.374,0.298,0.39,0.323
"P11","Nunca",0.01,0.051,0.032,0.054,0.026,0.116,0.072,0.188,0.197
"P12","Todos los días",0.617,0.301,0.473,0.444,0.454,0.236,0.256,0.137,0.34
"P12","Entre 4 y 6 días a la semana",0.273,0.37,0.305,0.182,0.23,0.127,0.168,0.125,0.18
"P12","Entre 1 y 3 días a la semana",0.07,0.052,0.132,0.235,0.201,0.287,0.295,0.219,0.17
"P12","Raramente",0.012,0.146,0.08,0.115,0.091,0.26,0.222,0.348,0.2
"P12","Nunca",0.028,0.131,0.01,0.024,0.024,0.09,0.059,0.171,0.11
"P13","Todos los días",0.309,0.084,0.092,0.1,0.104,0.046,0.057,0.064,0.076
"P13","Entre 4 y 6 días a la semana",0.118,0.132,0.115,0.139,0.105,0.072,0.106,0.072,0.101
"P13","Entre 1 y 3 días a la semana",0.251,0.354,0.375,0.34,0.345,0.294,0.315,0.226,0.13
"P13","Raramente",0.22,0.247,0.368,0.305,0.37,0.427,0.394,0.396,0.432
"P13","Nunca",0.102,0.183,0.05,0.116,0.076,0.161,0.128,0.242,0.261
"P14","Todos los días",0.503,0.255,0.261,0.266,0.292,0.249,0.276,0.242,0.352
"P14","Entre 4 y 6 días a la semana",0.207,0.233,0.241,0.269,0.241,0.216,0.273,0.207,0.193
"P14","Entre 1 y 3 días a la semana",0.102,0.349,0.297,0.298,0.293,0.286,0.251,0.239,0.148
"P14","Raramente",0.086,0.163,0.185,0.1,0.151,0.198,0.168,0.214,0.214
"P14","Nunca",0.102,0,0.016,0.067,0.023,0.051,0.032,0.098,0.093
"P15","Todos los días",0.277,0.104,0.15,0.146,0.106,0.066,0.124,0.133,0.173
"P15","Entre 4 y 6 días a la semana",0.133,0.204,0.19,0.21,0.216,0.21,0.213,0.215,0.213
"P15","Entre 1 y 3 días a la semana",0.301,0.566,0.474,0.426,0.45,0.416,0.389,0.306,0.235
"P15","Raramente",0.237,0.119,0.171,0.18,0.209,0.214,0.228,0.248,0.192
"P15","Nunca",0.052,0.007,0.015,0.038,0.019,0.094,0.046,0.098,0.187
"P16","Menos de un vaso al día",0.145,0.096,0.069,0.076,0.079,0.071,0.104,0.116,0.168
"P16","De 1 a 4 vasos al día",0.143,0.105,0.236,0.289,0.332,0.338,0.352,0.313,0.26
"P16","Más de 4 vasos al día",0.601,0.755,0.68,0.584,0.551,0.52,0.496,0.494,0.537
"P16","No consume agua",0.111,0.044,0.015,0.051,0.038,0.071,0.048,0.077,0.035
"P17","Agua embotellada/mineral",0.293,0.174,0.19,0.155,0.24,0.114,0.174,0.141,0.257
"P17","Agua de la canilla filtrada",0.295,0.447,0.352,0.304,0.302,0.293,0.299,0.268,0.253
"P17","Agua de la canilla directamente",0.255,0.309,0.36,0.357,0.273,0.431,0.376,0.452,0.302
"P17","Agua de bidón",0.091,0.07,0.096,0.178,0.174,0.16,0.143,0.115,0.162
"P17","No consume agua",0.066,0,0.002,0.006,0.011,0.002,0.008,0.024,0.026
"P18","Todos los días",0.284,0.073,0.081,0.061,0.088,0.037,0.06,0.068,0.098
"P18","Entre 4 y 6 días a la semana",0.11,0.041,0.115,0.078,0.094,0.066,0.073,0.056,0.111
"P18","Entre 1 y 3 días a la semana",0.263,0.315,0.338,0.308,0.25,0.162,0.2,0.123,0.123
"P18","Raramente",0.208,0.479,0.289,0.323,0.334,0.331,0.335,0.31,0.234
"P18","Nunca",0.135,0.092,0.177,0.23,0.234,0.404,0.332,0.443,0.434
"P19","Vino",0.31,0.203,0.373,0.291,0.358,0.188,0.261,0.171,0.274
"P19","Cerveza",0.211,0.182,0.236,0.148,0.197,0.202,0.183,0.147,0.102
"P19","Destilados (whisky, vodka, ron, etc.)",0.217,0.213,0.087,0.11,0.064,0.044,0.04,0.03,0.055
"P19","Espumantes",0.03,0.24,0.056,0.046,0.027,0.024,0.037,0.044,0.053
"P19","Otros",0.11,0.083,0.067,0.136,0.093,0.099,0.108,0.135,0.032
"P19","No consume bebidas alcohólicas",0.122,0.079,0.181,0.269,0.261,0.443,0.371,0.473,0.484
"P20","Todos los días",0.369,0,0.097,0.14,0.124,0.093,0.129,0.14,0.212
"P20","Entre 4 y 6 días a la semana",0.14,0.166,0.115,0.078,0.117,0.147,0.106,0.086,0.109
"P20","Entre 1 y 3 días a la semana",0.141,0.229,0.2,0.23,0.19,0.165,0.158,0.122,0.141
"P20","Raramente",0.191,0.422,0.363,0.277,0.366,0.348,0.386,0.386,0.273
"P20","Nunca",0.159,0.183,0.225,0.275,0.203,0.247,0.221,0.266,0.265
"P21","Todos los días",0.865,0.691,0.845,0.76,0.798,0.736,0.783,0.73,0.787
"P21","Entre 4 y 6 días a la semana",0.04,0.039,0.06,0.071,0.092,0.077,0.083,0.088,0.108
"P21","Entre 1 y 3 días a la semana",0.058,0.111,0.019,0.054,0.032,0.072,0.043,0.052,0.066
"P21","Raramente",0.032,0.151,0.048,0.047,0.036,0.084,0.064,0.078,0.012
"P21","Nunca",0.005,0.008,0.028,0.068,0.042,0.031,0.027,0.052,0.027
"P22","Asado",0.605,0.542,0.423,0.489,0.43,0.389,0.407,0.396,0.604
"P22","Pizza",0.098,0.055,0.066,0.056,0.078,0.067,0.087,0.08,0.027
"P22","Milanesa",0.058,0.183,0.162,0.171,0.18,0.193,0.156,0.139,0.046
