"var","categoria","Helado","Tortas, tartas dulces y masas","Ensalada de frutas","Flan, budín de pan y similares","Dulce de batata, membrillo o similares","Facturas de todo tipo","Postres lácteos caseros o envasados de cualquier tipo","Gelatina","Panqueques, wafles y similares","Ninguno de los anteriores"
"P05","Gran excedente habitual",0.022,0.015,0.016,0.024,0.008,0.004,0.019,0.004,0,0.004
"P05","Gran excedente excepcional",0.013,0.001,0.009,0.014,0.013,0.04,0.004,0,0,0.002
"P05","Pequeño excedente habitual",0.065,0.063,0.074,0.042,0.023,0.131,0.063,0.008,0.068,0.042
"P05","Pequeño excedente excepcional",0.089,0.078,0.08,0.092,0.08,0.062,0.113,0.083,0.094,0.073
"P05","Alcanza gastos familia",0.176,0.173,0.131,0.127,0.185,0.156,0.181,0.079,0.055,0.124
"P05","No alcanza gastos familia",0.093,0.134,0.122,0.131,0.159,0.101,0.107,0.153,0.115,0.166
"P05","Solo NBFamiliares",0.235,0.226,0.273,0.275,0.297,0.221,0.285,0.265,0.24,0.206
"P05","No alcanza NBFamiliares",0.292,0.296,0.279,0.293,0.229,0.26,0.206,0.395,0.419,0.349
"P05","No sabe",0.015,0.014,0.016,0.002,0.006,0.025,0.022,0.013,0.009,0.034
"P06","Todos los días",0.199,0.186,0.2,0.138,0.114,0.107,0.304,0.19,0.161,0.147
"P06","Entre 4 y 6 días a la semana",0.311,0.257,0.269,0.277,0.251,0.226,0.332,0.245,0.222,0.226
"P06","Entre 1 y 3 días a la semana",0.304,0.378,0.336,0.33,0.405,0.326,0.219,0.36,0.314,0.286
"P06","Raramente",0.157,0.154,0.164,0.222,0.165,0.228,0.115,0.132,0.282,0.251
"P06","Nunca",0.029,0.025,0.031,0.033,0.065,0.113,0.03,0.073,0.021,0.09
"P07","Todos los días",0.097,0.076,0.085,0.09,0.095,0.064,0.075,0.049,0.017,0.054
"P07","Entre 4 y 6 días a la semana",0.213,0.26,0.231,0.157,0.147,0.17,0.257,0.095,0.113,0.111
"P07","Entre 1 y 3 días a la semana",0.396,0.37,0.385,0.411,0.457,0.352,0.325,0.497,0.426,0.36
"P07","Raramente",0.228,0.221,0.245,0.296,0.255,0.299,0.231,0.278,0.329,0.362
"P07","Nunca",0.066,0.073,0.054,0.046,0.046,0.115,0.112,0.081,0.115,0.113
"P08","Todos los días",0.088,0.065,0.055,0.048,0.059,0.058,0.084,0.033,0.02,0.054
"P08","Entre 4 y 6 días a la semana",0.19,0.204,0.26,0.163,0.131,0.209,0.123,0.139,0.094,0.134
"P08","Entre 1 y 3 días a la semana",0.465,0.495,0.434,0.469,0.479,0.353,0.498,0.397,0.498,0.377
"P08","Raramente",0.214,0.176,0.2,0.298,0.273,0.326,0.207,0.316,0.352,0.348
"P08","Nunca",0.043,0.06,0.051,0.022,0.058,0.054,0.088,0.115,0.036,0.087
"P09","Todos los días",0.074,0.047,0.035,0.007,0.032,0.067,0.026,0.005,0.024,0.016
"P09","Entre 4 y 6 días a la semana",0.072,0.1,0.093,0.056,0.041,0.084,0.043,0.04,0.056,0.033
"P09","Entre 1 y 3 días a la semana",0.224,0.23,0.145,0.259,0.111,0.231,0.181,0.12,0.197,0.126
"P09","Raramente",0.419,0.43,0.47,0.45,0.493,0.422,0.419,0.377,0.539,0.385
"P09","Nunca",0.211,0.193,0.257,0.228,0.323,0.196,0.331,0.458,0.184,0.44
"P10","Todos los días",0.109,0.115,0.079,0.117,0.071,0.116,0.072,0.017,0.068,0.023
"P10","Entre 4 y 6 días a la semana",0.182,0.206,0.148,0.103,0.101,0.179,0.115,0.087,0.108,0.051
"P10","Entre 1 y 3 días a la semana",0.292,0.302,0.209,0.309,0.228,0.296,0.279,0.211,0.248,0.162
"P10","Raramente",0.328,0.32,0.421,0.381,0.44,0.287,0.39,0.463,0.447,0.451
"P10","Nunca",0.089,0.057,0.143,0.09,0.16,0.122,0.144,0.222,0.129,0.313
"P11","Todos los días",0.211,0.164,0.244,0.137,0.143,0.219,0.208,0.103,0.092,0.129
"P11","Entre 4 y 6 días a la semana",0.187,0.204,0.207,0.142,0.156,0.083,0.236,0.095,0.165,0.123
"P11","Entre 1 y 3 días a la semana",0.288,0.276,0.217,0.287,0.265,0.257,0.258,0.307,0.318,0.171
"P11","Raramente",0.244,0.258,0.263,0.36,0.283,0.34,0.217,0.414,0.358,0.379
"P11","Nunca",0.07,0.098,0.069,0.074,0.153,0.101,0.081,0.081,0.067,0.198
"P12","Todos los días",0.312,0.277,0.279,0.273,0.24,0.276,0.408,0.208,0.2,0.211
"P12","Entre 4 y 6 días a la semana",0.207,0.198,0.201,0.143,0.178,0.166,0.258,0.191,0.137,0.113
"P12","Entre 1 y 3 días a la semana",0.229,0.265,0.236,0.225,0.248,0.254,0.209,0.238,0.274,0.214
"P12","Raramente",0.201,0.181,0.207,0.299,0.228,0.242,0.091,0.315,0.343,0.336
"P12","Nunca",0.051,0.079,0.077,0.06,0.106,0.062,0.034,0.048,0.046,0.126
"P13","Todos los días",0.076,0.101,0.061,0.087,0.068,0.043,0.098,0.113,0.043,0.044
"P13","Entre 4 y 6 días a la semana",0.104,0.119,0.13,0.108,0.039,0.039,0.07,0.08,0.114,0.08
"P13","Entre 1 y 3 días a la semana",0.318,0.252,0.302,0.246,0.3,0.326,0.289,0.307,0.369,0.283
"P13","Raramente",0.386,0.41,0.368,0.416,0.448,0.351,0.475,0.365,0.392,0.334
"P13","Nunca",0.116,0.118,0.139,0.143,0.145,0.241,0.068,0.135,0.082,0.259
"P14","Todos los días",0.276,0.322,0.242,0.268,0.223,0.358,0.242,0.192,0.241,0.218
"P14","Entre 4 y 6 días a la semana",0.239,0.269,0.26,0.246,0.221,0.212,0.301,0.177,0.236,0.2
"P14","Entre 1 y 3 días a la semana",0.275,0.249,0.272,0.273,0.295,0.221,0.263,0.291,0.268,0.232
"P14","Raramente",0.173,0.134,0.186,0.164,0.233,0.091,0.14,0.262,0.173,0.249
"P14","Nunca",0.037,0.026,0.04,0.049,0.028,0.118,0.054,0.078,0.082,0.101
"P15","Todos los días",0.142,0.112,0.102,0.093,0.145,0.106,0.188,0.149,0.083,0.094
"P15","Entre 4 y 6 días a la semana",0.191,0.255,0.244,0.205,0.169,0.185,0.208,0.182,0.149,0.165
"P15","Entre 1 y 3 días a la semana",0.422,0.409,0.38,0.381,0.412,0.447,0.394,0.345,0.498,0.317
"P15","Raramente",0.191,0.192,0.234,0.256,0.226,0.214,0.157,0.283,0.184,0.308
"P15","Nunca",0.054,0.032,0.04,0.065,0.048,0.048,0.053,0.041,0.086,0.116
"P16","Menos de un vaso al día",0.098,0.084,0.052,0.112,0.121,0.061,0.024,0.047,0.026,0.095
"P16","De 1 a 4 vasos al día",0.305,0.369,0.336,0.331,0.308,0.319,0.241,0.303,0.459,0.241
"P16","Más de 4 vasos al día",0.554,0.497,0.555,0.464,0.494,0.566,0.702,0.619,0.482,0.573
"P16","No consume agua",0.043,0.05,0.057,0.093,0.077,0.054,0.033,0.031,0.033,0.091
"P17","Agua embotellada/mineral",0.201,0.189,0.14,0.165,0.178,0.188,0.152,0.116,0.106,0.108
"P17","Agua de la canilla filtrada",0.298,0.327,0.33,0.298,0.243,0.277,0.33,0.293,0.278,0.248
"P17","Agua de la canilla directamente",0.346,0.347,0.388,0.404,0.377,0.371,0.376,0.524,0.438,0.458
"P17","Agua de bidón",0.139,0.125,0.14,0.132,0.187,0.12,0.142,0.067,0.178,0.167
"P17","No consume agua",0.016,0.012,0.002,0.001,0.015,0.044,0,0,0,0.019
"P18","Todos los días",0.073,0.065,0.036,0.071,0.139,0.051,0.039,0.005,0.043,0.072
"P18","Entre 4 y 6 días a la semana",0.071,0.084,0.065,0.084,0.095,0.045,0.055,0.043,0.109,0.066
"P18","Entre 1 y 3 días a la semana",0.24,0.204,0.189,0.19,0.168,0.182,0.188,0.17,0.209,0.134
"P18","Raramente",0.352,0.313,0.339,0.327,0.328,0.294,0.296,0.246,0.381,0.26
"P18","Nunca",0.264,0.334,0.371,0.328,0.27,0.428,0.422,0.536,0.258,0.468
"P19","Vino",0.3,0.226,0.224,0.246,0.325,0.164,0.219,0.17,0.219,0.247
"P19","Cerveza",0.215,0.202,0.169,0.164,0.176,0.226,0.171,0.072,0.137,0.085
"P19","Destilados (whisky, vodka, ron, etc.)",0.068,0.07,0.051,0.023,0.076,0.046,0.086,0.012,0.101,0.025
"P19","Espumantes",0.035,0.044,0.046,0.058,0.021,0.073,0.019,0.045,0.083,0.031
"P19","Otros",0.088,0.11,0.13,0.13,0.118,0.072,0.107,0.103,0.144,0.1
"P19","No consume bebidas alcohólicas",0.294,0.348,0.38,0.379,0.284,0.419,0.398,0.598,0.316,0.512
"P20","Todos los días",0.163,0.124,0.153,0.124,0.113,0.126,0.113,0.063,0.047,0.072
"P20","Entre 4 y 6 días a la semana",0.1,0.132,0.108,0.153,0.12,0.135,0.12,0.034,0.122,0.03
"P20","Entre 1 y 3 días a la semana",0.178,0.188,0.156,0.153,0.114,0.227,0.143,0.092,0.101,0.09
"P20","Raramente",0.374,0.344,0.336,0.379,0.352,0.386,0.355,0.553,0.389,0.331
"P20","Nunca",0.185,0.212,0.247,0.191,0.301,0.126,0.269,0.258,0.341,0.477
"P21","Todos los días",0.805,0.786,0.798,0.731,0.666,0.793,0.759,0.781,0.686,0.679
"P21","Entre 4 y 6 días a la semana",0.077,0.133,0.077,0.072,0.066,0.095,0.088,0.05,0.104,0.06
"P21","Entre 1 y 3 días a la semana",0.041,0.023,0.036,0.071,0.083,0.04,0.068,0.055,0.108,0.06
"P21","Raramente",0.046,0.02,0.068,0.109,0.072,0.061,0.006,0.08,0.018,0.133
"P21","Nunca",0.031,0.038,0.021,0.017,0.113,0.011,0.079,0.034,0.084,0.068
"P22","Asado",0.499,0.464,0.429,0.417,0.318,0.346,0.409,0.29,0.234,0.279
"P22","Pizza",0.088,0.122,0.051,0.092,0.033,0.123,0.055,0.011,0.047,0.035
"P22","Milanesa",0.173,0.158,0.168,0.152,0.195,0.145,0.128,0.113,0.123,0.134
"P22","Pastas",0.088,0.098,0.076,0.144,0.108,0.083,0.037,0.059,0.103,0.088
"P22","Empanadas",0.02,0.051,0.038,0.03,0.071,0.031,0.062,0.061,0.072,0.032
"P22","Hamburguesa",0.008,0.019,0.012,0.022,0.031,0.056,0.013,0.013,0.009,0.007
"P22","Ensaladas (de cualquier tipo)",0.055,0.037,0.117,0.048,0.081,0.043,0.153,0.139,0.1,0.106
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.044,0.037,0.077,0.076,0.099,0.093,0.102,0.164,0.118,0.111
"P22","Polenta o similares (de cualquier tipo)",0.007,0.011,0.016,0.01,0.008,0.021,0.005,0.123,0.145,0.104
"P22","Ninguno de los anteriores",0.018,0.003,0.016,0.009,0.056,0.059,0.036,0.027,0.049,0.104
"P23","Asado",0.196,0.107,0.081,0.079,0.11,0.048,0.055,0.056,0.067,0.051
"P23","Pizza",0.091,0.157,0.04,0.048,0.051,0.064,0.037,0.016,0.043,0.024
"P23","Milanesa",0.225,0.246,0.358,0.192,0.185,0.23,0.093,0.076,0.059,0.116
"P23","Pastas",0.138,0.142,0.127,0.348,0.125,0.176,0.044,0.055,0.072,0.175
"P23","Empanadas",0.048,0.038,0.029,0.036,0.158,0.064,0.027,0.014,0.061,0.027
"P23","Hamburguesa",0.017,0.012,0.019,0.027,0.02,0.101,0.002,0.003,0,0.004
"P23","Ensaladas (de cualquier tipo)",0.104,0.085,0.113,0.067,0.107,0.053,0.473,0.145,0.133,0.139
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.083,0.106,0.106,0.087,0.171,0.108,0.108,0.364,0.099,0.119
"P23","Polenta o similares (de cualquier tipo)",0.05,0.043,0.063,0.071,0.04,0.08,0.112,0.21,0.395,0.158
"P23","Ninguno de los anteriores",0.048,0.064,0.064,0.045,0.033,0.076,0.049,0.061,0.071,0.187
"P25","Helado",0.37,0.066,0.057,0.07,0.023,0.016,0.038,0.057,0.024,0.027
"P25","Tortas, tartas dulces y masas",0.114,0.455,0.096,0.084,0.069,0.022,0.111,0.021,0.045,0.049
"P25","Ensalada de frutas",0.037,0.053,0.383,0.029,0.045,0.038,0.089,0.028,0.094,0.023
"P25","Flan, budín de pan y similares",0.02,0.027,0.026,0.292,0.048,0.021,0.017,0.018,0.003,0.03
"P25","Dulce de batata, membrillo o similares",0.078,0.062,0.089,0.1,0.533,0.087,0.116,0.075,0.068,0.041
"P25","Facturas de todo tipo",0.058,0.065,0.033,0.086,0.057,0.54,0.041,0.02,0.079,0.03
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.012,0.016,0.019,0.023,0.019,0.016,0.239,0.059,0.041,0.014
"P25","Gelatina",0.032,0.016,0.032,0.02,0.045,0.036,0.076,0.437,0.05,0.039
"P25","Panqueques, wafles y similares",0.017,0.006,0.01,0.006,0.006,0.01,0.021,0.014,0.186,0.007
"P25","Ninguno de los anteriores",0.262,0.234,0.255,0.29,0.155,0.214,0.252,0.271,0.41,0.74
"P26","Vegetariano",0.104,0.026,0.067,0.034,0.089,0.016,0.029,0.038,0.03,0.064
"P26","Vegano",0.041,0.088,0.029,0.03,0.009,0,0.067,0,0.022,0.016
"P26","Dieta baja en carnes rojas",0.136,0.135,0.195,0.095,0.117,0.155,0.182,0.146,0.184,0.074
"P26","Dieta baja en carbohidratos",0.096,0.082,0.081,0.103,0.085,0.049,0.141,0.069,0.037,0.063
"P26","Dieta baja en azúcares",0.096,0.099,0.126,0.107,0.171,0.04,0.113,0.098,0.14,0.172
"P26","Kosher o Alal",0.011,0.006,0.019,0.007,0.016,0.044,0.002,0.023,0.02,0.005
"P26","Ninguna restricción alimentaria",0.516,0.564,0.483,0.624,0.513,0.696,0.466,0.626,0.567,0.606
"P27","Bajo peso",0.1,0.087,0.069,0.067,0.082,0.065,0.043,0.022,0.021,0.105
"P27","Sobrepeso",0.291,0.264,0.239,0.294,0.189,0.225,0.228,0.237,0.246,0.166
"P27","Obesidad",0.063,0.064,0.087,0.04,0.066,0.113,0.075,0.059,0.052,0.052
"P27","Normal",0.466,0.478,0.486,0.516,0.568,0.436,0.602,0.468,0.496,0.499
"P27","No sabe",0.08,0.107,0.119,0.083,0.095,0.161,0.052,0.214,0.185,0.178
"P28","Diabetes",0.09,0.107,0.111,0.08,0.134,0.069,0.061,0.128,0.103,0.093
"P28","Hipertensión",0.178,0.188,0.193,0.174,0.187,0.124,0.223,0.238,0.224,0.136
"P28","Enfermedades cardiovasculares",0.035,0.028,0.05,0.038,0.045,0.052,0.059,0.016,0.028,0.079
"P28","Celiaquía",0.05,0.075,0.068,0.114,0.066,0.072,0.127,0.133,0.13,0.079
"P28","Ninguna",0.576,0.521,0.501,0.535,0.474,0.515,0.47,0.397,0.447,0.438
"P28","No sabe",0.071,0.081,0.077,0.059,0.094,0.168,0.06,0.088,0.068,0.175
"P29","Todos los días",0.068,0.06,0.026,0.047,0.057,0.027,0.024,0.008,0.019,0.022
"P29","Entre 4 y 6 días a la semana",0.055,0.05,0.047,0.044,0.053,0.013,0.021,0.026,0.046,0.034
"P29","Entre 1 y 3 días a la semana",0.131,0.127,0.133,0.12,0.062,0.176,0.167,0.052,0.103,0.079
"P29","Raramente",0.313,0.337,0.322,0.293,0.329,0.241,0.312,0.209,0.284,0.179
"P29","Nunca",0.433,0.426,0.472,0.496,0.499,0.543,0.476,0.705,0.548,0.686
"P30","Todos los días",0.057,0.042,0.031,0.017,0.043,0.013,0.015,0.002,0.011,0.012
"P30","Entre 4 y 6 días a la semana",0.027,0.032,0.013,0.046,0.036,0,0.016,0.004,0,0.013
"P30","Entre 1 y 3 días a la semana",0.123,0.135,0.086,0.131,0.1,0.161,0.1,0.038,0.066,0.076
"P30","Raramente",0.361,0.349,0.31,0.34,0.345,0.378,0.324,0.235,0.253,0.221
"P30","Nunca",0.432,0.442,0.56,0.466,0.476,0.448,0.545,0.721,0.67,0.678
"P31","Todos los días",0.614,0.617,0.614,0.536,0.652,0.59,0.603,0.712,0.64,0.671
"P31","Entre 4 y 6 días a la semana",0.196,0.195,0.165,0.205,0.144,0.201,0.11,0.129,0.166,0.117
"P31","Entre 1 y 3 días a la semana",0.072,0.07,0.066,0.118,0.034,0.043,0.062,0.058,0.082,0.08
"P31","Raramente",0.061,0.056,0.06,0.076,0.105,0.111,0.096,0.019,0.057,0.048
"P31","Nunca",0.057,0.062,0.095,0.065,0.065,0.055,0.129,0.082,0.055,0.084
"P32","Menos de 1 comida al día",0.18,0.147,0.154,0.192,0.166,0.135,0.153,0.161,0.209,0.196
"P32","1 comida",0.291,0.259,0.338,0.31,0.262,0.362,0.236,0.472,0.353,0.394
"P32","2 comidas",0.243,0.273,0.247,0.243,0.29,0.169,0.223,0.151,0.18,0.228
"P32","3 comidas",0.148,0.141,0.139,0.133,0.188,0.153,0.2,0.119,0.101,0.093
"P32","4 comidas",0.111,0.136,0.105,0.109,0.058,0.141,0.163,0.069,0.144,0.066
"P32","Más de 4 comidas",0.027,0.044,0.017,0.013,0.036,0.04,0.025,0.028,0.013,0.023
"P33","Precio",0.28,0.289,0.304,0.341,0.317,0.346,0.163,0.367,0.399,0.383
"P33","Calidad",0.172,0.125,0.156,0.154,0.12,0.169,0.201,0.156,0.113,0.128
"P33","Ambas",0.476,0.527,0.48,0.425,0.514,0.41,0.446,0.392,0.432,0.379
"P33","Compra sin ningún tipo de consideración",0.072,0.059,0.06,0.08,0.049,0.075,0.19,0.085,0.056,0.11
"P34","Menos de 1 vez a la semana",0.196,0.215,0.219,0.216,0.186,0.146,0.225,0.311,0.242,0.232
"P34","1 vez a la semana",0.291,0.299,0.268,0.257,0.321,0.215,0.266,0.306,0.148,0.264
"P34","Entre 1 a 4 veces a la semana",0.328,0.289,0.298,0.267,0.323,0.365,0.315,0.154,0.388,0.22
"P34","Más de 4 veces a la semana",0.119,0.108,0.143,0.184,0.124,0.119,0.177,0.096,0.137,0.169
"P34","No sabe",0.066,0.089,0.072,0.076,0.046,0.155,0.017,0.133,0.085,0.115
"P35","Hipermercado/Supermercado",0.513,0.523,0.44,0.421,0.45,0.492,0.55,0.479,0.438,0.401
"P35","Almacenes",0.243,0.229,0.275,0.281,0.255,0.174,0.143,0.278,0.339,0.271
"P35","Productores locales/mercados de cercanía/Ferias",0.162,0.198,0.22,0.196,0.189,0.219,0.234,0.172,0.163,0.176
"P35","Vía pública",0.024,0.019,0.025,0.039,0.041,0.027,0.01,0.018,0.033,0.057
"P35","No sabe",0.058,0.031,0.04,0.063,0.065,0.088,0.063,0.053,0.027,0.095
