"var","categoria","Menos de 1 vez a la semana","1 vez a la semana","Entre 1 a 4 veces a la semana","Más de 4 veces a la semana","No sabe"
"P05","Gran excedente habitual",0.025,0.02,0.006,0.009,0.019
"P05","Gran excedente excepcional",0,0.005,0.02,0.009,0.004
"P05","Pequeño excedente habitual",0.035,0.068,0.104,0.037,0.025
"P05","Pequeño excedente excepcional",0.053,0.092,0.099,0.115,0.059
"P05","Alcanza gastos familia",0.094,0.157,0.213,0.194,0.068
"P05","No alcanza gastos familia",0.102,0.12,0.114,0.116,0.194
"P05","Solo NBFamiliares",0.254,0.252,0.24,0.253,0.214
"P05","No alcanza NBFamiliares",0.43,0.268,0.193,0.248,0.379
"P05","No sabe",0.007,0.018,0.011,0.019,0.038
"P06","Todos los días",0.167,0.168,0.222,0.181,0.109
"P06","Entre 4 y 6 días a la semana",0.202,0.293,0.335,0.265,0.174
"P06","Entre 1 y 3 días a la semana",0.292,0.358,0.324,0.304,0.364
"P06","Raramente",0.289,0.137,0.1,0.215,0.24
"P06","Nunca",0.05,0.044,0.019,0.035,0.113
"P07","Todos los días",0.075,0.084,0.086,0.082,0.086
"P07","Entre 4 y 6 días a la semana",0.137,0.225,0.224,0.23,0.069
"P07","Entre 1 y 3 días a la semana",0.325,0.367,0.48,0.387,0.445
"P07","Raramente",0.366,0.249,0.159,0.234,0.309
"P07","Nunca",0.097,0.075,0.051,0.067,0.091
"P08","Todos los días",0.048,0.079,0.066,0.059,0.09
"P08","Entre 4 y 6 días a la semana",0.161,0.213,0.19,0.198,0.132
"P08","Entre 1 y 3 días a la semana",0.368,0.42,0.545,0.486,0.396
"P08","Raramente",0.316,0.238,0.164,0.234,0.336
"P08","Nunca",0.107,0.05,0.035,0.023,0.046
"P09","Todos los días",0.064,0.037,0.04,0.047,0.057
"P09","Entre 4 y 6 días a la semana",0.069,0.067,0.068,0.067,0.055
"P09","Entre 1 y 3 días a la semana",0.146,0.178,0.26,0.18,0.165
"P09","Raramente",0.411,0.443,0.44,0.493,0.405
"P09","Nunca",0.31,0.275,0.192,0.213,0.318
"P10","Todos los días",0.091,0.085,0.086,0.12,0.08
"P10","Entre 4 y 6 días a la semana",0.149,0.138,0.162,0.13,0.117
"P10","Entre 1 y 3 días a la semana",0.198,0.275,0.319,0.29,0.204
"P10","Raramente",0.38,0.381,0.351,0.366,0.397
"P10","Nunca",0.182,0.121,0.082,0.094,0.202
"P11","Todos los días",0.112,0.204,0.252,0.191,0.111
"P11","Entre 4 y 6 días a la semana",0.127,0.181,0.225,0.155,0.118
"P11","Entre 1 y 3 días a la semana",0.202,0.281,0.299,0.282,0.161
"P11","Raramente",0.392,0.253,0.19,0.29,0.451
"P11","Nunca",0.167,0.081,0.034,0.082,0.159
"P12","Todos los días",0.198,0.3,0.35,0.322,0.193
"P12","Entre 4 y 6 días a la semana",0.177,0.186,0.226,0.163,0.116
"P12","Entre 1 y 3 días a la semana",0.226,0.256,0.234,0.231,0.19
"P12","Raramente",0.284,0.208,0.154,0.211,0.394
"P12","Nunca",0.115,0.05,0.036,0.073,0.107
"P13","Todos los días",0.081,0.074,0.061,0.098,0.102
"P13","Entre 4 y 6 días a la semana",0.091,0.098,0.128,0.091,0.062
"P13","Entre 1 y 3 días a la semana",0.233,0.301,0.338,0.316,0.26
"P13","Raramente",0.402,0.409,0.375,0.373,0.347
"P13","Nunca",0.193,0.118,0.098,0.122,0.229
"P14","Todos los días",0.25,0.278,0.267,0.327,0.305
