"var","categoria","Asado","Pizza","Milanesa","Pastas","Empanadas","Hamburguesa","Ensaladas (de cualquier tipo)","Guiso (de lentejas, de arroz, locro o similares)","Polenta o similares (de cualquier tipo)","Ninguno de los anteriores"
"P05","Gran excedente habitual",0.021,0.019,0.005,0.018,0.011,0.058,0.001,0.007,0.003,0
"P05","Gran excedente excepcional",0.012,0.006,0.011,0.014,0.016,0,0,0,0,0.004
"P05","Pequeño excedente habitual",0.061,0.052,0.062,0.069,0.028,0.28,0.069,0.042,0.014,0.028
"P05","Pequeño excedente excepcional",0.098,0.062,0.091,0.064,0.064,0.058,0.101,0.078,0.021,0.03
"P05","Alcanza gastos familia",0.156,0.156,0.174,0.175,0.104,0.086,0.164,0.1,0.077,0.166
"P05","No alcanza gastos familia",0.111,0.105,0.147,0.101,0.1,0.109,0.081,0.213,0.156,0.07
"P05","Solo NBFamiliares",0.241,0.285,0.245,0.248,0.305,0.162,0.264,0.274,0.138,0.233
"P05","No alcanza NBFamiliares",0.279,0.31,0.261,0.298,0.364,0.247,0.296,0.281,0.564,0.451
"P05","No sabe",0.021,0.005,0.004,0.013,0.008,0,0.024,0.005,0.027,0.018
"P06","Todos los días",0.19,0.156,0.149,0.207,0.201,0.15,0.313,0.106,0.078,0.142
"P06","Entre 4 y 6 días a la semana",0.264,0.257,0.286,0.331,0.219,0.17,0.339,0.286,0.221,0.119
"P06","Entre 1 y 3 días a la semana",0.354,0.35,0.373,0.273,0.303,0.355,0.211,0.32,0.237,0.288
"P06","Raramente",0.154,0.206,0.153,0.169,0.222,0.136,0.107,0.246,0.372,0.305
"P06","Nunca",0.038,0.031,0.039,0.02,0.055,0.189,0.03,0.042,0.092,0.146
"P07","Todos los días",0.109,0.08,0.054,0.061,0.083,0.17,0.072,0.056,0.009,0.048
"P07","Entre 4 y 6 días a la semana",0.225,0.19,0.182,0.229,0.198,0.324,0.171,0.139,0.081,0.115
"P07","Entre 1 y 3 días a la semana",0.393,0.417,0.487,0.375,0.267,0.18,0.363,0.356,0.274,0.366
"P07","Raramente",0.222,0.233,0.234,0.258,0.349,0.29,0.28,0.383,0.418,0.308
"P07","Nunca",0.051,0.08,0.043,0.077,0.103,0.036,0.114,0.066,0.218,0.163
"P08","Todos los días",0.081,0.067,0.046,0.037,0.044,0.099,0.078,0.081,0.012,0.057
"P08","Entre 4 y 6 días a la semana",0.179,0.24,0.191,0.252,0.24,0.207,0.193,0.147,0.038,0.123
"P08","Entre 1 y 3 días a la semana",0.499,0.412,0.488,0.406,0.32,0.317,0.421,0.438,0.367,0.327
"P08","Raramente",0.207,0.208,0.248,0.236,0.314,0.314,0.191,0.274,0.469,0.388
"P08","Nunca",0.034,0.073,0.027,0.069,0.082,0.063,0.117,0.06,0.114,0.105
"P09","Todos los días",0.049,0.091,0.021,0.031,0.007,0.173,0.013,0.028,0.087,0.03
"P09","Entre 4 y 6 días a la semana",0.065,0.15,0.065,0.073,0.05,0.087,0.056,0.055,0.027,0.029
"P09","Entre 1 y 3 días a la semana",0.205,0.196,0.241,0.191,0.245,0.296,0.145,0.137,0.054,0.106
"P09","Raramente",0.442,0.404,0.45,0.482,0.383,0.34,0.425,0.455,0.391,0.437
"P09","Nunca",0.239,0.159,0.223,0.223,0.315,0.104,0.361,0.325,0.441,0.398
"P10","Todos los días",0.091,0.16,0.07,0.1,0.043,0.252,0.048,0.072,0.104,0.089
"P10","Entre 4 y 6 días a la semana",0.167,0.221,0.14,0.162,0.141,0.085,0.107,0.073,0.056,0.073
"P10","Entre 1 y 3 días a la semana",0.273,0.253,0.314,0.252,0.266,0.253,0.191,0.25,0.152,0.125
"P10","Raramente",0.356,0.303,0.39,0.379,0.349,0.316,0.488,0.392,0.544,0.41
"P10","Nunca",0.113,0.063,0.086,0.107,0.201,0.094,0.166,0.213,0.144,0.303
"P11","Todos los días",0.186,0.159,0.166,0.251,0.103,0.112,0.296,0.156,0.094,0.153
"P11","Entre 4 y 6 días a la semana",0.18,0.165,0.177,0.176,0.231,0.074,0.233,0.135,0.026,0.148
"P11","Entre 1 y 3 días a la semana",0.279,0.247,0.282,0.264,0.175,0.383,0.206,0.235,0.236,0.228
"P11","Raramente",0.269,0.349,0.312,0.221,0.321,0.24,0.205,0.388,0.443,0.232
"P11","Nunca",0.086,0.08,0.063,0.088,0.17,0.191,0.06,0.086,0.201,0.239
"P12","Todos los días",0.292,0.262,0.272,0.303,0.243,0.339,0.383,0.2,0.185,0.214
"P12","Entre 4 y 6 días a la semana",0.18,0.211,0.221,0.194,0.166,0.311,0.143,0.167,0.104,0.145
"P12","Entre 1 y 3 días a la semana",0.254,0.23,0.253,0.205,0.247,0.161,0.225,0.26,0.164,0.136
"P12","Raramente",0.202,0.215,0.202,0.257,0.284,0.117,0.195,0.282,0.452,0.314
"P12","Nunca",0.072,0.082,0.052,0.041,0.06,0.072,0.054,0.091,0.095,0.191
"P13","Todos los días",0.071,0.058,0.052,0.085,0.141,0.061,0.071,0.06,0.192,0.043
"P13","Entre 4 y 6 días a la semana",0.098,0.11,0.069,0.11,0.082,0.074,0.121,0.145,0.062,0.072
"P13","Entre 1 y 3 días a la semana",0.308,0.236,0.318,0.284,0.243,0.29,0.307,0.337,0.213,0.247
"P13","Raramente",0.39,0.386,0.429,0.399,0.377,0.487,0.4,0.359,0.271,0.299
"P13","Nunca",0.133,0.21,0.132,0.122,0.157,0.088,0.101,0.099,0.262,0.339
"P14","Todos los días",0.265,0.302,0.267,0.342,0.351,0.387,0.15,0.251,0.296,0.155
"P14","Entre 4 y 6 días a la semana",0.242,0.323,0.246,0.255,0.198,0.129,0.22,0.226,0.22,0.104
"P14","Entre 1 y 3 días a la semana",0.28,0.173,0.283,0.236,0.163,0.306,0.292,0.268,0.196,0.365
"P14","Raramente",0.165,0.149,0.171,0.151,0.162,0.14,0.292,0.183,0.231,0.239
"P14","Nunca",0.048,0.053,0.033,0.016,0.126,0.038,0.046,0.072,0.057,0.137
"P15","Todos los días",0.139,0.104,0.066,0.11,0.154,0.199,0.076,0.133,0.223,0.092
"P15","Entre 4 y 6 días a la semana",0.208,0.215,0.221,0.227,0.144,0.205,0.233,0.183,0.256,0.136
"P15","Entre 1 y 3 días a la semana",0.399,0.413,0.436,0.37,0.3,0.368,0.411,0.388,0.297,0.406
"P15","Raramente",0.206,0.193,0.228,0.234,0.322,0.201,0.242,0.206,0.174,0.252
"P15","Nunca",0.048,0.075,0.049,0.059,0.08,0.027,0.038,0.09,0.05,0.114
"P16","Menos de un vaso al día",0.107,0.049,0.07,0.069,0.136,0.141,0.06,0.101,0.099,0.07
"P16","De 1 a 4 vasos al día",0.329,0.387,0.311,0.322,0.297,0.226,0.326,0.281,0.203,0.309
"P16","Más de 4 vasos al día",0.513,0.492,0.563,0.531,0.496,0.626,0.573,0.582,0.529,0.524
"P16","No consume agua",0.051,0.072,0.056,0.078,0.071,0.007,0.041,0.036,0.169,0.097
"P17","Agua embotellada/mineral",0.196,0.153,0.155,0.179,0.219,0.148,0.174,0.082,0.069,0.11
"P17","Agua de la canilla filtrada",0.286,0.32,0.323,0.319,0.309,0.23,0.27,0.331,0.22,0.349
"P17","Agua de la canilla directamente",0.376,0.344,0.392,0.363,0.348,0.45,0.373,0.43,0.54,0.284
"P17","Agua de bidón",0.133,0.171,0.123,0.137,0.101,0.172,0.176,0.152,0.107,0.168
"P17","No consume agua",0.009,0.012,0.007,0.002,0.023,0,0.007,0.005,0.064,0.089
"P18","Todos los días",0.081,0.084,0.04,0.046,0.065,0.026,0.045,0.068,0.061,0.071
"P18","Entre 4 y 6 días a la semana",0.078,0.114,0.067,0.092,0.056,0.011,0.074,0.034,0.079,0.063
"P18","Entre 1 y 3 días a la semana",0.231,0.188,0.204,0.178,0.169,0.208,0.135,0.146,0.175,0.139
"P18","Raramente",0.322,0.304,0.355,0.349,0.325,0.463,0.333,0.308,0.221,0.144
"P18","Nunca",0.288,0.31,0.334,0.335,0.385,0.292,0.413,0.444,0.464,0.583
"P19","Vino",0.304,0.206,0.246,0.21,0.185,0.04,0.271,0.189,0.133,0.202
"P19","Cerveza",0.19,0.33,0.182,0.202,0.132,0.293,0.096,0.093,0.082,0.041
"P19","Destilados (whisky, vodka, ron, etc.)",0.066,0.06,0.038,0.027,0.07,0.206,0.013,0.036,0.118,0.038
"P19","Espumantes",0.043,0.018,0.039,0.056,0.054,0.014,0.043,0.045,0.015,0.019
"P19","Otros",0.093,0.095,0.137,0.126,0.112,0.109,0.092,0.119,0.149,0.129
"P19","No consume bebidas alcohólicas",0.304,0.291,0.358,0.379,0.447,0.338,0.485,0.518,0.503,0.571
"P20","Todos los días",0.15,0.187,0.105,0.123,0.12,0.187,0.077,0.076,0.089,0.103
"P20","Entre 4 y 6 días a la semana",0.099,0.207,0.117,0.109,0.096,0.134,0.073,0.1,0.057,0.032
"P20","Entre 1 y 3 días a la semana",0.177,0.116,0.229,0.16,0.062,0.34,0.097,0.099,0.053,0.062
"P20","Raramente",0.353,0.362,0.35,0.384,0.41,0.27,0.395,0.425,0.328,0.346
"P20","Nunca",0.221,0.128,0.199,0.224,0.312,0.069,0.358,0.3,0.473,0.457
"P21","Todos los días",0.827,0.694,0.73,0.731,0.611,0.722,0.835,0.745,0.68,0.636
"P21","Entre 4 y 6 días a la semana",0.072,0.22,0.071,0.068,0.08,0.103,0.039,0.066,0.12,0.08
"P21","Entre 1 y 3 días a la semana",0.026,0.057,0.102,0.021,0.055,0.131,0.022,0.048,0.099,0.091
"P21","Raramente",0.047,0.015,0.052,0.139,0.042,0.029,0.071,0.093,0.089,0.125
"P21","Nunca",0.028,0.014,0.045,0.041,0.212,0.015,0.033,0.048,0.012,0.068
"P23","Asado",0.242,0.023,0.031,0.015,0.016,0,0.022,0.008,0.024,0.024
"P23","Pizza",0.062,0.316,0.048,0.077,0.052,0.029,0.02,0.037,0.05,0.059
"P23","Milanesa",0.21,0.203,0.415,0.228,0.168,0.249,0.112,0.132,0.03,0.079
"P23","Pastas",0.128,0.162,0.17,0.405,0.141,0.062,0.107,0.081,0.105,0.086
"P23","Empanadas",0.034,0.028,0.047,0.024,0.306,0.135,0.037,0.018,0.006,0.08
"P23","Hamburguesa",0.014,0.008,0.033,0.005,0.034,0.147,0.003,0.015,0.017,0.041
"P23","Ensaladas (de cualquier tipo)",0.082,0.082,0.065,0.095,0.086,0.053,0.529,0.095,0.039,0.105
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.095,0.076,0.075,0.074,0.055,0.079,0.093,0.431,0.108,0.041
"P23","Polenta o similares (de cualquier tipo)",0.075,0.052,0.055,0.034,0.076,0.08,0.034,0.105,0.561,0.103
"P23","Ninguno de los anteriores",0.058,0.05,0.061,0.043,0.066,0.166,0.043,0.078,0.06,0.382
"P24","Helado",0.354,0.348,0.323,0.287,0.159,0.154,0.219,0.186,0.084,0.197
"P24","Tortas, tartas dulces y masas",0.159,0.232,0.143,0.154,0.198,0.178,0.072,0.076,0.062,0.018
"P24","Ensalada de frutas",0.182,0.12,0.186,0.146,0.183,0.142,0.279,0.193,0.118,0.106
"P24","Flan, budín de pan y similares",0.104,0.128,0.1,0.165,0.085,0.149,0.067,0.114,0.044,0.036
"P24","Dulce de batata, membrillo o similares",0.049,0.028,0.079,0.076,0.125,0.129,0.071,0.092,0.02,0.133
"P24","Facturas de todo tipo",0.034,0.066,0.037,0.037,0.034,0.148,0.024,0.054,0.035,0.088
