"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P05","Gran excedente habitual",0.026,0.012,0.005,0.007,0.025
"P05","Gran excedente excepcional",0.009,0.009,0.013,0.008,0
"P05","Pequeño excedente habitual",0.056,0.059,0.065,0.06,0.016
"P05","Pequeño excedente excepcional",0.081,0.092,0.092,0.046,0.095
"P05","Alcanza gastos familia",0.161,0.15,0.166,0.125,0.06
"P05","No alcanza gastos familia",0.112,0.11,0.131,0.134,0.106
"P05","Solo NBFamiliares",0.253,0.284,0.236,0.231,0.139
"P05","No alcanza NBFamiliares",0.281,0.271,0.283,0.371,0.534
"P05","No sabe",0.021,0.013,0.009,0.018,0.025
"P06","Todos los días",0.205,0.148,0.168,0.193,0.18
"P06","Entre 4 y 6 días a la semana",0.263,0.301,0.273,0.208,0.162
"P06","Entre 1 y 3 días a la semana",0.307,0.374,0.379,0.323,0.174
"P06","Raramente",0.166,0.14,0.15,0.234,0.287
"P06","Nunca",0.059,0.037,0.03,0.042,0.197
"P07","Todos los días",0.144,0.062,0.046,0.073,0.102
"P07","Entre 4 y 6 días a la semana",0.197,0.235,0.191,0.166,0.138
"P07","Entre 1 y 3 días a la semana",0.349,0.423,0.452,0.346,0.176
"P07","Raramente",0.243,0.222,0.259,0.326,0.312
"P07","Nunca",0.067,0.058,0.052,0.089,0.272
"P08","Todos los días",0.118,0.048,0.03,0.084,0.084
"P08","Entre 4 y 6 días a la semana",0.196,0.237,0.154,0.162,0.153
"P08","Entre 1 y 3 días a la semana",0.432,0.464,0.556,0.374,0.248
"P08","Raramente",0.206,0.205,0.224,0.327,0.269
"P08","Nunca",0.048,0.046,0.036,0.053,0.246
"P09","Todos los días",0.11,0.019,0.011,0.032,0.12
"P09","Entre 4 y 6 días a la semana",0.085,0.107,0.043,0.045,0.037
"P09","Entre 1 y 3 días a la semana",0.216,0.224,0.218,0.14,0.087
"P09","Raramente",0.381,0.455,0.461,0.46,0.252
"P09","Nunca",0.208,0.195,0.267,0.323,0.504
"P10","Todos los días",0.212,0.078,0.032,0.043,0.103
"P10","Entre 4 y 6 días a la semana",0.205,0.207,0.079,0.072,0.078
"P10","Entre 1 y 3 días a la semana",0.25,0.292,0.323,0.148,0.089
"P10","Raramente",0.266,0.341,0.453,0.526,0.233
"P10","Nunca",0.067,0.082,0.113,0.211,0.497
"P11","Todos los días",0.252,0.159,0.156,0.172,0.13
"P11","Entre 4 y 6 días a la semana",0.163,0.229,0.189,0.122,0.075
